"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNFAIP3orf_IL17_1h1","fpool_TNFAIP3orf_IL17_1h2","fpool_TNFAIP3orf_IL17_1h3","fpool2_TNFAIP3orf_IL17_1h1","fpool2_TNFAIP3orf_IL17_1h2","fpool2_TNFAIP3orf_IL17_1h3"
"A2ML1",142.853570948026,145.684509645675,129.158032997212,61.0340305977343,72.332671077624,66.0624914998624,122.463142052318,114.451788168874,127.559075846009,94.0976430896557,82.2665837754953,93.121769516267
"A4GALT",13.570145412329,13.0330645056948,13.1277619563075,10.1309775735058,9.0555585120364,10.2452437439435,11.6474441989676,12.5311077452958,11.4462991259324,8.5177220693269,8.92047293951154,9.21016562351811
"AAAS",30.8841408340874,29.7473981086122,31.715657047716,30.641097877217,28.1588740767798,31.9600056414843,30.7518923326851,32.9393421141369,29.7983373928928,33.2654876231878,30.9603485052138,31.4777812449353
"AACS",56.1053152673573,52.3266107390923,55.2655335928479,61.4427732087692,61.7958020682484,62.566865882825,48.4045343906105,48.3471825269225,46.7341881404458,52.1313877939319,54.6401493991899,53.8911273350791
"AADACL2-AS1",0.859931934938935,0.823140916149147,0.722808321999071,1.28461963468085,1.27169108733844,1.09540341916378,1.20433913105473,0.948869937444274,0.598594724697993,1.18369490075173,1.3515868090169,1.2387089841757
"AADAT",6.480950436491,6.27644948563725,6.72016385858596,6.90483053640955,7.35065397736288,6.60463826260512,6.17017582211599,6.43122957601119,5.51875136428881,7.19979372622187,7.29856876869126,6.63073632705813
"AAED1",5.71540127489902,5.68195882397397,6.28061825737031,9.38648210340665,8.77606596536861,8.52159424614172,7.09405241580181,7.01862525157193,6.7159408136848,9.04245279852612,8.70421905006883,8.37950195177676
"AAGAB",43.5209454877632,44.5753671120212,46.0057729272382,41.4289832184573,40.8059118134973,38.4357729135995,48.7014947242952,46.2385826659353,47.5955805491575,37.3046939340005,38.7995519975118,38.1959558532294
"AAK1",98.2419800793651,96.5933000075576,96.8758505079296,102.477611766586,97.9900868617272,96.379392012601,95.0603023717442,93.3657895590009,96.3591508050428,104.299384708506,101.513179935896,97.8725827967526
"AAMDC",2.11836891289835,2.34366510848021,2.51029376694272,2.54004336857349,2.29183888267588,1.98139147878153,1.78176200210836,2.15378414372272,1.89798327343266,2.03790771572721,2.43285625623042,2.12766484340767
"AAMP",75.7054711990753,76.0719396674504,76.236742610848,73.1649273752319,68.3219530329413,72.4093877814878,77.0612065911866,77.009079208771,77.5545165267254,71.4610034928056,77.4008712630344,73.8999206912347
"AAR2",27.1507777994744,27.3465704365106,27.8085850369102,25.6777947432228,25.3359993554352,27.3206499838495,28.2277294963649,26.9750167930586,27.4039584941008,28.140210733335,29.0681269725901,28.9420710890933
"AARS",139.508225981618,136.412741826273,141.43600679117,161.424135457964,153.189864828616,162.619081124387,87.9662499559424,86.8592528450973,89.6724097340262,120.18774306705,121.156241560275,120.897996855548
"AARS2",36.8197685801293,34.6862436055071,34.7631732161445,37.2977632569269,35.9986400108114,39.8694626827992,33.9029714290063,34.3701777340926,36.87927498993,37.6219729795628,38.6013192655226,38.3999785094466
