"","logFC","logCPM","F","PValue","FDR"
"HERPUD1",-1.25246974726621,7.05906432486314,1390.74312785322,1.01548797482806e-15,7.70150201376597e-12
"PCK2",-0.872315103072247,5.58802193937403,1371.59625705669,1.1208706176344e-15,7.70150201376597e-12
"MANF",-0.792007874022051,6.11765436127683,1181.15219603063,3.24752959573069e-15,1.4875850568177e-11
"CMPK2",1.07005423377466,3.13099195227233,1051.55571016581,7.41665986637878e-15,2.54799349709443e-11
"XBP1",-0.669221615051102,6.36689100473329,1001.76924380701,1.04649343085357e-14,2.87618254535795e-11
"CBS",-1.12783531192189,5.57705021553491,964.712165194488,1.36732931926639e-14,3.13163991755979e-11
"CXCL8",-2.60536690927884,3.66739121618981,924.93063130035,1.84310547354626e-14,3.61827934535324e-11
"ASS1",-0.745251311468466,4.6400465353541,892.82784014361,2.36738992354191e-14,4.00577970714074e-11
"PYCR1",-0.691794931081273,5.53787885682055,879.9753500551,2.62349129415417e-14,4.00577970714074e-11
"HYOU1",-0.823703568623856,8.21989665355287,860.275255501505,3.07976873691673e-14,4.23221819827097e-11
"GPT2",-0.709447040915746,5.22501502253616,689.576129638287,1.47035324750224e-13,1.83687221156144e-10
"TNFAIP3",1.21131449265352,9.34892528558651,657.715308241343,2.05244838551841e-13,2.3503954761495e-10
"TNIP1",-0.632470861794801,9.29698130918271,608.530397184091,3.54789142703658e-13,3.69618838364292e-10
"SHMT2",-0.420172910504654,6.99403063114013,603.40132659411,3.76558269327615e-13,3.69618838364292e-10
"TFCP2L1",0.456226640245135,6.33560274718894,586.588545563772,4.5934535234355e-13,4.20821588793671e-10
"ALDH1L2",-1.23544327149221,4.63146907704937,553.903454127027,6.87186043725501e-13,5.9020691330474e-10
"SEC24D",-0.561113058609471,5.73283628259334,542.469491454726,7.95535470230361e-13,6.2085075805792e-10
"COL8A1",-0.709316013556582,5.61010693211653,540.77217706744,8.13223231337692e-13,6.2085075805792e-10
"WARS",-0.482447290129584,6.55544929323283,507.728201142389,1.26533033236936e-12,9.15166811969459e-10
"MX2",0.846062527362563,4.71368218353505,492.137492426501,1.5741934427747e-12,1.03811618067378e-09
"OAS1",0.501607590362298,5.55129291014863,489.564490678898,1.63302565755811e-12,1.03811618067378e-09
"KCTD12",-0.598717916639997,6.41333725112493,482.541979120307,1.80676895894389e-12,1.03811618067378e-09
"KRT34",-1.05900182739293,3.74761211437076,481.979544701534,1.82157139192813e-12,1.03811618067378e-09
"TNF",-2.37985999756664,3.11257028835158,479.916201940913,1.8770708860183e-12,1.03811618067378e-09
