"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNIP1orf_IL17_1h1","fpool_TNIP1orf_IL17_1h2","fpool_TNIP1orf_IL17_1h3","fpool2_TNIP1orf_IL17_1h1","fpool2_TNIP1orf_IL17_1h2","fpool2_TNIP1orf_IL17_1h3"
"A2ML1",142.853570948026,145.684509645675,129.158032997212,61.0340305977343,72.332671077624,66.0624914998624,137.332128711444,136.549143410286,136.301115086945,45.9586757590669,47.3389205343406,43.9112243695877
"A4GALT",13.570145412329,13.0330645056948,13.1277619563075,10.1309775735058,9.0555585120364,10.2452437439435,11.9778909190524,11.2391442542052,12.0672603770584,11.1865372485899,9.81307976253036,10.3107577222024
"AAAS",30.8841408340874,29.7473981086122,31.715657047716,30.641097877217,28.1588740767798,31.9600056414843,29.7350858766259,29.3721000833513,28.2338024108671,30.9781031499413,32.6917015925387,30.7981930921963
"AACS",56.1053152673573,52.3266107390923,55.2655335928479,61.4427732087692,61.7958020682484,62.566865882825,50.6425681336286,53.4475919549507,51.6765693854073,60.4959590133533,62.9440564563667,61.2745940058064
"AADAT",6.480950436491,6.27644948563725,6.72016385858596,6.90483053640955,7.35065397736288,6.60463826260512,6.34590247367017,6.10695403572278,5.393117429662,6.6232644781861,6.62744887480768,6.86489980984089
"AAED1",5.71540127489902,5.68195882397397,6.28061825737031,9.38648210340665,8.77606596536861,8.52159424614172,6.88983697141333,6.82334672068257,6.26421478172142,8.25300475333031,8.76605422600612,8.39341265812577
"AAGAB",43.5209454877632,44.5753671120212,46.0057729272382,41.4289832184573,40.8059118134973,38.4357729135995,44.7726083454837,44.4163464675068,44.1953803618382,40.2089520683581,38.7844991295468,38.9636696238235
"AAK1",98.2419800793651,96.5933000075576,96.8758505079296,102.477611766586,97.9900868617272,96.379392012601,92.956139270565,95.468133377674,96.0128625541963,99.1664362619753,100.926578579214,100.104183555219
"AAMDC",2.11836891289835,2.34366510848021,2.51029376694272,2.54004336857349,2.29183888267588,1.98139147878153,2.34571752151737,2.2196429091377,1.90872802142432,2.64669820683421,2.09405107304848,2.41344133939719
"AAMP",75.7054711990753,76.0719396674504,76.236742610848,73.1649273752319,68.3219530329413,72.4093877814878,76.5927764634584,72.9898448692636,74.7222184494499,67.1583372581429,69.2262096755121,67.1875252873295
"AAR2",27.1507777994744,27.3465704365106,27.8085850369102,25.6777947432228,25.3359993554352,27.3206499838495,25.9048804550179,23.7349117426841,25.3130642304326,24.4461041271633,25.9640055918936,25.0729739148486
"AARS",139.508225981618,136.412741826273,141.43600679117,161.424135457964,153.189864828616,162.619081124387,147.349589044881,144.840507928017,146.613370504707,172.935000076103,173.260449155686,166.782204559787
"AARS2",36.8197685801293,34.6862436055071,34.7631732161445,37.2977632569269,35.9986400108114,39.8694626827992,34.245209420413,33.1537139285489,36.2914529174167,35.5022621537416,34.6075355529873,35.1423875031113
"AARSD1",17.36643029584,16.8515237556089,17.6013594086801,14.52496064213,14.7013079547258,14.8684905277671,14.9242027818279,14.6684338281111,14.3346755434484,14.9153829981199,14.1014290344647,14.6549521331174
"AASDH",11.1686281793898,12.3814112804101,13.1375296363345,8.72957433567212,9.04158388470301,8.50548537233049,12.4991614793896,13.2356484581915,12.1056911425905,10.3781860721184,9.63486264993049,9.73421340223532
"AASDHPPT",32.1845257113121,31.7366553226393,33.2003444118222,29.6776331512064,31.359063736126,29.0604083554625,33.9619102028384,35.537774830956,31.9359661571196,32.7642984914993,30.5530962413403,30.9054571517251
"AASS",24.9170521635965,25.8946413205253,24.5071091877793,31.7651400575628,32.6587040781313,33.7964172559647,22.6299414998559,23.1124721967354,24.288243816245,30.613041328309,29.7399806651034,31.1468012856648
"AATBC",6.1139063179195,5.8077164639412,5.27454721458782,2.7152187733027,2.54338217467689,3.02846827651161,4.96340229190631,4.70940109293237,5.70056355391826,2.68581197343767,2.43934672871073,2.86931359239443
"AATF",54.7420085412346,55.7220670182075,57.2679079983859,54.1437980117189,52.5306241462111,53.255936819933,52.7276503749773,51.8503885917617,53.1369384756246,53.0513054364945,53.5653809057985,52.3314530425957
"AATK",1.2898979024084,1.00606111973785,1.20142464332278,1.32841348586315,1.22976720533828,1.22427440965363,1.33717230695193,1.30359980377929,1.97277929731104,0.886578709678454,0.846531284849384,1.09945661016983
"ABALON",16.1394542423295,16.6571710392959,16.3413286851952,14.1892077830657,14.3379676440576,15.1262325087468,17.3945719590781,16.171684052289,17.8959264827501,13.6637424668091,14.2796461470646,14.9365202893804
"ABAT",12.9409269233493,11.9584083096112,11.9654080330927,14.0432282791247,12.7588347553846,13.6603249919247,12.7484647908553,13.1182070344276,12.5156193082655,12.2686847912857,11.8737151269664,11.3297662877257
"ABCA1",35.7920450481291,35.5093845216563,34.5775872956312,73.7342474406018,71.3823964189536,70.1219277002929,37.3615008137331,36.9000953466172,34.8567043375541,77.4452578748532,74.4613373581333,73.5563288218498
"ABCA11P",6.65922900836858,7.00813029999204,7.19878017990967,6.13113916552223,5.67369869735614,6.02471880540076,6.51588200421491,6.71764943929506,6.45636860938158,5.7497236907088,5.88116471579572,5.73862718478887
"ABCA12",88.1744842556898,89.5051421184955,83.3573813505415,33.2103371465787,39.2826774341579,33.3936954106839,118.84968775688,124.112096633689,127.961638966493,31.0824065275505,28.1360266517045,27.7813914179498
"ABCA13",1.5101243735513,1.61198429412541,1.37724288380904,1.79554789847437,1.39746273333895,1.6592140025569,1.68846333674438,1.70290064457654,1.4987998557493,1.14733715370153,1.47029117894893,1.4748808185205
"ABCA2",3.68092816053129,3.0982109482836,3.1061222485906,3.67868349931334,3.57750459734771,3.41508124798118,4.18149645140052,5.19091093036436,5.30344564342059,3.28555639469074,3.87622219904718,3.75424208350674
"ABCA5",14.461538271717,15.571082330488,14.3291865996302,15.2986520130174,16.3503139800657,14.2563533229403,14.5955756894414,14.8211076790041,15.3466857024586,14.5372832542864,12.5086135906034,13.8236556717694
"ABCA7",18.70876307233,18.4177779988372,17.2887936478156,16.8314368043979,15.7913288867301,17.848632182845,21.3494290364189,21.3625949826533,21.4315569116972,17.470815749546,19.0915081872611,17.8996899338625
"ABCA9",2.01349916473507,1.78347198498982,1.66050560459246,1.89773355123307,1.56515826133962,1.62699625493443,1.56381168101158,1.93778349210434,1.81905623518291,1.81227118596037,1.45915260941144,1.7832649896657
"ABCB10",20.2713223199629,20.4641977764857,20.7270170173247,23.0501636722847,24.3996993240981,22.1658103642552,21.1567855684682,21.2803859860186,20.1761519043174,22.3600365749787,21.8761505716341,23.4103809921527
"ABCB5",1.60450714689826,1.90922962495705,1.31863680364695,1.86853765044487,2.24991500067571,2.11026246927139,1.52981577490263,1.52673850893069,1.78062546965087,1.70796780835114,1.72647827831124,2.05142513848761
"ABCB6",7.98058783522597,7.22534804175362,7.61879042107129,8.68578048448982,8.32887789070014,8.13498127467216,7.53575918748333,7.58671597514791,7.54524029945586,8.93097670779031,8.06432434514413,8.47386070277235
"ABCB7",16.1184802926969,16.6000084756745,17.0250662870862,14.9628991539531,14.7152825820591,15.1262325087468,15.8647561841754,16.8528443101196,15.474788254232,15.0196863757291,15.148454570989,14.8560722447338
"ABCB8",32.278908484659,32.2396858825083,31.5203034471757,36.2321128781575,36.6973713774808,39.3539787208398,32.307442772203,30.4525611819792,32.3202738124399,34.7982143548793,39.7312775402336,39.3927258619385
"ABCB9",6.68020295800124,6.23071943474007,6.51504257801866,5.88297400882252,6.27460767269188,6.45965839830403,6.08526719350157,5.6137000559144,6.6357121818644,7.06655383302532,7.0172988086199,6.89171582472308
"ABCC1",111.759690617613,111.135456192859,106.877954855592,124.520516861678,119.664733855814,125.069296270405,110.837985883871,107.963900866153,111.795096932685,120.313946072247,123.471043323098,123.957028792928
"ABCC10",24.8751042643311,23.7681939538066,23.2763815043755,31.4439851488926,29.7100577107861,32.1694210010303,24.8736713030465,23.7466558850605,26.1329205617826,30.3522828842859,32.7585330097637,31.870833687484
"ABCC2",2.08690798844937,1.90922962495705,2.00237440553797,2.8174044260614,2.9206971126784,3.31842800511379,1.80178302377421,1.97301591923351,1.60128189716805,2.86834288425382,2.63984098038558,3.37881787515606
"ABCC3",22.7147874521675,20.1326549074812,20.912602937838,31.1520261410105,30.8000786427905,31.8311346509944,19.9329329485461,19.0724872192573,20.4835980285737,30.8216480835274,33.0258586786635,33.1177783795059
"ABCC4",25.4728618288619,26.2947792658755,25.9917965518855,31.6921503055923,32.2115160034628,31.7505902819383,23.8424621510751,24.8740935531939,23.2378028917028,32.060250692637,31.6669531950895,31.5088174865744
"ABCC5",29.6781387302096,29.8274256976823,28.6486055192335,30.1593655142117,28.1029755674463,29.720872181723,28.5565611315158,28.7026839678971,28.7590228731382,30.3913966508894,28.5258765855167,28.5590558495334
"ABCC9",131.108159153739,142.380513468354,129.626881638509,123.17750542542,134.533737338541,119.38286381504,123.983069579331,126.554878247978,130.703033574445,122.686847912857,122.646789177323,130.526952439065
"ABCD1",1.64645504616357,1.68057937047118,1.78748544494365,2.23348641029738,1.8586254353408,2.22302458595001,2.05108633523982,2.19615462438492,2.36989720780872,2.58150859582844,2.41706958963574,2.64137746589581
"ABCD3",39.0010593419256,40.6425827348641,41.6298522751357,33.692069509584,36.5715997314803,33.2164977987604,40.3531405513205,41.5390315852913,39.724601304945,36.128082419397,34.1842699105626,34.3244990492044
"ABCD4",9.59558195694055,9.47755304843949,9.5137203463121,10.6273078869052,9.23722866737046,10.9218164440153,10.2327677387932,9.19566348071334,10.004809293506,10.5216032163311,10.7153038950672,10.1900856552326
"ABCE1",144.835609188313,146.450487998202,152.991172263128,125.688352893206,135.791453798546,122.040827993894,147.440244794505,152.262805909896,137.210643204536,136.011604402436,126.211131429321,131.840937168292
"ABCF1",107.365648169571,100.103081413916,101.720619801329,102.696581022497,99.1639555577319,100.841550058312,93.2734343942485,90.4533845829555,91.6317552835446,92.6213993169961,92.6506214128576,91.3755707110657
"ABCF2",97.0045170510384,97.9652015344728,101.896438041815,92.1130669867744,92.2325404003707,91.8366895978336,87.9927369786587,89.3142027724456,90.5300733382929,88.2797712240119,88.9748934654853,90.0213619595151
"ABCF3",30.2863832695566,29.5187478541264,30.3188788038529,33.2979248489433,30.4646875867891,31.4445216795248,28.1032823833965,27.5752462997636,29.3995356320054,29.9481072960501,30.9652233142275,31.6831215833086
"ABCG1",5.93562774604192,6.16212435839431,6.20247681715419,3.37212654103722,3.43775832401382,3.49562561703734,10.4027472693379,10.7341461320204,11.4907988940779,3.54631483871382,3.54206511292242,3.79446610583002
"ABCG2",5.14910463481728,5.88774405301126,5.56757761539825,7.86829526242019,6.83359276602746,6.76572700071744,4.81608669876754,4.81509837431988,4.85508671221353,6.32339226755956,5.54700762967096,6.31517150475597
"ABHD10",11.4412895246144,11.1466999061864,12.2975091540112,10.9338648451813,10.9700824567108,10.3580058606222,12.6918049473403,13.2473926005679,11.9647783356397,12.633746612918,12.1855950740161,13.0057672178626
