"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNFAIP3orf_IL17_24h1","fpool2_TNFAIP3orf_IL17_24h2","fpool2_TNFAIP3orf_IL17_24h3","fpool_TNFAIP3orf_IL17_24h1","fpool_TNFAIP3orf_IL17_24h2","fpool_TNFAIP3orf_IL17_24h3"
"A1BG-AS1",1.25096560100455,1.01422453855554,1.44953581024858,0.609014109339318,0.540095816601615,0.679892936216049,1.34231421939666,1.36445913214286,1.08312047130849,0.635815100516685,0.828160698893203,0.899861305155077
"A2ML1",80.1992672116541,76.5739526609436,56.1591588199163,118.101889972648,109.534432139122,132.594231294045,57.006924873142,65.7864224426024,58.3079853721072,115.469983020397,101.395201357911,108.261254962848
"A4GALT",12.3859341374186,11.7232424603626,11.6791170997171,14.1634819787375,13.5023954150404,13.0388356434322,11.4013849746284,12.3288628725766,11.8486815194656,12.3586560162931,13.5120956135207,14.1331157927297
"AAAS",32.5800931250634,30.2328402890013,29.680971352709,32.4651367517036,33.0058554589876,33.9795380788865,31.0555166314733,31.5449956502553,29.5068273850405,32.376897071623,33.4751271973674,32.6596720753343
"AACS",60.2800457187355,58.4819767011219,57.9952375128978,51.0010277205695,49.1187139876024,47.6378317308712,58.4652415559433,57.404744916582,59.9983097439977,46.3548946720445,48.5345756956622,48.1558130802842
"AADACL2-AS1",0.976028106278272,1.28269573993789,1.11821333933462,0.733940080485844,0.855151709619224,0.815871523459259,1.02745039015547,1.23451064336735,1.19799688493212,0.864311152264868,1.02430402231528,0.913094559642651
"AADAT",6.63974049763951,5.87653629692477,6.58503410941497,6.93339139863223,7.02124561582099,7.02556034089917,6.84414534087431,6.30250170561228,7.02387214727326,5.05671697129676,5.76443433834874,6.12699682774707
"AAED1",8.96296232807653,9.09819071351297,8.91809650876744,6.71477094912581,6.57116576865298,6.73849443449684,9.01504858458989,8.36543396492352,10.4045208910543,6.42769328178586,7.35537462832779,7.52972180342998
"AAGAB",39.7147211132102,39.8232282050486,37.522269831006,45.7697526788087,46.5832641818893,45.945653756289,38.661963874721,39.2282000491074,38.9431042184099,46.2952870063711,45.1238612383784,44.9533654942911
"AAK1",94.8671825553008,98.4991007738355,96.8427972275597,89.5719213120597,89.6259002327235,89.5947802613593,96.3980470892636,95.9669589607148,93.0498950351387,80.212048774558,80.6040090751714,80.9478177004942
"AAMDC",2.07577808518337,2.17759974454573,2.15359606094074,1.8738895671979,2.25039923584006,2.32674471505048,1.9223265364199,1.85176596505103,1.80520078551415,2.40417584882871,2.05950489593178,2.31581953532557
"AAMP",72.1573454909105,71.7563861028048,72.7666976744786,79.4373019027977,77.3237177434645,77.4775772647977,72.8826905790925,70.2696453053575,74.4563269443429,81.7618480820674,81.3340981123535,78.8569634914574
"AAR2",24.9230838969367,23.9983423902334,22.4470974044208,24.3449486271794,22.9240668824241,22.7235328015319,23.7473614369804,23.1958052464287,23.6809521226993,21.7567979708053,21.761012048549,22.1524680122
"AARS",166.708349927276,162.365416569348,159.987338142579,137.293642290033,135.534044643861,146.645351975844,157.315912157191,154.9473293037,157.741726821473,164.209184319379,164.161064852975,155.239308393738
"AARS2",36.5254461743855,37.7947791279375,38.6266780673859,38.4459676203436,36.9215501293493,36.0645430832824,37.56822636262,37.6525746227043,38.2374348204362,33.6385926617108,34.0526603163324,35.4783552811877
"AARSD1",16.4137684351585,16.9733459540619,16.6903694722908,18.6452011936191,19.6384839980976,18.0549346395151,16.3894909010283,14.5867178650511,15.6231922528134,17.9915804224331,18.0451857548309,17.4149629056482
"AASDH",9.07293732596703,9.05344551328258,9.60835165650486,11.7586570341668,12.7372596748548,13.1597054987595,9.74420692599054,10.0060336357143,8.69778560293184,15.6668814611689,13.9479696655697,14.6756792267203
"AASDHPPT",34.0372618471127,34.3941439104277,33.850112445043,39.7889218101688,40.837244799711,37.3185678323031,33.54128370443,34.3551317200257,33.1008180398368,39.569555396218,35.959609294047,38.2970384870411
"AASS",30.9442150314421,32.6938263016728,33.2702981209435,23.2206148868607,23.6591972994652,24.7027766825164,30.6412221193138,30.7328175954083,30.1632640343183,24.7967889201507,25.5095288961709,26.4665089751493
"AATBC",2.84560307041693,2.75928734754082,2.60916445844744,5.85590489749344,5.68600873588922,5.4542522216443,3.39721499970759,3.41114783035716,3.79092164957972,4.71894019914727,5.18690121938375,5.55796688478136
