,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
1252,GO:0003008,2.07734942315461e-07,1,130,800,system process,BP,TGFBI;POSTN;SERPINE2;SREBF1;ACTA2;APOE;GAMT;EGFR;ESPN;ALDH1A3;SLITRK6;OBSL1;MTHFR;EPS8L2;EPHB2;EYS;SULF2;TENM4;KCNAB2;REEP2;OR2A4;STAT1;MYL9;ITGB5;NOS1;PRKACB;CRY1;GAA;HSF4;TBC1D8;ITPR3;MDM2;CRTC1;NDN;MYH11;NLGN4Y;RGS2;F2R;BLOC1S4;SLC24A1;TRPV4;NLGN2;ADORA2B;ANK3;PER2;PTGS1;UNC119;SNTA1;GSTM2;ITGA2;NMU;KCNJ5;JARID2;NISCH;INSR;GSN;TANC1;TTN;SCNN1A;AHNAK2;TRIOBP;SCN4B;PGAP1;MDK;BMP6;B4GALT2;VEGFB;ALDH7A1;SYNGAP1;HEXB;METTL23;PLA2G6;HOMER2;BBS2;DNM1;TNFRSF21;SHANK3;CYBA;RRM2B;SPRY2;RAB11FIP3;KCNMA1;ATXN1;THRA;ADARB1;GPR155;RNPEP;BRINP1;DGCR2;MYO3B;WNK1;BBS1;PDE2A;PRX;DDHD2;OLFM2;BBS5;SCN2A;KLHL3;MYO9A;VDR;CACNB3;BBS10;TPRN;RASL10B;SHROOM4;DLG4;TNNI2;ALOXE3;SHANK2;LMNA;ANO1;PBLD;TAS1R3;TUB;RDH12;CACNB1;PLCB3;AKAP6;TH;PPARG;PRKACA;SERPING1;LAMB2;NFASC;FOXP2;NPNT;EML2;CTNNBIP1;GCLC
12650,GO:0050877,2.16482760701511e-07,1,76,406,nervous system process,BP,TGFBI;SERPINE2;APOE;EGFR;ESPN;ALDH1A3;SLITRK6;EPS8L2;EPHB2;EYS;TENM4;KCNAB2;REEP2;OR2A4;GAA;HSF4;ITPR3;CRTC1;NDN;NLGN4Y;F2R;BLOC1S4;SLC24A1;NLGN2;ANK3;UNC119;ITGA2;NMU;INSR;TANC1;SCNN1A;AHNAK2;TRIOBP;PGAP1;MDK;B4GALT2;ALDH7A1;SYNGAP1;HEXB;METTL23;PLA2G6;HOMER2;BBS2;DNM1;TNFRSF21;SHANK3;SPRY2;ATXN1;THRA;ADARB1;GPR155;BRINP1;DGCR2;MYO3B;BBS1;PRX;DDHD2;OLFM2;BBS5;SCN2A;MYO9A;BBS10;TPRN;SHROOM4;DLG4;ALOXE3;SHANK2;ANO1;TAS1R3;TUB;RDH12;TH;LAMB2;NFASC;FOXP2;EML2
7918,GO:0032501,2.10933134988161e-06,0.999998660140299,509,4159,multicellular organismal process,BP,TNFAIP3;TGFBI;POSTN;TAGLN;ITGB6;SERPINE2;ULK2;GPNMB;SIK1;MAP6;PTHLH;SREBF1;ACTA2;APOE;GPSM1;INPP5D;APCDD1;GAMT;OAS2;ADAM19;MN1;LMF1;DDX60;HSPA2;FBXW4;EGFR;ESPN;PTPRS;FAM20C;PKD2;CAPRIN2;MNT;ASH2L;DIXDC1;ALDH1A3;SRSF5;LRIG3;PLCD3;SLITRK6;SFRP1;OBSL1;MTHFR;KCTD11;KIF26B;PCDH1;EPS8L2;EPHB2;GLUD1;DGKQ;PIK3R1;ADAMTS7;BRSK1;TXNRD3;MARVELD1;KDM3A;CXCL14;DOCK9;TSC22D3;EYS;EVC;RNF135;POU3F1;SULF2;WNT3;DHTKD1;HERC5;VAV3;UNK;CSPG4;ISG15;HTRA1;TFCP2L1;TENM4;UNC119B;RGMA;KCNAB2;ZFPM1;KITLG;HOXC5;SDK2;CUL7;REEP2;PRICKLE2;MC1R;OR2A4;STAT1;IMPACT;CRY2;MYL9;KRT15;UNC5B;ITGB5;COL10A1;NOS1;PRKACB;HOXA3;CRY1;ZFP41;SCMH1;KLF13;CRTAP;PLEKHG5;NFATC4;HMGCL;BTBD2;FERMT1;CYP26B1;GAA;HSF4;MICALL1;TBC1D8;PLXNB1;SPEG;NDRG1;COL7A1;SPOCK1;ITPR3;NAGLU;MDM2;CRTC1;LZTS2;PLCD1;NDN;IFITM1;MLH3;CSMD3;LTBP4;OBSCN;TNFSF10;MYH11;NEO1;RAPGEF3;TCF25;NINJ1;FAM210B;CTSV;NLGN4Y;SPATA20;FLRT3;KCTD15;KIF26A;RGS2;IL20RB;ADGRB2;F2R;PPL;HPS4;PDCD4;BLOC1S4;SPTB;SERPINB5;NYAP1;SLC24A1;ZNF160;CAPN7;DNAH1;RTN4RL1;ZFP36L2;TRPV4;FLOT1;GLI2;NLGN2;ADORA2B;ANK3;KLF7;RNF165;ADAMTS13;SOX12;CLMN;SPG11;GJC2;ZCCHC11;ARHGEF19;PER2;TMEM204;MICALCL;PTGS1;UNC119;C5;SNTA1;PSKH1;ADGRL1;MINK1;PHF2;GSTM2;AMIGO2;THBS3;TNFRSF14;WWTR1;LHFPL2;ITGA2;SEMA4G;ULK1;GLI3;FHOD3;TPGS1;IRX4;SMARCA1;BHLHE40;NAIP;LTBP1;NMU;NEK8;MAP2K5;GAS8;BOC;ITGA6;LTBP3;KCNJ5;CES3;BSN;IGFBP4;TCFL5;TRAK1;JARID2;NUPR1;PRR9;GPC2;NISCH;INSR;HSF2BP;CELSR1;GSN;BAIAP2;TANC1;TTN;SCNN1A;DDT;PLXNB3;SUN1;AHNAK2;TRIOBP;ZNF287;CD109;PMS2P3;SCN4B;SEPT6;RAB11FIP4;DOCK8;DHX58;ENDOG;SLC27A1;PGAP1;RTF1;BLOC1S3;MDK;CASP14;RICTOR;BMP6;NLRX1;B4GALT2;ETNK2;S100A4;MICALL2;VEGFB;ALDH7A1;CABYR;PTK6;FZD7;ETV5;LOXL1;SYNGAP1;FAM213A;FAT2;DLX3;EPB41L3;SHARPIN;HEXB;KDM4C;HYAL1;METTL23;SH2D2A;PLA2G6;CST3;HOMER2;MMRN2;PEX7;BBS2;TXNIP;CTF1;TCF4;COL6A1;NPHP3;PLAG1;IDH2;WRN;PODXL;MALL;DNM1;MCM9;TNFRSF21;IQCB1;TREX1;CDK5R1;ATRX;REC8;CA2;EFNB3;MAPK10;SHANK3;HFE;HMG20B;CYBA;NID1;AGO4;ERCC6;RRM2B;SLIT3;KRT14;EDA2R;SPRY2;MRC2;MEF2D;IFT140;CREBRF;RAB11FIP3;LRP11;CTSB;KLK5;FBXW7;KCNMA1;CDK5RAP3;ATXN1;LMO2;NOTCH2NL;TFPI2;THRA;APC2;ADARB1;RAI1;ELF1;SLC2A1;ACACB;NLRP1;ERMAP;GPR155;TNS2;DBP;NAB2;GNG2;SRR;LRP1;LRRN3;NPHP4;CCDC136;ACP5;PLA2G7;RNPEP;RFX2;MTURN;BRINP1;DGCR2;MYO3B;SALL2;WNK1;BBS1;ATXN10;JPH2;ZBTB20;PDE2A;SDHA;MAF;LTB4R2;RET;ZMYND8;PRX;DAB2IP;CASZ1;TEAD2;MYSM1;DDHD2;SHROOM2;RNF213;OLFM2;RAPGEFL1;TSHZ2;IFI16;SYT7;FGFR4;BBS5;IL20RA;SCN2A;TEF;AREG;TMEM203;KLHL3;MYO9A;RPS6KA5;DLG5;BTG1;BST2;VDR;CACNB3;TNRC6C;DPY19L2P2;PLXND1;BBS10;ZMYM3;SIX5;PCSK6;DMTN;TPRN;ARFGEF2;RASL10B;WWC3;TMEM231;TFDP2;PMP22;UCN2;NRARP;ACVR1B;SHROOM4;TACC1;KREMEN1;CCDC88B;DLG4;TNNI2;TSSK1B;ALOXE3;PALB2;ENDOU;NHSL1;MATN2;NBEAL2;DUOX1;WEE1;GTF2IRD2;PTK7;TCF7;SHANK2;RSAD2;TNFRSF25;ZFP36L1;LMNA;MXRA8;CLSTN3;IL11;KAT2B;MARK4;APOLD1;IRS2;ANO1;ALOX15B;GPR21;TKFC;MTR;S100A6;TRERF1;ZSWIM8;APBB2;PBLD;RAPGEF5;TNFSF12;TAS1R3;STAT6;PCSK1N;SOX13;PHC2;TUB;GSTM3;RDH12;SRPX2;CD9;RANBP9;CACNB1;HDAC11;PTPN3;GJB5;COL13A1;ERBB2;PLCB3;GPR68;PAQR7;AKAP6;TH;RORA;SSH3;PPARG;PRKACA;DOCK6;LDLRAP1;NPAP1;POLM;FMNL3;GCNT4;SYNE2;ACKR3;PLTP;SERPING1;PARN;UFL1;LAMB2;RIPK3;NFASC;CIT;MAP1A;PER3;FOXP2;PTBP2;HIVEP1;ECM2;SMURF1;NPNT;HERPUD2;TTLL1;EML2;CTNNBIP1;GCLC;ECM1
2591,GO:0005886,1.13418257155084e-05,0.999991799876219,360,2819,plasma membrane,CC,TGFBI;ITGB6;SERPINE2;GPNMB;MUC19;IFI6;AMACR;APOE;GPSM1;NT5E;INPP5D;APCDD1;ADAM19;PSD4;HSPA2;EGFR;PTPRS;FLNC;PKD2;CAPRIN2;XPC;SYT8;CXCR1;ALDH1A3;LRIG3;PLCD3;SLITRK6;SFRP1;PCDH1;EPS8L2;EPHB2;SYNC;DGKQ;PIK3R1;MARVELD1;EVC;SULF2;WNT3;VAV3;CSPG4;MVB12B;CYBRD1;HTRA1;TENM4;RGMA;PI4KAP2;KCNAB2;KITLG;SDK2;VAMP3;REEP2;KCNJ15;MC1R;OR2A4;CSMD2;CAMK2N1;GRIP2;MARCKSL1;NSG1;UNC5B;SLC16A5;ITGB5;GJD3;RAB40B;NOS1;PRKACB;SDC3;BCAM;PLEKHG5;FERMT1;GAA;PIK3C2G;PLXNB1;NDRG1;KCNC4;SLC29A4;ITPR3;MDM2;CRTC1;LZTS2;PLCD1;IFITM1;ST6GALNAC6;FCGRT;CSMD3;PIK3IP1;OBSCN;GPRC5C;HLA-B;TNFSF10;HGSNAT;PARVB;SYTL1;RHOBTB2;NEO1;RAPGEF3;CTSV;NLGN4Y;BLVRB;FLRT3;RASA4;RGS2;IL20RB;ADGRB2;F2R;PPL;C2CD4C;SPTB;SLC24A1;RTN4RL1;TRPV4;TMC6;FLOT1;NLGN2;ADORA2B;ANK3;LAMP3;PLCH2;SLC13A5;RIMS3;SPG11;GJC2;TSPAN18;TMEM204;FNDC4;FRS3;C5;SNTA1;PSKH1;ADGRL1;MINK1;AMIGO2;TNFRSF14;ASAP2;ARHGEF4;LHFPL2;ITGA2;SEMA4G;SYT15;SPPL2B;LRSAM1;VAMP2;NAIP;BOC;ITGA6;KCNJ5;LZTS1;PRR9;GPC2;NISCH;INSR;CELSR1;GSN;CDK14;ST3GAL5;BAIAP2;TANC1;CBLC;SCNN1A;PLXNB3;LPAR5;AHNAK2;CNTNAP3;PLEKHH2;RIN1;CD109;SCN4B;ARHGEF1;SEPT6;RAB11FIP4;MGST2;DOCK8;PILRB;SLC27A1;TM7SF3;NRSN2;SIRPB2;NLRX1;SLC2A3;TCIRG1;MICALL2;MAP2K2;PTK6;SLC12A7;TMEM8B;FZD7;ETV5;SYNGAP1;FAT2;TMEM117;EPB41L3;CLCA2;ARHGAP33;ARRDC1;KIAA0319L;CENPC;HOMER2;CAPNS2;BBS2;ATP6V0A2;COL6A1;PSD3;CERCAM;MAP3K12;PODXL;SEPT5;MALL;OSCP1;DNM1;TNFRSF21;CDK5R1;NET1;ANO9;CA2;EFNB3;PI4KAP1;MAPK10;NKTR;SHANK3;HFE;SCART1;CYBA;SHC2;EDA2R;SPRY2;MRC2;GABBR1;XRN1;RAB11FIP3;LRP11;KCNMA1;GPR87;PAQR6;APC2;ARAP1;RPH3AL;SLC2A1;ERMAP;TNS2;SLC38A4;TP53I13;GNG2;PRR7;SRR;LRP1;HLA-A;RGS12;RNPEP;KCNG1;SLC48A1;CD99L2;PMEL;BBS1;ATXN10;JPH2;PDE2A;SDHA;LTB4R2;RET;PRX;DAB2IP;MYSM1;SHROOM2;OLFM2;SYT7;FGFR4;BBS5;EXOC2;IL20RA;SCN2A;ABTB1;DEF6;DLG5;BST2;CACNB3;PHF7;VIPR1;EFS;PLXND1;EHBP1;PCSK6;LPAR6;DMTN;STAT2;RASL10B;SLC36A4;TMEM231;PMP22;CA11;ACVR1B;SHROOM4;KREMEN1;CADM4;DLG4;ESYT2;ENDOU;NBEAL2;CD68;DUOX1;SLC22A15;SLC35G2;PTK7;SHANK2;TNFRSF25;CLSTN3;ACSL1;APOLD1;IRS2;ANO1;ALOX15B;GPR21;ZMAT3;S100A6;TNFSF12;TAS1R3;GPR132;SMPDL3B;TUB;SLC43A1;CPT1C;RDH12;TRAF5;SRPX2;CD9;PLIN4;RANBP9;CACNB1;HDAC11;PTPN3;GJB5;COL13A1;ERBB2;SYNGR1;GPR68;PAQR7;ABCA2;AKAP6;SLC2A11;TH;MPP7;PRKACA;LDLRAP1;FMNL3;SYNE2;PARD6G;ACKR3;SUCLG2;RIPK3;NFASC;KLF9;PI4K2B;AIP;KCNS3;CIT;CALHM2;SMURF1;NPNT;PEMT;TM4SF1;SERINC3
15520,GO:0071944,1.15533041912342e-05,0.999991629051171,368,2890,cell periphery,CC,TGFBI;ITGB6;SERPINE2;GPNMB;MUC19;IFI6;AMACR;APOE;GPSM1;NT5E;INPP5D;APCDD1;ADAM19;PSD4;HSPA2;EGFR;PTPRS;FLNC;PKD2;CAPRIN2;XPC;SYT8;CXCR1;ALDH1A3;LRIG3;PLCD3;SLITRK6;SFRP1;PCDH1;EPS8L2;EPHB2;SYNC;DGKQ;PIK3R1;MARVELD1;EVC;SULF2;WNT3;VAV3;CSPG4;MVB12B;CYBRD1;HTRA1;TENM4;RGMA;PI4KAP2;KCNAB2;KITLG;SDK2;VAMP3;REEP2;KCNJ15;MC1R;OR2A4;CSMD2;CAMK2N1;GRIP2;MARCKSL1;NSG1;UNC5B;SLC16A5;ITGB5;COL10A1;GJD3;RAB40B;NOS1;PRKACB;SDC3;BCAM;PLEKHG5;FERMT1;GAA;PIK3C2G;PLXNB1;NDRG1;KCNC4;SLC29A4;ITPR3;MDM2;CRTC1;LZTS2;PLCD1;IFITM1;ST6GALNAC6;FCGRT;CSMD3;PIK3IP1;OBSCN;GPRC5C;HLA-B;TNFSF10;HGSNAT;PARVB;SYTL1;RHOBTB2;NEO1;RAPGEF3;CTSV;NLGN4Y;BLVRB;FLRT3;RASA4;RGS2;IL20RB;ADGRB2;F2R;PPL;C2CD4C;SPTB;SLC24A1;RTN4RL1;TRPV4;TMC6;FLOT1;NLGN2;ADORA2B;ANK3;LAMP3;PLCH2;SLC13A5;RIMS3;SPG11;GJC2;TSPAN18;TMEM204;FNDC4;FRS3;C5;WIPF1;SNTA1;PSKH1;ADGRL1;MINK1;AMIGO2;TNFRSF14;ASAP2;ARHGEF4;LHFPL2;ITGA2;SEMA4G;FAM110C;SYT15;SPPL2B;LRSAM1;VAMP2;NAIP;BOC;ITGA6;KCNJ5;BSN;LZTS1;PRR9;GPC2;NISCH;INSR;CELSR1;GSN;CDK14;ST3GAL5;BAIAP2;TANC1;CBLC;SCNN1A;PLXNB3;LPAR5;AHNAK2;CNTNAP3;PLEKHH2;TRIOBP;RIN1;CD109;SCN4B;ARHGEF1;SEPT6;RAB11FIP4;MGST2;DOCK8;PILRB;SLC27A1;TM7SF3;NRSN2;SIRPB2;NLRX1;SLC2A3;TCIRG1;MICALL2;MAP2K2;PTK6;SLC12A7;TMEM8B;FZD7;ETV5;SYNGAP1;FAT2;TMEM117;EPB41L3;CLCA2;ARHGAP33;ARRDC1;KIAA0319L;CENPC;HOMER2;CAPNS2;BBS2;ATP6V0A2;COL6A1;PSD3;CERCAM;MAP3K12;PODXL;SEPT5;MALL;OSCP1;DNM1;TNFRSF21;CDK5R1;NET1;ANO9;CA2;EFNB3;PI4KAP1;MAPK10;NKTR;SHANK3;HFE;SCART1;CYBA;NID1;KRT14;SHC2;EDA2R;SPRY2;MRC2;GABBR1;XRN1;RAB11FIP3;LRP11;KCNMA1;GPR87;PAQR6;APC2;ARAP1;ASTN2;RPH3AL;SLC2A1;ERMAP;TNS2;SLC38A4;TP53I13;GNG2;PRR7;SRR;LRP1;HLA-A;RGS12;RNPEP;KCNG1;SLC48A1;CD99L2;PMEL;BBS1;ATXN10;JPH2;PDE2A;SDHA;LTB4R2;RET;PRX;DAB2IP;MYSM1;SHROOM2;OLFM2;SYT7;FGFR4;BBS5;EXOC2;IL20RA;SCN2A;ABTB1;DEF6;DLG5;BST2;CACNB3;PHF7;VIPR1;EFS;PLXND1;EHBP1;PCSK6;LPAR6;DMTN;STAT2;RASL10B;SLC36A4;TMEM231;PMP22;CA11;ACVR1B;SHROOM4;KREMEN1;CADM4;DLG4;ESYT2;ENDOU;NBEAL2;CD68;DUOX1;SLC22A15;SLC35G2;PTK7;SHANK2;TNFRSF25;CLSTN3;ACSL1;APOLD1;IRS2;ANO1;ALOX15B;GPR21;ZMAT3;S100A6;TNFSF12;TAS1R3;GPR132;SMPDL3B;TUB;SLC43A1;CPT1C;RDH12;TRAF5;SRPX2;CD9;PLIN4;RANBP9;CACNB1;HDAC11;PTPN3;GJB5;COL13A1;ERBB2;SYNGR1;GPR68;PAQR7;ABCA2;AKAP6;SLC2A11;TH;MPP7;PRKACA;LDLRAP1;FMNL3;SYNE2;PARD6G;ACKR3;SUCLG2;RIPK3;NFASC;KLF9;PI4K2B;AIP;KCNS3;CIT;CALHM2;SMURF1;NPNT;PEMT;TM4SF1;SERINC3
7145,GO:0031012,1.92670601998056e-05,0.999991304062638,47,236,extracellular matrix,CC,TGFBI;POSTN;SERPINE2;APOE;SLITRK6;SFRP1;ADAMTS7;COL22A1;WNT3;SMOC2;CSPG4;HTRA1;COL10A1;CRTAP;SDC3;BCAM;COL7A1;SPOCK1;LTBP4;TNXB;FLRT3;ADAMTS13;THBS3;LTBP1;ITGA6;LTBP3;MMP1;GPC2;MMP28;LOXL1;MXRA7;CST3;MMRN2;THSD4;COL6A1;NID1;SLIT3;TFPI2;LRRN3;PCSK6;MATN2;EFEMP2;CTSD;LAMB2;ECM2;NPNT;ECM1
3404,GO:0007186,2.98757703164905e-05,0.99998447288528,65,380,G-protein coupled receptor signaling pathway,BP,PTHLH;APOE;CXCR1;SFRP1;DGKQ;PIK3R1;VAV3;MC1R;OR2A4;NSG1;NOS1;PRKACB;CRY1;PLEKHG5;PLXNB1;ITPR3;OBSCN;GPRC5C;RGS2;ADGRB2;F2R;ADGRF4;ADORA2B;ARHGEF19;C5;ADGRL1;ARHGEF4;NMU;INSR;CELSR1;HEBP1;LPAR5;ARHGEF1;FZD7;NXPH4;HOMER2;CDK5R1;NET1;CA2;GABBR1;KLK5;GPR87;RPH3AL;GNG2;LRP1;RGS12;PDE2A;LTB4R2;RAPGEFL1;AREG;ARHGEF17;VIPR1;LPAR6;UCN2;ANO1;GPR21;SCG5;ARHGEF9;TAS1R3;PCSK1N;GPR132;PLCB3;GPR68;PPARG;ACKR3
3559,GO:0007600,5.17413808334288e-05,0.999976819623233,41,210,sensory perception,BP,TGFBI;SERPINE2;ESPN;SLITRK6;EPS8L2;EYS;REEP2;OR2A4;HSF4;ITPR3;NDN;F2R;SLC24A1;NLGN2;UNC119;ITGA2;NMU;SCNN1A;TRIOBP;PGAP1;ALDH7A1;HEXB;HOMER2;BBS2;DNM1;SPRY2;MYO3B;BBS1;OLFM2;BBS5;MYO9A;BBS10;TPRN;ALOXE3;ANO1;TAS1R3;TUB;RDH12;TH;LAMB2;EML2
15360,GO:0071625,6.01178187361446e-05,0.999996162687966,7,11,vocalization behavior,BP,NLGN4Y;SHANK3;BRINP1;DLG4;SHANK2;SRPX2;FOXP2
11240,GO:0045494,6.28664558522109e-05,0.999992654716092,9,19,photoreceptor cell maintenance,BP,BBS2;NPHP3;IQCB1;ERCC6;NPHP4;BBS1;BBS10;TUB;RDH12
