"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNIP1orf_IL17_24h1","fpool2_TNIP1orf_IL17_24h2","fpool2_TNIP1orf_IL17_24h3","fpool_TNIP1orf_IL17_24h1","fpool_TNIP1orf_IL17_24h2","fpool_TNIP1orf_IL17_24h3"
"A1BG",1.12724372837772,1.25286560645097,1.04918782456088,0.265467688686369,0.270047908300807,0.362609565981893,1.0671373181241,1.38183946183247,1.67273263623255,0.385130452874639,0.425149279199977,0.364950487869425
"A1BG-AS1",1.25096560100455,1.01422453855554,1.44953581024858,0.609014109339318,0.540095816601615,0.679892936216049,1.69180306531869,1.48259858925776,1.67273263623255,0.650737661753701,0.927598427345403,0.486600650492567
"A2ML1",80.1992672116541,76.5739526609436,56.1591588199163,118.101889972648,109.534432139122,132.594231294045,40.4991626097827,42.5347459345308,43.3572299311477,124.357295197177,127.325767464648,138.656855357857
"A4GALT",12.3859341374186,11.7232424603626,11.6791170997171,14.1634819787375,13.5023954150404,13.0388356434322,11.9467324150966,11.6736646202722,11.6823647314481,11.1820634938085,13.1538610322175,11.8608908557563
"AAAS",32.5800931250634,30.2328402890013,29.680971352709,32.4651367517036,33.0058554589876,33.9795380788865,33.3415342565114,33.3944536609514,31.8755931160475,31.5275756939446,35.6223562723617,30.7653261273925
"AACS",60.2800457187355,58.4819767011219,57.9952375128978,51.0010277205695,49.1187139876024,47.6378317308712,58.6404970178924,58.5122647119687,56.6855635766487,46.1094114614051,48.8921671079973,47.9179990572555
"AADACL2-AS1",0.976028106278272,1.28269573993789,1.11821333933462,0.733940080485844,0.855151709619224,0.815871523459259,1.01508183919121,1.33865697865021,1.11069447045841,0.982746672852528,1.21103128014539,0.973201300985134
"AADAT",6.63974049763951,5.87653629692477,6.58503410941497,6.93339139863223,7.02124561582099,7.02556034089917,5.96035233781507,6.59252576582575,6.40991146204313,6.56049805931282,5.92632328581786,6.20415829378023
"AAED1",8.96296232807653,9.09819071351297,8.91809650876744,6.71477094912581,6.57116576865298,6.73849443449684,7.66516927286698,8.67967911963521,8.0424985150061,6.93234815174351,6.9183382706178,6.88539920446982
"AAGAB",39.7147211132102,39.8232282050486,37.522269831006,45.7697526788087,46.5832641818893,45.945653756289,37.2456951764776,38.0293735225145,40.8280581851641,48.2873905742134,43.7517258231249,47.2854182116152
"AAK1",94.8671825553008,98.4991007738355,96.8427972275597,89.5719213120597,89.6259002327235,89.5947802613593,93.2573905082593,92.6840030702009,90.7691637725231,84.8482228764163,78.2790006187593,82.4666452422278
"AAMDC",2.07577808518337,2.17759974454573,2.15359606094074,1.8738895671979,2.25039923584006,2.32674471505048,2.3945520309126,2.21670080335626,2.11433405219794,2.1514183919204,2.04844652705443,2.53032338256135
"AAMP",72.1573454909105,71.7563861028048,72.7666976744786,79.4373019027977,77.3237177434645,77.4775772647977,74.1139881306917,74.1731119460701,74.3362383541745,77.0526512958158,83.9991909207226,75.6907311841188
"AAR2",24.9230838969367,23.9983423902334,22.4470974044208,24.3449486271794,22.9240668824241,22.7235328015319,20.1975258259585,21.1882050814312,20.7151209671039,22.1516412205137,24.6715415050896,21.5320787842961
