"","logFC","logCPM","F","PValue","FDR"
"TNIP1",3.14572075597515,9.29698130918271,1006.77789733844,1.45272683471313e-14,2.00287448701899e-10
"HEPHL1",-0.793548967007637,5.92106510938163,372.096214239654,1.43443871774105e-11,7.33781836120499e-08
"MAFB",-1.2378842997642,3.88979394527037,361.625999103998,1.74349928266624e-11,7.33781836120499e-08
"ADAMTS1",-0.560961204049833,8.1099214252021,351.203773683064,2.12890936714441e-11,7.33781836120499e-08
"XDH",0.540080227128669,5.09846348520029,252.563928973684,1.99081332601908e-10,5.48946866516501e-07
"IL32",-1.35769977226035,1.66902670503041,219.532604563969,5.09606642610873e-10,9.36478131409649e-07
"MMP9",-1.81023236455312,4.09796715183007,218.272419516206,5.29583635796319e-10,9.36478131409649e-07
"DUSP6",0.322151154961562,6.97666099506272,213.845874524758,6.07187217130451e-10,9.36478131409649e-07
"KRT1",-1.31631229371929,6.32479703385928,213.62837957619,6.1132249094704e-10,9.36478131409649e-07
"MIR22HG",-0.456441951677257,4.35551171713042,186.24854799281,1.52028573338136e-09,2.09601794061288e-06
"H6PD",0.752612106816983,5.0453106766257,183.268327215646,1.69134007424012e-09,2.11986414577713e-06
"TRIM16",-0.539948801878444,5.74417015780153,180.724253531127,1.85489437378492e-09,2.13111906094773e-06
"SPRR3",-0.830226653352484,3.65275910944861,171.78174717018,2.5913616849746e-09,2.74823873467268e-06
"PTPRS",0.419943553262964,4.44440478455161,152.99782322034,5.53199836516419e-09,5.25297134918577e-06
"S100P",-1.6356152619802,0.53960130606278,152.235311250447,5.71513528960517e-09,5.25297134918577e-06
"EDN1",-0.562095379373035,5.10428522214925,141.444794259652,9.21497548854947e-09,7.94042919128947e-06
"IGFBP3",-2.32768433005021,2.69742001581868,139.70782421599,9.98248508353538e-09,8.09579540274719e-06
"IL24",-1.06467702783424,1.50599769636247,138.239962627582,1.06883192961884e-08,8.18665878536382e-06
"SAA1",-0.79014897499545,2.92464198615403,129.090769462383,1.66186487205605e-08,1.1280540710883e-05
"ACTA2",0.646387343765396,2.39311246029563,128.863958128378,1.68074893896189e-08,1.1280540710883e-05
"DLG4",0.455680886717828,3.29398283679578,128.246676042895,1.73339583208927e-08,1.1280540710883e-05
"ZC3H6",0.649055545451954,2.83624248529592,126.798583442823,1.86445553493354e-08,1.1280540710883e-05
"HTRA1",0.424676521848727,7.09527292584826,126.615019819124,1.88186288786762e-08,1.1280540710883e-05
"DOCK4",0.272425459880836,6.21427189133563,124.625866667157,2.08288822689055e-08,1.19653249933917e-05
"GAMT",0.625924794154747,2.41212234667375,122.187637180819,2.36358747975511e-08,1.21138536555119e-05
"FOSL2",-0.261743627080709,7.0172871100556,121.700210883517,2.42474726127207e-08,1.21138536555119e-05
"BBS2",0.325942911057672,4.60509175288047,121.033755019324,2.51131643870992e-08,1.21138536555119e-05
"CYP1B1",-0.891338652655335,1.89469621801842,120.963512922578,2.52064425920311e-08,1.21138536555119e-05
"KRT4",-1.10874359472974,2.60987832673925,120.758727802277,2.54806524994448e-08,1.21138536555119e-05
"CXCL16",-0.376886945183185,3.99286502194423,116.735261926287,3.16242503123623e-08,1.4009388822627e-05
"F2R",0.306915813527762,5.4542070657639,116.712647210118,3.16632645747033e-08,1.4009388822627e-05
"ADM",-0.459848683957429,4.62949879503339,116.226056827784,3.25161704739293e-08,1.4009388822627e-05
"KRT13",-0.861209082918538,5.08720967989917,114.815203681396,3.51412457093792e-08,1.46815865028852e-05
"ST6GALNAC2",0.500112532578804,3.94969925193245,113.016127636228,3.88469169587668e-08,1.57524248267799e-05
"NT5E",0.275017828927941,7.81971636427792,112.473160204665,4.00515172316057e-08,1.57768648020614e-05
"TNFRSF6B",0.639141084328149,5.56095435962242,111.874428383456,4.14295412130896e-08,1.58663634640241e-05
"CXCL5",-1.17964645662401,1.49040590135207,109.006965999971,4.88269385327653e-08,1.79442924264718e-05
"TMEM2",-0.229887602303133,6.54668304585957,108.785478593146,4.94584109817891e-08,1.79442924264718e-05
"HNRNPA1P33",-0.440557625434035,4.01671844234003,106.878855144025,5.52972752636091e-08,1.95482957451123e-05
"ISYNA1",0.423438493068657,3.87869959574836,104.938897717397,6.20599824308966e-08,2.09558962424676e-05
"NFKBIA",-0.31444088913781,6.59796292992237,104.86946358268,6.23189777283797e-08,2.09558962424676e-05
"NYNRIN",0.320598777020725,6.09461526551675,104.22052155649,6.48001643937373e-08,2.12714253927728e-05
"APOE",0.634874673868317,4.06481246730496,101.920623044683,7.4547535948416e-08,2.39020204214142e-05
"ENC1",-0.232807547922997,6.49903661795245,100.880092261739,7.95000781854712e-08,2.46966279544751e-05
"S100A7A",-1.69064109124135,-1.86924529220208,100.657352624191,8.06084179264073e-08,2.46966279544751e-05
"RUNX1",-0.267475528556327,7.80003243156565,99.6710269205323,8.57330935675143e-08,2.56777247679743e-05
"CSMD2",0.594138692845639,2.18253713059938,99.3400070126494,8.7535581641749e-08,2.56777247679743e-05
"SLC16A9",-0.329993941771981,3.82672424973734,98.0935178251396,9.47221365980551e-08,2.72069603599455e-05
"MARVELD1",0.372518118292962,6.18675372564588,96.2249301114257,1.06793989755622e-07,2.97912873514507e-05
"BTBD2",0.329676707903642,5.92398199536529,96.045731703891,1.08041224891023e-07,2.97912873514507e-05
"SYTL1",0.469739968767428,4.48874263179863,94.4400109285117,1.1999082155178e-07,3.14720577690463e-05
"ESPN",0.733075564729002,2.19145973428085,94.251860348091,1.21487287365155e-07,3.14720577690463e-05
"ZMYND8",0.298813700055696,6.62660843337485,94.2371658120035,1.21605055101374e-07,3.14720577690463e-05
"HS1BP3",0.39728301237187,4.14152900425253,93.8786118877662,1.24519424262489e-07,3.14720577690463e-05
"NFATC4",0.692822383757471,2.57381515426053,93.7540605858253,1.25550386400054e-07,3.14720577690463e-05
"FLNC",0.580882379022298,3.82373851573602,93.2668131201467,1.29678220250159e-07,3.19263146890882e-05
"EFNB2",-0.217219257805152,6.8197138103189,92.9832720569188,1.3215151595447e-07,3.19644377274434e-05
"KCNG1",0.496393700916881,4.45419893689492,92.6081874673474,1.35506495875e-07,3.22108285970452e-05
"XPC",0.229361099719018,6.06552266740449,91.4523075390136,1.4647305446842e-07,3.39599963423435e-05
"SERPINE2",0.249244853357609,8.02329570330174,91.3200368558527,1.4779138177563e-07,3.39599963423435e-05
"FHL1",0.275525048692507,6.89612052667015,89.1137876692398,1.71907099409989e-07,3.88538226158281e-05
"S100A6",0.215909613584001,9.76355254745601,87.4848842664214,1.92608907608209e-07,4.28306291805544e-05
"RND3",-0.30221271397218,6.83055662968232,87.2347505009869,1.96033516376401e-07,4.29002236552609e-05
"GID4",0.242978938110942,4.74216211609141,85.5132058206818,2.2158092311349e-07,4.77333779213388e-05
"BPGM",-0.331913413404854,4.07855978020099,84.9553445762136,2.30659777329585e-07,4.87574756785079e-05
"FOS",0.576549008078142,4.87899385469557,84.7914160757962,2.33407804074963e-07,4.87574756785079e-05
"PRODH",0.690959907710475,2.98621610361436,83.2229237285761,2.61679405991236e-07,5.38473726925547e-05
"FST",-0.225735106761203,8.16714329372526,82.2243133308851,2.81712530539812e-07,5.68424789583273e-05
"OSBPL5",0.360090524982391,3.86309991805315,81.9173534620045,2.88218146054616e-07,5.68424789583273e-05
"IL20RB",0.274678350539184,6.35540010692198,81.865883747749,2.89325684049198e-07,5.68424789583273e-05
"H1F0",0.382826278254032,6.9739241347087,81.709248996411,2.92726191777852e-07,5.68424789583273e-05
"GSN",0.28739913367675,6.38426109337383,81.0217089941194,3.08202349818514e-07,5.90164694020535e-05
"ADGRL1",0.237721074599474,5.36518872400698,80.4431053720695,3.2195290482355e-07,6.03626348043519e-05
"LINC01468",0.51858881740716,2.12341400993789,80.3598350632316,3.23988900813958e-07,6.03626348043519e-05
"LRRC20",0.630449975801497,2.357159978148,79.9116464142143,3.35202975486143e-07,6.1619245640366e-05
"SLC43A3",-0.282385796997493,6.64608059960748,79.1587091646108,3.5505446932926e-07,6.44096837979278e-05
"CITED4",0.470516497505841,7.17586496213125,78.8038456993981,3.64873566923435e-07,6.53313229503038e-05
"JUN",-0.276731551887796,7.6545739177384,78.1709755974835,3.83164622723359e-07,6.77268032498327e-05
"PANX1",-0.202168191275404,5.98679069408954,77.5490664671535,4.02165309949884e-07,7.01854826364436e-05
