"","logFC","logCPM","F","PValue","FDR"
"KRT34",-1.25905413975099,3.74761211437076,2111.53484486362,2.06641363351247e-16,1.91124764508794e-12
"XBP1",-0.677606590694461,6.36689100473329,2022.16880888049,2.77414564930392e-16,1.91124764508794e-12
"HERPUD1",-1.29480389347115,7.05906432486314,1652.10591096306,1.0977102925009e-15,5.04178337345664e-12
"EFNA1",-1.70422230330528,4.66578346427269,930.005014590882,5.40676501656024e-14,1.86249537907959e-10
"DNAJC3",-0.640646126727441,6.64536832791213,853.011036841979,9.69361651631196e-14,2.33644594771552e-10
"GPT2",-0.705819391122525,5.22501502253616,826.086253920883,1.20367056890557e-13,2.33644594771552e-10
"DDIT4",-0.534563609484222,7.83205385802987,805.925707290421,1.42202071019978e-13,2.33644594771552e-10
"TNIP1",-0.670862428121764,9.29698130918271,785.279896679602,1.69401956983448e-13,2.33644594771552e-10
"SEC24D",-0.552197390948194,5.73283628259334,779.736441076156,1.77689995898166e-13,2.33644594771552e-10
"IL1B",-1.17809638082352,4.95268770227115,774.673936232975,1.85667071367335e-13,2.33644594771552e-10
"HMGCS1",-0.641317221213552,8.60746075506457,774.146028150474,1.86522283365053e-13,2.33644594771552e-10
"SLC6A9",-0.819556533779437,4.36266001924511,756.389206311868,2.18099575426e-13,2.50432837482905e-10
"SDC4",-0.6079026553516,7.68093906139205,666.077527587843,5.13294393806595e-13,4.87319330045391e-10
"SOD2",-0.944602468745453,4.88373322173137,663.693705920034,5.25818011873861e-13,4.87319330045391e-10
"PCK2",-0.878439643043363,5.58802193937403,662.818756603933,5.3050220993402e-13,4.87319330045391e-10
"ALDH1L2",-1.19264223152957,4.63146907704937,630.470147360445,7.42523413039362e-13,6.04767778590332e-10
"CXCL1",-1.1280111382377,5.24133092893133,630.014313760214,7.46139214459369e-13,6.04767778590332e-10
"CMPK2",1.07953042604761,3.13099195227233,600.613523066709,1.02838009883211e-12,7.87224965655982e-10
"OAS1",0.577232111791952,5.55129291014863,593.837424917502,1.10971867331843e-12,8.04779663139717e-10
"ADAM8",-0.553034958579992,7.3725910491623,587.805206175601,1.18837926726647e-12,8.18733896183235e-10
"RSAD2",1.0715891382686,2.49163089257388,573.869969144075,1.39579502328845e-12,9.01169924268026e-10
"MANF",-0.699384898361274,6.11765436127683,571.275665193046,1.43883724028569e-12,9.01169924268026e-10
"CCNB1",0.402587611358455,6.87957178258136,552.13152037978,1.80798700389365e-12,1.06942613668413e-09
"PARP9",0.472459301400008,6.05751851713539,547.865666399218,1.90438118279664e-12,1.06942613668413e-09
"CSF2",-1.93320848777112,2.00720401680125,545.067246607868,1.97081488853181e-12,1.06942613668413e-09
"HYOU1",-0.766289167559872,8.21989665355287,543.147257152337,2.01793160271336e-12,1.06942613668413e-09
"AKR1C2",1.19152558009671,2.44729630029809,525.826276615345,2.50672305058603e-12,1.27926433014907e-09
"INHBA",-0.783917060515524,6.11537231654239,501.94245464462,3.42051189145882e-12,1.68325833401468e-09
"LCE3D",-2.11099546878289,4.34584175648425,484.688744267739,4.32075622104471e-12,2.04483135341482e-09
"ASS1",-0.667049218766775,4.6400465353541,482.520220812356,4.45206042546227e-12,2.04483135341482e-09
"VEGFA",-0.538710573298154,7.13588897107283,475.738880511922,4.89315206020332e-12,2.16973007079349e-09
"TFCP2L1",0.461008381815575,6.33560274718894,473.483446426449,5.05080472149826e-12,2.16973007079349e-09
"CXCL8",-2.67944586325358,3.66739121618981,471.47113427493,5.19639250571052e-12,2.16973007079349e-09
"MX1",0.726287537708261,8.3623846007461,466.140602243501,5.60587282948395e-12,2.22943927467209e-09
"SERPINB2",-0.516758127528693,8.11320425302458,465.432612387904,5.66299256938263e-12,2.22943927467209e-09
"CDKN2B",-0.542635539789924,4.4017867523434,462.202037230779,5.93224299553721e-12,2.27056600654187e-09
"SPRR2D",-0.620873820008991,6.17145153064048,446.97670578129,7.41612461876656e-12,2.76180489518877e-09
"CXCL3",-1.03409208114311,2.35836914915764,433.143369047699,9.14315417605097e-12,3.31535582610017e-09
"NUSAP1",0.351529844209441,5.75576433757144,421.274955464179,1.09996174379835e-11,3.88624945328141e-09
"KNSTRN",0.376250320431524,5.3098911850764,417.260257484373,1.1722814646437e-11,4.03693127280886e-09
"SPRR2G",-2.15923345194203,3.0187035292347,415.73334371283,1.20120605403268e-11,4.03693127280886e-09
"MAGED1",-0.32442320495477,6.57723946753295,406.416445765782,1.39648874814143e-11,4.515328011637e-09
"B4GALT1",-0.319816390100053,7.30528393436167,405.867093817719,1.40909430655629e-11,4.515328011637e-09
"SLC39A14",-0.382421955284602,6.6069015804145,401.257623833023,1.52015941081344e-11,4.76051739127236e-09
"MX2",0.830686437094793,4.71368218353505,394.877703761456,1.69084568205577e-11,5.17736947845477e-09
"RNF144B",-0.526044946029974,5.20199256356304,391.060653092536,1.80343705730265e-11,5.40207808968982e-09
"PYCR1",-0.627958503567544,5.53787885682055,384.643621417802,2.01265796973613e-11,5.90051365212641e-09
"WIPI1",-0.594892412130099,3.7581077936255,378.389152973415,2.24376776882017e-11,6.34180014613739e-09
"IL32",-1.68846582476926,1.66902670503041,378.098381695306,2.25523047507607e-11,6.34180014613739e-09
"FAM83D",0.380368724419923,5.62758937170483,367.794673701608,2.70827609204147e-11,7.46346725444788e-09
"RCN1",-0.388359725505644,6.19096123009482,366.159266192551,2.7893893068353e-11,7.53627358017326e-09
"IRAK2",-1.08577689589153,3.15786702218479,363.342864511145,2.93569290513791e-11,7.66611700095596e-09
"PLK1",0.464853699371279,6.26257037023151,363.099908258006,2.94872052435348e-11,7.66611700095596e-09
"BHLHE40",-0.483750263172236,7.51025750957537,360.847584654428,3.07269936991878e-11,7.84050455890942e-09
"PRC1",0.318124418408208,6.56877046815932,356.03231066232,3.3583366391916e-11,8.33151963891297e-09
"PLSCR1",0.306610621079039,6.14674015796148,355.590115518386,3.38605921895004e-11,8.33151963891297e-09
"SEL1L",-0.496495647738893,6.35459783204217,353.099322789547,3.54720128730465e-11,8.57489237504751e-09
"INCENP",0.36598169031775,6.32568789612828,349.433069605007,3.80064493282156e-11,9.02915284988763e-09
"CD83",-0.824954918344052,2.44790988706795,344.019159772447,4.21381226479028e-11,9.84103715195682e-09
"HSPA5",-1.19420996676586,10.1872254397466,342.353892051217,4.35108517085035e-11,9.99226709485783e-09
"KPNA2",0.446994276168886,7.96577870037278,341.404006162208,4.4316794106103e-11,1.00105099342294e-08
"PARD6B",-0.623780894667361,3.73671137547591,338.82632319385,4.65914867405983e-11,1.03545821903017e-08
"KIF20A",0.444012733880562,5.74894363779516,334.349204087748,5.08680141323522e-11,1.11255613766616e-08
"RPL22L1",-0.47102590899847,5.80563356809355,332.32321362567,5.2949891270515e-11,1.11423893798842e-08
"SHMT2",-0.36759460044189,6.99403063114013,331.885566527314,5.34123358031942e-11,1.11423893798842e-08
"OSTC",-0.391981584298492,5.14713901588479,330.476869016117,5.49325798874086e-11,1.11423893798842e-08
"STC2",-1.4934107015362,5.31181782552565,330.471164559037,5.49388360473378e-11,1.11423893798842e-08
"LIF",-1.36037921851579,1.45565922895354,330.423096810152,5.49915850759325e-11,1.11423893798842e-08
"SDF2L1",-0.921113306627402,5.17893727388413,329.695784504922,5.57968551572693e-11,1.11423893798842e-08
"CNTNAP1",-0.84830926847842,2.64560101238916,324.417381693818,6.20633260657007e-11,1.21306828365607e-08
"GTSE1",0.399798102625365,5.28522777208031,324.067357771295,6.2506602902664e-11,1.21306828365607e-08
"TROAP",0.522304864490955,4.46724521487298,321.888600339189,6.5348813796553e-11,1.25061292403153e-08
"HJURP",0.409100502202735,5.653499698264,319.99838981434,6.79350752257346e-11,1.27181793901614e-08
"AURKA",0.433231632347328,5.63031712003751,319.329014223435,6.88789194351853e-11,1.27181793901614e-08
"DNAJB9",-0.851688471332761,3.49822650859164,319.085584398063,6.92258839002909e-11,1.27181793901614e-08
"UBE2C",0.381428425139889,5.71842716375539,318.108648864515,7.06386207082008e-11,1.27960798170172e-08
"CXCL5",-1.45160020717424,1.49040590135207,317.463782498556,7.1589257252119e-11,1.27960798170172e-08
"EREG",-0.881560464907087,5.51813281427495,316.897670161313,7.24358970699866e-11,1.27960798170172e-08
"NFKB2",-0.428651273596545,5.43506867432222,314.249098066345,7.65525049036763e-11,1.33521134818703e-08
"BCAT1",-0.881585854170784,6.50504325550856,312.563316040728,7.93122200969848e-11,1.36605385089544e-08
"TNFAIP2",-1.73106388951559,1.20511331768192,311.446299545333,8.1203636859486e-11,1.38136408924303e-08
"KCTD12",-0.620951050394961,6.41333725112493,309.168660512047,8.52227427424807e-11,1.4320538685959e-08
"HBEGF",-1.08147337436581,5.31061359547849,306.011135645005,9.11774142996728e-11,1.51365492968095e-08
"POSTN",0.558883656059368,4.23867460038301,303.318440560588,9.66343335176689e-11,1.58514819230948e-08
"IL1A",-1.16144940288121,7.42540150308477,302.537527955052,9.82862570929587e-11,1.59327804292221e-08
"TNF",-2.24286717413985,3.11257028835158,301.838494456303,9.9792471404285e-11,1.59888425986005e-08
"POU2F2",-0.375127784324911,5.5941026614367,300.570816469758,1.02591943337863e-10,1.62484412327864e-08
"CREB3L2",-0.315622597701615,6.38039141084498,299.776572369086,1.04391746568561e-10,1.63456122269114e-08
"WARS",-0.46125598403264,6.55544929323283,295.358377078491,1.1508925316121e-10,1.7818144037172e-08
"TUBA4A",0.381485143581852,8.08822256145115,292.867838912695,1.21670848072808e-10,1.86278068399469e-08
"MALL",0.38771902652383,6.82094687555028,286.958819220378,1.39086610635328e-10,2.08958346497992e-08
"MTHFD2",-0.415781499916177,6.53784188805321,286.823433387377,1.3951787414047e-10,2.08958346497992e-08
"CBS",-1.08532306958676,5.57705021553491,286.199469128577,1.41525385447722e-10,2.0968583721335e-08
"LOC284454",-0.444727673361369,4.84960463890872,284.683040017176,1.46543770940749e-10,2.13531285796446e-08
"RELB",-0.775940416373797,3.78556021411383,283.884932936479,1.49266720300656e-10,2.13531285796446e-08
"MKI67",0.329455647626585,8.93385800215094,283.698836294045,1.49909944689172e-10,2.13531285796446e-08
"CDKN2A",-1.23265475785433,1.88584737466308,283.580797976614,1.50319578505372e-10,2.13531285796446e-08
"HEPHL1",-0.31075136152027,5.92106510938163,278.81604179282,1.67977877838966e-10,2.36180324361542e-08
"RAD23A",0.291399441442149,6.48964430465671,276.426495295227,1.77721730609018e-10,2.47356335965825e-08
"CCNF",0.496045416473996,5.56701752277556,275.714683962981,1.80748379807606e-10,2.48135628491264e-08
"PRDM1",-1.13900128834156,5.22151261746808,275.451288143525,1.81883289626371e-10,2.48135628491264e-08
"ANKRD33B",-0.474335720711019,4.36146544245834,274.052740165333,1.88047825875092e-10,2.51655452067777e-08
"NCAPH",0.314324872083182,5.2196037306539,274.037555751025,1.88116057500407e-10,2.51655452067777e-08
"PDGFB",-0.601102723142624,3.89573017933755,272.281394971123,1.96202294160267e-10,2.59949174157146e-08
"PTX3",-2.88541887880229,-0.838174218279305,271.842895336618,1.98283044300828e-10,2.60204006421057e-08
"KIF23",0.329076075313229,6.21007921717949,270.422462478793,2.05198909660061e-10,2.63798277539793e-08
