"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNFAIP3orf_TNF_24h1","fpool2_TNFAIP3orf_TNF_24h2","fpool2_TNFAIP3orf_TNF_24h3","fpool_TNFAIP3orf_TNF_24h1","fpool_TNFAIP3orf_TNF_24h2","fpool_TNFAIP3orf_TNF_24h3"
"A1BG-AS1",1.75334147073645,1.55660945457507,1.84535931435497,0.937417099395737,0.872098422000412,0.629815066638903,1.52755558720729,1.80248193710609,1.79655313119922,0.903467895282745,0.952743663880692,1.0161060145293
"A2ML1",133.134792646891,118.85990999412,107.581885027847,175.589940430564,176.26078106875,179.259363855801,87.6903372467584,93.5198440761027,94.5263339800207,165.072750084486,150.939816043922,168.100410403668
"A4GALT",18.5888241363515,18.0287901007501,19.4019027912043,17.4154520497114,19.0892654593424,18.7125054243603,16.2987298974665,18.0087257823368,16.9463329010234,15.2803917941299,16.5469156918103,16.8048302402923
"AAAS",29.0067365644166,28.704343001903,31.0251034725929,28.854870090775,30.2604309602048,31.4907533319451,28.9947343534064,29.2581443005257,29.142164733972,29.7489718562666,31.1743331196256,29.909992427683
"AACS",65.8098847171564,63.8326041260448,64.702910959571,52.0705904429976,49.5573389009758,52.6385436806425,63.3215023602722,62.5879665482642,63.0693796346958,48.2635168407565,50.2011845247723,48.5386026940535
"AADACL2-AS1",1.63418234165727,1.52175998917414,1.26868452861904,1.31824279602526,1.06589807133384,1.021699996992,1.3258029624818,1.31967427538125,1.10557115766106,0.955842845733918,0.896699918946534,1.17243001676458
"AADAT",7.18359321020175,6.79564575318221,6.88165244311539,6.95739253457774,6.72761639828889,6.96995340413719,7.06134186539221,7.20992774842437,6.80617243935091,4.5566206892521,5.43624325861336,4.42918006333285
"AAED1",9.17525293909655,9.06086100424294,8.99612665748046,7.11851109853638,7.12905852905099,7.13790408857423,9.64089328152529,9.57568529087612,9.41462938945747,6.92658719716771,6.7953040732667,6.98247209984238
"AAGAB",42.573854546717,37.9743007985515,39.7521152300632,47.6910949317581,48.6713976468802,46.7742656157158,38.6356276349317,37.5785296709172,38.8850105608601,47.3207677326353,47.4830628954657,45.698716653446
"AAK1",103.56630590253,103.584227660044,103.006931727675,98.3555597256621,92.4562755641389,96.4456805379706,100.227821783271,99.8929052108707,100.693348093849,91.1716949978804,88.7873029119404,88.0625212592061
"AAMDC",1.95761426344361,2.16066685485793,2.28106915246655,2.32889560631129,2.40865278457257,2.32331780137906,2.13281346138377,1.86685629200274,2.05567137127603,2.69730994823544,2.21372792489925,2.31880603315661
"AAMP",70.1336588294579,71.2439237679769,73.6990376170514,73.5140065916751,75.429592086988,74.066251836735,67.1548022300565,69.3150866349638,68.0444498441706,77.2268644402555,73.7675792695859,77.4585431075798
"AAR2",22.1806207414523,22.8960987684139,22.5928366056098,22.0878904045121,22.2869596733439,22.8412930834375,22.8701011028111,21.4527537693073,21.6968339690983,19.1561381275167,19.5592669820213,19.3972032773606
"AARS",183.862536169169,184.458220367146,188.534209949932,145.826947524749,154.499849015025,155.466350227221,174.645718503445,181.374744921301,170.309781927819,171.580337678045,185.392708242196,182.03930060298
"AARS2",37.0244436781725,38.9617023182447,40.1750100729362,35.6511440613941,35.0915793614452,35.8714670176779,34.1250153821403,37.3532194287789,37.5548702617992,32.2891569531485,33.3740501082913,34.2870644902708
"AARSD1",13.8565044386356,14.1953489066473,14.0836797671952,18.1624563007924,17.3312257832463,16.7110931014856,14.742352506727,13.3254914636058,14.113306809517,16.223140902251,15.916423561301,15.5412112222238
"AASDH",9.9412759117484,8.39872116162519,9.58561643845496,12.1864222921446,12.7077198634346,12.1764246216855,9.85705680801688,9.44693658108283,9.82921857358037,15.4375166454834,15.580161091696,14.6684022097435
"AASDHPPT",32.2580785150055,29.4594147522565,30.3971687059026,35.9733811893114,34.8700940479212,33.6181286681476,32.2227763490143,30.7387544631485,30.4550304836945,33.8865929419093,33.3180063633571,32.6065814662416
"AASS",28.2407135917647,32.6655655691425,31.806818182146,23.567251764496,22.2731168412486,22.813301302698,31.5454639660073,31.8009313189432,31.0250906118635,24.4983830735364,26.1444070117849,24.8424893552228
"AATBC",2.9789782269794,2.91573860521151,2.7936689620096,5.96138686646977,6.16006028238386,5.43040546346432,3.15598748677734,2.33357036500342,3.1612425289371,5.30296373318133,5.87058228185309,5.66674508102879
"AATF",49.3659249042301,49.3352265192561,46.4030977588842,51.6018818932997,48.0069417063084,46.9981998616319,49.9914182266236,50.2280904081082,49.5434075026863,41.7690229848109,44.9751053096621,42.5722366087405
"AATK",0.697932041749459,2.03288548172117,1.79409933340066,1.02529995246409,1.09358373552433,0.993708216252491,0.979941320095246,0.869053791104723,1.19194390435333,1.33556123650493,1.3450498784198,1.71956402458805
"ABALON",14.3501636876779,14.1140334873784,13.6095249433679,16.2729749598229,17.3035401190558,16.1372615963257,13.0130442947942,13.0358068665708,13.2495793425943,16.9040152581163,16.4208172657084,17.9251522563118
