,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
10801,GO:0044282,1.66523286634777e-07,1,69,305,small molecule catabolic process,BP,NT5E;GLUD1;HEXB;PEX7;PFKFB2;HADH;APOBEC3C;AMACR;ALDH7A1;GLUL;HMMR;PGM1;SRD5A3;CPT2;CD44;MCCC1;ACAD11;PRODH;TYSND1;ENTPD2;NOS1;ACAT1;ADA;GLS2;IDUA;TRERF1;BDH1;APOBEC3F;ALDH4A1;THNSL2;ADPRM;ABCD1;GALE;HK2;ARG2;LONP2;PFKM;PPARA;APOE;CEMIP;AIG1;ALDH3B2;SORD;BCKDHB;PCCA;LRP5;HIBADH;EHHADH;NUDT7;ATP2B4;ESD;NOS3;HK1;IRS2;HMGCL;ETFA;CRAT;PFKL;ACOX3;AHCY;IMPA2;MLYCD;NPL;HYAL1;MMAA;ECI2;MCCC2;GUSB;PHYH
5328,GO:0016054,9.1265623667831e-07,0.999999636950136,48,191,organic acid catabolic process,BP,GLUD1;HEXB;PEX7;HADH;AMACR;ALDH7A1;GLUL;HMMR;CPT2;CD44;MCCC1;ACAD11;PRODH;TYSND1;NOS1;ACAT1;GLS2;IDUA;ALDH4A1;THNSL2;ABCD1;ARG2;LONP2;PPARA;CEMIP;AIG1;SORD;BCKDHB;PCCA;HIBADH;EHHADH;NUDT7;ATP2B4;NOS3;IRS2;HMGCL;ETFA;CRAT;ACOX3;AHCY;MLYCD;NPL;HYAL1;MMAA;ECI2;MCCC2;GUSB;PHYH
11652,GO:0046395,9.1265623667831e-07,0.999999636950136,48,191,carboxylic acid catabolic process,BP,GLUD1;HEXB;PEX7;HADH;AMACR;ALDH7A1;GLUL;HMMR;CPT2;CD44;MCCC1;ACAD11;PRODH;TYSND1;NOS1;ACAT1;GLS2;IDUA;ALDH4A1;THNSL2;ABCD1;ARG2;LONP2;PPARA;CEMIP;AIG1;SORD;BCKDHB;PCCA;HIBADH;EHHADH;NUDT7;ATP2B4;NOS3;IRS2;HMGCL;ETFA;CRAT;ACOX3;AHCY;MLYCD;NPL;HYAL1;MMAA;ECI2;MCCC2;GUSB;PHYH
4350,GO:0009925,1.11655969792988e-06,0.9999998908021,13,21,basal plasma membrane,CC,ITGA6;EPS15;ANK3;EGFR;CLCA2;PKD2;DST;OSCP1;CEACAM1;ERBB2;SHROOM4;MST1R;ERBB3
2590,GO:0005886,2.29749567920173e-06,0.999998538222617,450,2836,plasma membrane,CC,TGFBI;ITGB6;SLITRK6;SERPINE2;IFITM1;ITGA6;NT5E;ST3GAL5;MUC19;ADORA2B;VAMP3;GPNMB;KHDRBS1;NDRG1;CAPRIN2;CYBRD1;TM7SF3;SLC16A5;CSMD3;ITGA2;KCNJ15;PRR7;TENM2;PI4K2B;PIK3R1;PIK3C2G;RDH12;AMIGO2;PHF7;SLC13A5;GRIP2;KITLG;PSD3;FGFBP1;AMACR;INPP5D;HTRA1;EPS15;SYT8;SPRY2;SLC12A7;SLC39A6;STOM;SDK2;LAMP3;F2R;SUCLG2;MDM2;LRIG3;XPC;SLC5A1;SLC38A4;RGS2;THBD;HMMR;LHFPL2;ANK3;SLC20A1;CSMD2;SLC39A10;CDK14;BBS2;CD44;EGFR;SFRP1;PRR9;ATXN10;SH3D19;XRN1;DGKA;RAP2B;ADGRL1;EPHA4;ADD3;EPS8L2;ABCC1;TMEM63B;SHC2;ATP12A;NKTR;HOMER2;RAB40B;CLCA2;SCART1;PKD2;MARVELD1;ACSL1;ERMAP;SHANK2;ITPR3;SPG11;PARVB;PTPN1;WNT3;ASAP2;RIN1;CKAP5;ATP6V1H;HGSNAT;DSC1;PDCD6IP;PILRB;PPL;PPM1A;NF1;KCNC4;ADIPOR1;IGF1R;MVB12B;STK17B;CD109;DOCK8;ARHGEF4;FGFR4;OBSCN;RTN4RL1;PTPN3;SLC2A3;PLCH2;PLCD3;SMURF1;FERMT1;SLC36A4;IL1RAP;CDH16;DAAM1;EHBP1;MYOF;OR2A4;NCKAP1;CENPC;SNTB2;PAQR5;TENM4;MAL2;SLC2A1;SRPX2;RASAL2;MIB1;PLEKHG5;PLIN4;SERINC3;HCAR2;KIF20A;GJC2;DENND4C;TMEM123;LPAR6;LGR4;PRNP;ITPR2;ATP10B;GSDMA;ENTPD2;SYNE2;UGT1A1;NLGN2;CALD1;FLOT1;ALOX15B;TMEM231;BCL10;CAPNS2;SSFA2;ATP1B3;TANC1;WWP1;CDHR1;PRKG1;GNAL;F2RL1;NOS1;DSC3;CD9;GPSM2;ATP8B2;SYT14;ADA;RANBP9;ARRDC1;TNFRSF21;RAB11A;FLRT3;BRI3;FNTA;SLC29A4;NLGN4Y;GNAI1;SGK1;BCAM;SYT15;DLG4;LTB4R;CRIM1;TBC1D5;EXOC2;DLG5;SH3YL1;CASK;LAPTM4B;SLC24A1;TSG101;NRP2;SLC20A2;PRKACB;IFI6;EXOC1;TRPV4;TRIM4;DST;DOCK4;FLNC;ATP1A1;IL20RA;SEPT6;SYNGAP1;SCN4B;SDHA;EFNA3;NDUFS1;BFSP1;NLRX1;CTSV;APCDD1;MPP7;OCRL;ST6GALNAC6;OMG;EFNB3;ARL2;SSH1;SLCO4A1;PTPN13;SAMD8;PI4KAP1;STK39;CRTC1;SYTL1;HSD17B8;LPAR3;C19ORF33;SDCBP;HSD17B7;CDK5R1;TNFSF10;VAV3;ACVR1B;SIPA1L1;SNTA1;DUOX1;LTB4R2;VIPR1;DGKQ;UBR4;IQGAP3;MACF1;MALL;PFKM;ITGA1;SLC2A9;SLC7A8;IGFBP2;F12;NOTCH1;ESYT2;RAPGEF3;APOE;SLC48A1;PTPRE;SULF2;SLC44A1;CAMK2N1;ABCC2;LRRC8E;GM2A;GPRC5C;MINK1;NCR3LG1;ASIC1;NSG1;PTPRS;TTC8;OSCP1;PTPRU;RAB11FIP4;ADAM10;CEMIP;KCNG1;S100A6;NAE1;PROCR;CEACAM1;CXCR1;AQP3;SLC15A4;AHNAK2;SRR;ZP3;GJB6;ERBB2;ARAP1;GABBR1;ANXA4;SLC22A3;TRPC1;FAT2;TMBIM6;ITM2B;ACKR4;DUOXA1;CLCN3;KCNAB2;ADSS;MYO6;FMNL1;SYPL1;ABHD17C;PRKAR1A;FLVCR2;LRP5;TMEM117;ARHGAP32;LRP11;DEF6;CIT;BFAR;RAB27B;GNAQ;SYT7;ITGA4;PIK3CA;ITGB5;XKRX;SHROOM4;TM4SF1;ATP2B4;MST1R;KNTC1;FCGRT;PAK1;SLC25A5;NBEAL2;VAMP4;EDA;FAS;UTRN;WDFY3;IDE;PLIN2;PLXNB1;NOS3;CNTN1;TNFRSF19;SORL1;SHC1;IRS2;DNM1;SPTB;SLC22A15;INSR;HTR7;ADAM19;SCARB2;IL20RB;MANBA;TCTN3;NDUFV2;ETV5;TBC1D3E;SHROOM2;KREMEN1;CD46;C2CD4C;CORO1B;NISCH;CSPG4;LANCL1;ATP10D;CELSR1;LRBA;JAG1;CHRNA7;SEMA4G;DSP;PIM1;SDCBP2;SLC7A1;ALDH1A3;ATP7B;GAA;UNC5B;PLEKHN1;ZNF397;BMPR1A;PJA2;ARHGAP12;LZTS2;PARD6G;ATRN;EVC;RHOD;DVL1;ICOSLG;SHANK3;PAG1;PTCD3;ERBB3;PMEL;ATP11B;BAIAP2L1;NSMF;PHKA2;NDE1;PSD4;INPP5B;MRC2;SLC22A23;PTK6;PDS5A;SIAH1;GPHN;SLC44A5;LRRC8A;EPOR;SYNC;EEA1;SLC10A6;FGFR3;HFE;ADI1;KIAA0319L;SLC9B2;BBS1;DDX50;FZD4;GCSAM;DISC1;VPS4A;SLC2A11;IFNGR2;LYPD5;PLGRKT;PLEKHH2;LRIG2;SOD1;RHOU;TTC7B;CA2;SCN2B;STXBP3
11132,GO:0045178,2.8328981150415e-06,0.999999507373315,17,36,basal part of cell,CC,ITGA6;ITGA2;EPS15;ANK3;EGFR;CLCA2;PKD2;DST;ITGA1;KRT14;OSCP1;CEACAM1;ERBB2;SHROOM4;MST1R;ERBB3;HFE
15543,GO:0071944,5.90343987355938e-06,0.999995756069985,458,2908,cell periphery,CC,TGFBI;ITGB6;SLITRK6;SERPINE2;IFITM1;ITGA6;NT5E;ST3GAL5;MUC19;ADORA2B;VAMP3;GPNMB;KHDRBS1;NDRG1;CAPRIN2;CYBRD1;TM7SF3;SLC16A5;CSMD3;FAM110C;ITGA2;KCNJ15;PRR7;TENM2;PI4K2B;PIK3R1;PIK3C2G;SEPT10;RDH12;AMIGO2;PHF7;SLC13A5;GRIP2;KITLG;PSD3;FGFBP1;AMACR;INPP5D;HTRA1;EPS15;SYT8;SPRY2;SLC12A7;SLC39A6;STOM;SDK2;LAMP3;F2R;SUCLG2;MDM2;LRIG3;XPC;SLC5A1;SLC38A4;RGS2;THBD;HMMR;LHFPL2;ANK3;SLC20A1;CSMD2;SLC39A10;CDK14;BBS2;CD44;EGFR;SFRP1;PRR9;ATXN10;SH3D19;XRN1;DGKA;RAP2B;ADGRL1;EPHA4;ADD3;EPS8L2;ABCC1;TMEM63B;SHC2;ATP12A;NKTR;HOMER2;RAB40B;CLCA2;SCART1;PKD2;MARVELD1;ACSL1;ERMAP;SHANK2;ITPR3;SPG11;PARVB;PTPN1;WNT3;ASAP2;RIN1;CKAP5;ATP6V1H;HGSNAT;DSC1;PDCD6IP;PILRB;PPL;PPM1A;NF1;KCNC4;ADIPOR1;IGF1R;MVB12B;STK17B;CD109;DOCK8;ARHGEF4;FGFR4;OBSCN;RTN4RL1;PTPN3;SLC2A3;PLCH2;PLCD3;SMURF1;FERMT1;SLC36A4;IL1RAP;CDH16;DAAM1;EHBP1;MYOF;OR2A4;NCKAP1;CENPC;SNTB2;PAQR5;TENM4;MAL2;SLC2A1;SRPX2;RASAL2;MIB1;PLEKHG5;PLIN4;SERINC3;HCAR2;KIF20A;GJC2;DENND4C;TMEM123;LPAR6;LGR4;PRNP;ITPR2;ATP10B;GSDMA;ENTPD2;SYNE2;UGT1A1;NLGN2;CALD1;FLOT1;ALOX15B;TMEM231;BCL10;CAPNS2;SSFA2;ATP1B3;TANC1;WWP1;CDHR1;PRKG1;GNAL;F2RL1;NOS1;DSC3;CD9;GPSM2;ATP8B2;SYT14;ADA;RANBP9;ARRDC1;TNFRSF21;RAB11A;FLRT3;BRI3;FNTA;SLC29A4;NLGN4Y;GNAI1;SGK1;BCAM;SYT15;DLG4;LTB4R;CRIM1;TBC1D5;EXOC2;DLG5;SH3YL1;CASK;LAPTM4B;SLC24A1;TSG101;NRP2;SLC20A2;PRKACB;IFI6;EXOC1;TRPV4;TRIM4;DST;DOCK4;FLNC;ATP1A1;IL20RA;SEPT6;SYNGAP1;BCAS3;SCN4B;SDHA;EFNA3;NDUFS1;BFSP1;NLRX1;CTSV;APCDD1;MPP7;OCRL;ST6GALNAC6;OMG;MKLN1;EFNB3;ARL2;SSH1;SLCO4A1;PTPN13;SAMD8;PI4KAP1;STK39;CRTC1;SYTL1;HSD17B8;LPAR3;C19ORF33;SDCBP;HSD17B7;CDK5R1;TNFSF10;VAV3;ACVR1B;SIPA1L1;SNTA1;DUOX1;LTB4R2;VIPR1;DGKQ;UBR4;IQGAP3;MACF1;MALL;PFKM;ITGA1;SLC2A9;SLC7A8;IGFBP2;F12;NOTCH1;ESYT2;RAPGEF3;APOE;SLC48A1;EXOC6B;KRT14;PTPRE;SULF2;SLC44A1;CAMK2N1;ABCC2;LRRC8E;GM2A;GPRC5C;MINK1;NCR3LG1;ASIC1;NSG1;PTPRS;TTC8;OSCP1;PTPRU;RAB11FIP4;ADAM10;CEMIP;KCNG1;S100A6;NAE1;PROCR;CEACAM1;CXCR1;AQP3;SLC15A4;AHNAK2;SRR;ZP3;GJB6;ERBB2;ARAP1;GABBR1;ANXA4;SLC22A3;TRPC1;FAT2;TMBIM6;ITM2B;ACKR4;DUOXA1;CLCN3;KCNAB2;ADSS;MYO6;FMNL1;SYPL1;ABHD17C;PRKAR1A;FLVCR2;LRP5;TMEM117;ARHGAP32;LRP11;DEF6;CIT;BFAR;RAB27B;GNAQ;SYT7;ITGA4;PIK3CA;ITGB5;XKRX;SHROOM4;TM4SF1;ATP2B4;MST1R;KNTC1;FCGRT;PAK1;SLC25A5;NBEAL2;VAMP4;EDA;FAS;UTRN;WDFY3;IDE;PLIN2;PLXNB1;NOS3;WIPF1;CNTN1;TNFRSF19;SORL1;SHC1;IRS2;DNM1;SPTB;SLC22A15;INSR;HTR7;ADAM19;SCARB2;IL20RB;MANBA;TCTN3;NDUFV2;ETV5;TBC1D3E;SHROOM2;KREMEN1;CD46;C2CD4C;CORO1B;NISCH;CSPG4;LANCL1;ATP10D;CELSR1;LRBA;JAG1;CHRNA7;SEMA4G;DSP;PIM1;SDCBP2;SLC7A1;ALDH1A3;ATP7B;GAA;UNC5B;PLEKHN1;ZNF397;BMPR1A;PJA2;ARHGAP12;LZTS2;PARD6G;ATRN;EVC;RHOD;DVL1;ICOSLG;SHANK3;PAG1;PTCD3;ERBB3;PMEL;BAX;ATP11B;BAIAP2L1;NSMF;PHKA2;NDE1;PSD4;INPP5B;MRC2;SLC22A23;PTK6;PDS5A;SIAH1;GPHN;SLC44A5;LRRC8A;EPOR;SYNC;EEA1;SLC10A6;FGFR3;HFE;ADI1;KIAA0319L;SLC9B2;BBS1;DDX50;FZD4;GCSAM;DISC1;VPS4A;SLC2A11;IFNGR2;LYPD5;PLGRKT;PLEKHH2;LRIG2;SOD1;RHOU;TTC7B;CA2;SCN2B;STXBP3
10787,GO:0044255,6.58318471594956e-06,0.99999612350344,138,757,cellular lipid metabolic process,BP,KDSR;ST3GAL5;HEXB;CES2;PEX7;PDK1;PI4K2B;PIK3R1;PIK3C2G;RDH12;KITLG;HADH;AMACR;INPP5D;SIK1;CYP3A5;MBOAT2;POGLUT1;GPCPD1;RETSAT;SRD5A3;CPT2;CBR4;UGT1A3;OSBPL10;EGFR;DGKA;FBXW7;PGAP1;CERS4;ACSL1;PLA2G6;PITPNM2;COQ2;ADIPOR1;FGFR4;DDHD2;B4GALT6;PLCH2;ACSS2;ISYNA1;ACAD11;PTGS1;SERINC3;TMEM86A;SREBF1;LMF1;PIGB;TYSND1;UGT1A1;SPTLC3;ALOX15B;PTGR2;ACAT1;PDPR;SPTSSB;PLA2G4D;SH3YL1;ETNK2;PITPNM3;ARSD;THNSL2;NPC2;OCRL;ST6GALNAC6;AKR1C2;PTPN13;ACOT1;SAMD8;PI4KAP1;HSD17B8;ABCD1;MBOAT7;VAV3;MYO5A;DGKQ;LONP2;LTA4H;PPARA;PIP5KL1;ESYT2;ALOXE3;APOE;SLC44A1;GM2A;SPTSSA;AIG1;CEACAM1;ZP3;ERBB2;ALDH3B2;LIPG;AASDH;PPARG;PIGQ;PCCA;ATM;ALDH1A2;EHHADH;ACSF2;NUDT7;PIK3CA;OSBPL5;GAL3ST4;ZADH2;PIGV;CWH43;PLA2G4B;IRS2;RDH14;DGAT2;SCARB2;ETFA;MTMR4;CRAT;MVD;PIK3C3;ALDH1A3;HMGCR;ACOX3;IMPA2;ERBB3;BAX;MLYCD;ELOVL1;INPP5B;MMAA;SLC44A5;GAB1;PIGP;FGFR3;ECI2;CERS3;PQLC3;KLF4;TTC7B;PHYH;PLA2G4E
10800,GO:0044281,9.19370497531868e-06,0.999993767532413,241,1510,small molecule metabolic process,BP,KDSR;NT5E;ADORA2B;MBTPS2;NPHP3;GLUD1;HEXB;CES2;PEX7;PFKFB2;PDK1;RDH12;CYP4F22;HADH;APOBEC3C;AMACR;INPP5D;SIK1;SEC14L2;IARS2;FOXO1;SEPSECS;AK3;PMPCB;RORA;ALDH7A1;SUCLG2;NMRK1;PTHLH;GLUL;UROS;DHTKD1;GAMT;HMMR;PGM1;RETSAT;SRD5A3;RRM2B;CPT2;CBR4;UGT1A3;CD44;DKK3;HDDC2;ABCC1;MCCC1;BPHL;PKD2;CRTAP;ACSL1;KDM3A;NF1;H6PD;COQ2;UGT1A4;ADIPOR1;FGFR4;B4GALT6;SLC2A3;PLCH2;PLCD3;BMP6;ACSS2;GSTO2;ISYNA1;IPPK;MAPK7;ACAD11;PTGS1;SLC2A1;UGT1A5;SERINC3;LDHB;TMEM86A;SREBF1;PRODH;LMF1;TYSND1;PRSS3;ENTPD2;UGT1A1;ALOX15B;PPCS;EPM2AIP1;PTGR2;NOS1;ACAT1;CKMT1B;ADA;PDPR;TK2;DLG4;PPA2;GLS2;IDUA;CASK;TRERF1;ISCU;BDH1;ODC1;APOBEC3F;ALDH4A1;PPA1;NAPRT;UQCRC2;D2HGDH;THNSL2;IDH2;NPC2;SDHA;NDUFS1;ADPRM;UQCRH;OCRL;AKR1C2;ACOT1;HSD17B8;ABCD1;NADK;NDUFB6;HSD17B7;XDH;MYO5A;GALE;HK2;LTB4R2;ARG2;DGKQ;LONP2;PFKM;LTA4H;SLC2A9;PPARA;SLC7A8;RAPGEF3;ALOXE3;APOE;AMPD3;OARD1;ABCC2;SMPDL3A;HLCS;CEMIP;ADNP;AIG1;TPR;CEACAM1;LARS;SRR;ATP5S;CYP2R1;GABBR1;ALDH3B2;OSBPL1A;AASDH;COX7B;SORD;BCKDHB;CKMT1A;KCNAB2;PPARG;RAD50;ADSS;AZIN2;PCCA;PLTP;LRP5;UAP1L1;HIBADH;SNAI2;ALDH1A2;GTPBP1;EHHADH;ACSF2;PGLS;NUDT7;PIK3CA;OSBPL5;ZADH2;ATP2B4;ESD;NDUFV3;SIRT5;NOS3;HK1;SORL1;PLA2G4B;RIMKLB;IRS2;HMGCL;RDH14;DGAT2;INSR;SCARB2;ETFA;NDUFV2;CRAT;MVD;NISCH;CSPG4;CEBPA;PIM1;ABHD14B;NR1D1;PFKL;ALDH1A3;HMGCR;DNPH1;ACOX3;GAA;PSMA2;AHCY;IMPA2;LCMT1;LHPP;MLYCD;PC;UGGT2;ELOVL1;INPP5B;NPL;ACY1;HYAL1;GPHN;MMAA;ACP5;PRPSAP2;ADI1;MDH1;ECI2;B3GLCT;NME4;CDK1;OSBPL9;MCCC2;GUSB;SOD1;NDST2;PHYH;CA2;PRPS2
13530,GO:0055114,9.38989722582893e-06,0.999994388336939,126,717,oxidation-reduction process,BP,TXNRD3;KDSR;GPX3;CYBRD1;GLUD1;PEX7;RDH12;SESN3;CYP4F22;HADH;AMACR;PMPCB;ALDH7A1;SUCLG2;CYP3A5;DHTKD1;PGM1;RETSAT;SRD5A3;RRM2B;TTC19;CPT2;CBR4;HSD11B1;HR;KDM3A;PPP1R3E;NFATC4;H6PD;ADIPOR1;PYGB;JMJD1C;PYGL;ACSS2;GSTO2;ACAD11;HSDL2;PTGS1;SDR9C7;LDHB;TMX4;PRODH;TYSND1;ALOX15B;EPM2AIP1;PTGR2;NOS1;ACAT1;PDPR;TRAP1;FAM213A;BDH1;ALDH4A1;UQCRC2;D2HGDH;IDH2;SDHA;NDUFS1;HTATIP2;SDHAF4;DUS4L;UQCRH;AKR1C2;SESN1;HSD17B8;ABCD1;NDUFB6;HSD17B7;XDH;DUOX1;HK2;AGL;LONP2;PFKM;PPARA;ALOXE3;TET1;KDM6A;CYP2R1;ALDH3B2;COX7B;SORD;BCKDHB;DHRS4L2;KCNAB2;PPARG;CRYZ;TMLHE;HIBADH;ALDH1A2;EHHADH;PIK3CA;ZADH2;NDUFV3;NOS3;HK1;KDM4C;IRS2;RDH14;DGAT2;INSR;ETFA;OXR1;MICAL2;NDUFV2;CRAT;LOXL1;NR1D1;DHRS12;PFKL;ALDH1A3;HMGCR;MSRB2;ACOX3;GAA;PHYHD1;PRDX5;MLYCD;PHKA2;GPHN;ADI1;MDH1;ECI2;CDK1;SOD1;PHYH
