"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNIP1orf_TNF_24h1","fpool2_TNIP1orf_TNF_24h2","fpool2_TNIP1orf_TNF_24h3","fpool_TNIP1orf_TNF_24h1","fpool_TNIP1orf_TNF_24h2","fpool_TNIP1orf_TNF_24h3"
"A1BG",1.0043412308102,1.06871693896199,1.43527946672053,0.424767123163694,0.498341955428807,0.475860272571615,1.37005431701305,1.72607067685923,1.28950057831805,0.549161793118273,0.502691506908276,0.378416439314828
"A1BG-AS1",1.75334147073645,1.55660945457507,1.84535931435497,0.937417099395737,0.872098422000412,0.629815066638903,1.9266388832996,1.50377369574858,1.79786138323189,0.708129680599879,0.58206385010432,0.650876275621504
"A2ML1",133.134792646891,118.85990999412,107.581885027847,175.589940430564,176.26078106875,179.259363855801,63.4649119558024,60.0724900719039,67.9839583742101,239.550154808645,203.378400715996,209.521614119834
"A4GALT",18.5888241363515,18.0287901007501,19.4019027912043,17.4154520497114,19.0892654593424,18.7125054243603,17.9819629107963,17.2214778895728,17.0734836186918,16.2291761492584,17.6074314656557,15.8783537936502
"AAAS",29.0067365644166,28.704343001903,31.0251034725929,28.854870090775,30.2604309602048,31.4907533319451,30.0841093777449,30.9385092534011,30.1296769741621,28.8888006432481,31.3123893908392,29.2288857726773
"AACS",65.8098847171564,63.8326041260448,64.702910959571,52.0705904429976,49.5573389009758,52.6385436806425,62.6657136042114,62.5439094501342,61.5612535706645,51.2454662736157,52.1740869275327,51.6311389801151
"AADACL2-AS1",1.63418234165727,1.52175998917414,1.26868452861904,1.31824279602526,1.06589807133384,1.021699996992,1.14171193084421,1.34685817967046,1.71106807507587,1.04051708169778,1.29641493886871,0.847652824065214
"AADAT",7.18359321020175,6.79564575318221,6.88165244311539,6.95739253457774,6.72761639828889,6.96995340413719,6.42212961099867,6.44661245220911,6.23671914321132,5.76619882774187,6.11167042609536,6.84176922281209
"AAED1",9.17525293909655,9.06086100424294,8.99612665748046,7.11851109853638,7.12905852905099,7.13790408857423,9.16223824502477,8.8134214863873,8.93971074007031,6.51768338674582,7.56683005135616,7.38668889542544
"AAGAB",42.573854546717,37.9743007985515,39.7521152300632,47.6910949317581,48.6713976468802,46.7742656157158,39.3034332193118,37.5420372216883,39.2429743305444,47.0833979468246,46.7767675902017,47.9832045051202
"AAK1",103.56630590253,103.584227660044,103.006931727675,98.3555597256621,92.4562755641389,96.4456805379706,98.6581822240751,100.896676838226,98.4360104929517,92.5626653926984,87.296348791782,90.3355723932357
"AAMDC",1.95761426344361,2.16066685485793,2.28106915246655,2.32889560631129,2.40865278457257,2.32331780137906,2.58312324353502,2.02682541600895,2.231827924012,2.1821955463384,2.26211178108724,2.34618192375193
"AAMP",70.1336588294579,71.2439237679769,73.6990376170514,73.5140065916751,75.429592086988,74.066251836735,73.5547911446381,70.7950503372416,73.6627205364184,74.555939228873,74.636460052013,72.4894531151484
"AAR2",22.1806207414523,22.8960987684139,22.5928366056098,22.0878904045121,22.2869596733439,22.8412930834375,20.9932281283979,18.5683360692433,19.9748599199074,20.0155021965476,21.3908464913338,21.3578238349289
"AARS",183.862536169169,184.458220367146,188.534209949932,145.826947524749,154.499849015025,155.466350227221,204.394978419384,213.287415229174,196.400857313056,156.901304944345,151.759920190835,154.136584061716
"AARS2",37.0244436781725,38.9617023182447,40.1750100729362,35.6511440613941,35.0915793614452,35.8714670176779,38.2045354858743,37.816639374825,41.1772251980215,36.4903559900958,35.5058948563635,35.5560086380212
"AARSD1",13.8565044386356,14.1953489066473,14.0836797671952,18.1624563007924,17.3312257832463,16.7110931014856,14.9136120966525,14.6192955812775,14.1969054055208,15.8100789913524,16.1655005642609,15.8178071633598
"AASDH",9.9412759117484,8.39872116162519,9.58561643845496,12.1864222921446,12.7077198634346,12.1764246216855,9.66173721476911,8.8134214863873,9.18769162051609,12.3705919712958,13.3742398285334,13.4564885820353
"AASDHPPT",32.2580785150055,29.4594147522565,30.3971687059026,35.9733811893114,34.8700940479212,33.6181286681476,30.0841093777449,28.7678446143206,29.8320999176271,33.7445470245044,34.8973735585272,36.1917482560701
"AASS",28.2407135917647,32.6655655691425,31.806818182146,23.567251764496,22.2731168412486,22.813301302698,30.6121511457603,31.9061549358828,30.811624395388,21.634084323633,23.1899529371107,23.5375025253823
"AATBC",2.9789782269794,2.91573860521151,2.7936689620096,5.96138686646977,6.16006028238386,5.43040546346432,2.39759505477284,2.44526679221725,3.27334762188427,4.7112301199094,4.19350546552431,4.4047673536246
"AATF",49.3659249042301,49.3352265192561,46.4030977588842,51.6018818932997,48.0069417063084,46.9981998616319,46.4391327870881,44.8778375983401,44.9961307568865,48.4129475512162,46.9751984481918,49.3000937139358
"AATK",0.697932041749459,2.03288548172117,1.79409933340066,1.02529995246409,1.09358373552433,0.993708216252491,1.64121090058855,1.75222326287225,1.95904895552165,1.44516261346914,1.42870217752879,1.18065929066226
"ABALON",14.3501636876779,14.1140334873784,13.6095249433679,16.2729749598229,17.3035401190558,16.1372615963257,14.9136120966525,15.7830856588568,14.891251870769,19.5819534125069,18.4672985169462,16.3778634935457
"ABAT",12.0861402351736,14.1140334873784,14.9038394624641,13.4167822351015,12.6246628708631,13.3800711934842,13.1867728012506,12.6709279233076,12.4486401983781,11.9659464395245,12.3159419192528,12.4726058398167
"ABCA1",78.6960933904329,76.5526589973859,78.8250357124819,36.0612640423798,37.8324601163036,36.151384825073,85.7711088046711,81.7529838766964,79.3538817426491,35.7677746833612,34.3946820516189,37.9778738496361
"ABCA10",1.03838669626139,0.987401519693141,1.02519961908609,1.23035994295691,1.01052674295286,1.11967122958027,0.71356995677763,1.05917973352726,0.793538817426491,1.05496870783247,0.820180879692451,0.893062796782994
"ABCA11P",6.00902465213559,5.90117614122489,5.33103801924768,7.93875106050765,7.2259583537177,7.03993285598596,5.72283105335659,5.79279780188364,5.12080518120532,6.83561916170903,6.21750021702342,6.75094927737653
"ABCA12",56.1579952617431,46.0129108177004,39.7136702443475,88.3076201915141,90.2414224288998,91.0572627456156,25.7884182379435,24.9364907634133,28.369012722997,128.113665684039,125.461217145213,129.342738957808
"ABCA13",1.54906867802929,1.90510410858441,1.7172093619692,1.91877562532565,1.27354055276251,1.79147396732843,1.45568271182636,1.6737655048332,1.36389484245178,1.87871139750988,1.86525006510703,1.86180888142895
"ABCA2",3.84713759598483,5.61076392955044,5.97178778117649,3.14913556828256,3.39149386333494,3.66692327687539,6.70755759370972,6.35507840116354,6.80707516823661,5.18813378235421,4.45807994284445,4.57127058692312
"ABCA5",16.5290734765543,13.7306893679682,14.0324197862409,16.9760377843697,15.7946714206741,15.8573437889306,14.2428563372815,12.8409197323922,14.1721073174762,15.0441428062138,14.2737930514218,13.9105883092131
"ABCA7",22.8785527832018,23.6163210533665,27.1421599153043,22.4394218167855,24.0588421815352,25.1646108848166,25.0891196803015,26.9110110073962,25.7404153902718,31.331125460011,28.4020701403176,28.6385561273462
"ABCA9",1.9916597288948,2.09096792405606,1.92224928578642,1.94806990968177,2.06258198219145,1.63751917326115,1.94091028243515,1.86990989993084,1.93425086747707,1.82090489297112,1.66681920711692,1.58934904512228
"ABCB10",24.0190758758168,22.2571919027301,21.9520868436809,22.1757732575804,21.8578318783913,20.0561108998566,22.0064974670221,21.8504856138771,24.2649291516194,22.573440022388,20.4251496491152,21.9784267954052
"ABCB5",1.71929600528525,1.77732273544765,1.75565434768493,1.40612564909361,1.39812604161971,1.59553150215189,1.88382468589294,2.02682541600895,1.673870943009,1.70529188389359,1.68004793098292,1.28661589367041
"ABCB6",7.60916152834167,8.43357062702612,8.53478682889171,6.53262541141405,5.98010346514568,6.95595751376744,7.99198351590945,7.53194477174938,8.77852316778055,6.87897404011311,7.24934067857199,6.73581261980393
"ABCB7",14.3671864204035,13.9397861603738,14.480944619591,17.6205120402043,17.1651117981034,17.0749862510991,13.9431569554349,14.4493037721928,14.2217034935654,15.9112403742952,16.0067558778688,17.3617462357643
"ABCB8",38.1819895035131,40.890039403763,40.6619798920021,31.0665885596619,30.5788160983954,33.3522067511223,43.4564103677577,40.536508320179,41.673186958913,32.5306104291904,31.9605968602736,31.5750676964292
"ABCB9",7.35382053745772,7.93406162294606,8.41945187174453,7.25033537813891,6.76914489457463,6.95595751376744,8.49148248565379,9.49338872272579,9.64645624934078,6.7344577787662,6.95830875351983,7.56832878629656
"ABCC1",110.937149172713,112.215278591009,111.387938613704,94.9281284559965,94.6296002030924,94.0523832847428,108.20574824576,108.86013927919,111.107833483731,101.84060937117,94.9954660817982,100.265219760857
"ABCC10",31.9176238604936,33.3625548771612,35.1259019489372,23.318250347469,23.145215263249,25.934384855153,32.7100468186865,32.9522583764036,34.717323262409,26.3453144435424,25.1081178976818,27.0794803973691
"ABCC2",2.17890978887636,2.38138013573052,2.28106915246655,1.61118563958642,1.59192569095313,1.74948629621917,2.11216707206178,1.83068102091131,2.10783748378912,1.82090489297112,1.56098941618886,1.77098893599339
"ABCC3",32.0367829895727,34.1989420467836,35.4847218156174,19.7736419403788,22.4946021547725,22.9952478775048,37.4196085334189,37.9474023048901,39.7017389593691,21.9231168463269,22.0919688562321,19.9501146806777
"ABCC4",31.0664872242137,30.4932822258176,29.1925591534765,26.1012073613001,24.9447834356308,25.4725204729512,27.7864141169209,27.6302071227543,28.2326232387519,22.0965363599432,22.0655114085001,23.1893594012126
"ABCC5",34.5391247002354,35.3605908934814,33.3446176107751,34.6258441089301,30.8695155723955,33.5621451066686,32.1534622524,34.1945062120219,32.8822647471102,35.5799035436102,33.4686713809984,33.1341434264063
"ABCC9",131.55167850341,121.764032110865,125.292208447559,136.101245118519,136.490324459112,136.319972201398,127.686208065789,126.996957679219,124.511200071825,142.83987271529,133.715940837602,139.287522983002
"ABCD1",2.87684183062582,3.06675295528223,3.16530382392831,1.80159848790118,1.59192569095313,1.94542876139572,3.51076418734594,3.87058272992677,3.90569886702101,2.38451831222408,2.52668625840739,2.16454203288081
"ABCD3",36.9903982127214,32.7817304538123,35.8307266870589,42.901479439533,40.628712199543,40.5600902915453,34.5082431097662,33.4622338036574,33.7997940047596,38.5135836489526,38.3103843159571,41.4138951186148
"ABCD4",11.2860717970705,11.3260762553037,12.2511354480788,10.6191780790923,11.2265368292434,11.4906259935675,11.9451610764575,11.7948162918714,10.9979520477703,11.5613009077531,11.0856705997141,11.3979031521626
"ABCE1",122.223220969783,111.01878027891,107.440920080222,142.165161980235,137.237837392255,132.960958512657,108.120119850946,108.350163851936,104.375152579628,128.315988449925,126.387227815833,136.351011413919
"ABCF1",89.45446047301,89.5863590573353,87.6417524366223,92.6871157027535,88.2618974392798,90.5534106923045,79.7057641720613,80.7461093151952,81.5237144465496,85.5391750912384,84.4389444367244,83.7662630067303
"ABCF2",83.8029132081119,86.6473874751899,86.5396628461047,95.0892470199551,91.4457488211861,93.3945764373644,80.7475763089566,79.7523110467005,80.8293679813014,84.4263998788672,85.2723540402829,88.2921236209356
"ABCF3",31.3218282150977,31.8988773303219,31.5505182773745,32.0772413699479,31.8108281548722,31.6167163452729,31.3399925016735,29.7877954688283,30.6752349111428,32.1404165235537,31.2991606669732,31.4388377782759
"ABCG1",4.86850155952062,4.89054164459779,4.71591824779602,7.36751251556337,7.28132968209868,7.78171504558289,5.40886027237443,4.64208401731082,4.56284820020232,13.2232379132426,12.3953142624488,12.5936991003975
"ABCG2",5.66856999762366,5.28550225247505,5.21570306210049,5.02396976707403,4.73424857657367,4.19876711092602,4.46694792942796,4.18441376208299,4.27767018768968,3.17935774963211,3.66435651088401,3.69334444771272
"ABHD10",12.6138449496671,12.9756176176146,12.6355853052361,13.4900179459918,12.9707336732442,12.4703383194503,14.6139127148059,13.3116662806265,13.5397560723395,13.6567866972834,13.8372451638436,13.8197683637775
"ABHD11",15.2183230566833,15.7519583612223,16.7876437625348,12.6258365574863,11.7664072809579,12.9741903727614,16.3550234093433,16.4892054812083,16.651916121934,12.4283984758346,11.3899312486323,11.8520028793404
"ABHD12",20.4443020034415,22.838016326079,22.041791810351,21.560593286102,20.9165192959147,21.6376465116387,22.263382651462,21.6543412187795,21.586735642805,20.7669867555515,21.906766722108,22.5536197831637
