"","logFC","logCPM","F","PValue","FDR"
"TNIP1",3.06809805254577,9.29698130918271,1551.32018680077,7.45006369948701e-16,1.03391984021481e-11
"MMP9",-1.27279411701713,4.09796715183007,401.363588399463,8.88146796335449e-12,6.16285061977168e-08
"SPRR2A",-1.1117915890455,4.54663584539833,314.639545798554,4.66478557585746e-11,2.15792980739166e-07
"PDPN",-0.275794407204581,5.80607837015607,254.252724452478,1.96637520406466e-10,5.52224461908359e-07
"KRT13",-1.17399301060622,5.08720967989917,253.809343184741,1.98956788409122e-10,5.52224461908359e-07
"MAFB",-1.18505439805736,3.88979394527037,228.142285402695,4.06405698184492e-10,9.40016379900729e-07
"DUSP6",0.308697528747946,6.97666099506272,214.832646617526,6.06836859179245e-10,1.20309741881279e-06
"EDN1",-0.560681254177314,5.10428522214925,193.623979276514,1.20976561214144e-09,2.09864089566236e-06
"NT5E",0.302395208728479,7.81971636427792,186.621614387932,1.54319054573103e-09,2.37959982151724e-06
"S100A7",-1.21600546507948,1.42224713775423,180.139908216963,1.94819970707413e-09,2.4369916808571e-06
"JUN",-0.204809791696933,7.6545739177384,178.813133855544,2.04535917821496e-09,2.4369916808571e-06
"FOSL2",-0.21625735630521,7.0172871100556,178.005424810372,2.10721286714838e-09,2.4369916808571e-06
"XDH",0.498582946550091,5.09846348520029,171.008194105751,2.74247343280905e-09,2.92769586927107e-06
"ERCC1",0.230961107024062,7.14351233978221,168.674560527779,3.00107047889845e-09,2.97491829329662e-06
"ADAMTS1",-0.519212366551085,8.1099214252021,165.046718318261,3.46036459149422e-09,3.20152932005045e-06
"DUSP5",0.256658901117867,6.96896504814126,163.383957469596,3.69734374358338e-09,3.20698352959063e-06
"CCDC80",-0.310868276315642,4.86689482150169,146.295061784266,7.59139536027665e-09,6.19725792999526e-06
"TRIM16L",-0.525223981016368,2.81377110593022,140.763497060367,9.74256541744156e-09,7.51151793684744e-06
"SPRR3",-1.35706158291286,3.65275910944861,138.405137017313,1.08657109591135e-08,7.93654403634619e-06
"SDK2",0.372968680639076,4.65782446254051,130.549359888741,1.58269048118234e-08,1.09822892489242e-05
"MEF2D",0.232131496636,5.65797413220276,126.867175339546,1.90132560322909e-08,1.25650460579111e-05
"S100P",-2.05221649072609,0.53960130606278,122.537634778379,2.37381800202211e-08,1.49744755600286e-05
"KRT1",-1.49287649240163,6.32479703385928,118.337461756918,2.96445588231818e-08,1.78872690151355e-05
"TRIM16",-0.407312049922769,5.74417015780153,114.086068294086,3.73949117322087e-08,2.08664009232026e-05
"IL32",-0.787465372900197,1.66902670503041,113.992895871084,3.75889914310467e-08,2.08664009232026e-05
"GID4",0.267169878185038,4.74216211609141,111.525711185106,4.31716888133136e-08,2.11091071371798e-05
"NPNT",-0.483682256125098,3.42388309064837,111.439306023447,4.33837123428465e-08,2.11091071371798e-05
"ZMYND8",0.22561757013284,6.62660843337485,110.914881633934,4.46963543936457e-08,2.11091071371798e-05
"GPRC5A",-0.458962030147944,4.40057120553773,110.202548420469,4.65526051146294e-08,2.11091071371798e-05
"ADGRL1",0.287486891260203,5.36518872400698,110.043937741879,4.69778108401069e-08,2.11091071371798e-05
"RND3",-0.293996079363121,6.83055662968232,109.979251304761,4.71524946860191e-08,2.11091071371798e-05
"H1F0",0.293139303164594,6.9739241347087,108.115531391663,5.25186684885755e-08,2.22495698935649e-05
"CITED4",0.404216822300808,7.17586496213125,107.989356463336,5.2906456729186e-08,2.22495698935649e-05
"SEMA4B",0.335532349860949,6.3972029970635,105.963907163586,5.96015394541041e-08,2.42624999827592e-05
"RUNX1",-0.242448431696814,7.80003243156565,104.210192916535,6.61881146677457e-08,2.42624999827592e-05
"GADD45A",-0.232749550928488,7.09453466557041,103.850962387451,6.76376969277661e-08,2.42624999827592e-05
"SAA1",-0.461775028652943,2.92464198615403,103.792398291479,6.78774370517222e-08,2.42624999827592e-05
"GBP1",-0.363493565600467,4.14513146664406,103.246506882646,7.0159401708013e-08,2.42624999827592e-05
"MAP2",-0.371641886479296,4.89889714435214,102.868702721355,7.17900192600501e-08,2.42624999827592e-05
"HTRA1",0.406417640681794,7.09527292584826,102.848132901354,7.18800338345489e-08,2.42624999827592e-05
"HEPHL1",-0.483143982887118,5.92106510938163,102.429784274291,7.37390047080199e-08,2.42624999827592e-05
"DNAJB1",-0.177534442242404,7.31644204618796,102.340812227586,7.41414025459176e-08,2.42624999827592e-05
"MIR22HG",-0.330295454135473,4.35551171713042,102.114644298754,7.51756376465375e-08,2.42624999827592e-05
"VGLL3",-0.429442526366951,4.79181322766477,101.396808566838,7.85689459496361e-08,2.45330230934125e-05
"FHL1",0.183565316576975,6.89612052667015,101.195980286639,7.95493615220898e-08,2.45330230934125e-05
"THSD4",0.24301273120747,6.85613542251889,98.3424295224931,9.51048540098128e-08,2.86927209553953e-05
"EGR1",0.346146497827052,7.08404307195879,97.6737789768121,9.92351261720105e-08,2.91709723679136e-05
"B4GALNT4",0.276995598801971,4.70160087463997,97.2603510686651,1.01891239133401e-07,2.91709723679136e-05
"NR1D1",0.317063811055013,4.54964426399259,96.6007024600397,1.06299079053439e-07,2.91709723679136e-05
"SLC16A3",0.353492017927868,4.94652085323638,96.5127337379543,1.06903186195532e-07,2.91709723679136e-05
"HNRNPA1P33",-0.454902877293201,4.01671844234003,96.4697410033443,1.07199855221472e-07,2.91709723679136e-05
"H6PD",0.624059809667608,5.0453106766257,93.6498520470152,1.28879778811103e-07,3.43960301988554e-05
"CCNG2",0.337102803048324,5.14889273627735,92.0975546370135,1.42930635754862e-07,3.74262521321882e-05
"EDEM1",0.201400295234227,7.33450073643238,91.0072385018342,1.53847196605782e-07,3.9538729527686e-05
"DUSP14",-0.227522676587054,6.11875660465718,90.719992875612,1.56879568359219e-07,3.95849936307135e-05
"DLG4",0.433399561240102,3.29398283679578,90.4409004409908,1.59891394229877e-07,3.96245137343257e-05
"CXCL16",-0.293127812096976,3.99286502194423,89.5457345123271,1.70006420770103e-07,4.13920896043419e-05
"MROH6",0.215086562061636,5.62317313094424,85.2751868877369,2.29532794268539e-07,5.46208096759404e-05
"PLAT",0.441832885442769,5.15433312981156,84.8784005729353,2.36180994359415e-07,5.46208096759404e-05
"CST3",0.23987748349491,6.60965228739652,84.8006180843646,2.37509871585109e-07,5.46208096759404e-05
"CYP27B1",0.244628807772378,5.3843638280399,84.6514195560752,2.40082821028417e-07,5.46208096759404e-05
"ZNFX1",-0.177296958219091,6.88971096429852,84.169495827976,2.48613664880693e-07,5.51999430977051e-05
"MRC2",0.250750814144882,6.07625973480423,84.0306633261487,2.51135071412017e-07,5.51999430977051e-05
"TYSND1",0.581861646000371,4.42930290115752,83.8445602800331,2.54560913550449e-07,5.51999430977051e-05
"HS1BP3",0.306195073287941,4.14152900425253,83.2133389957249,2.66584402182897e-07,5.6917820515296e-05
"BTBD2",0.308140063864667,5.92398199536529,82.5967904799201,2.78958242631982e-07,5.86573104734341e-05
"MARVELD1",0.366917602884186,6.18675372564588,82.0424572146453,2.90645835639755e-07,6.0202729955351e-05
"CDKN2B",-0.286165495387419,4.4017867523434,81.5811521645361,3.00799475037527e-07,6.07774729669773e-05
"EPN3",0.214450893081172,7.39095988773887,81.5198334654444,3.0217939434511e-07,6.07774729669773e-05
"FBXO2",0.292428987117632,4.39432877194591,80.4015632613546,3.28657750848276e-07,6.51587466610339e-05
"FTH1",-0.316234411440864,9.53446554281914,79.845059258452,3.42815665540849e-07,6.62815665026327e-05
"GPATCH4",-0.197311706768072,5.37504443908569,79.8045466306403,3.43873237367744e-07,6.62815665026327e-05
"APLN",0.511957689742026,2.04687360423232,77.98025913121,3.95593570234841e-07,7.52061310646456e-05
"DUSP1",-0.303659997152729,5.94700961052505,77.4621563244954,4.11863827629855e-07,7.66806255017069e-05
"PRR7",0.445902301575689,2.47611868781179,77.2437406434134,4.18950803321329e-07,7.66806255017069e-05
"PGF",0.38611239037593,4.27460764450435,77.169045024936,4.21406339222411e-07,7.66806255017069e-05
"PDCD4",0.260970749644929,5.32164602560096,77.0470880654511,4.25450941319457e-07,7.66806255017069e-05
"IQCJ-SCHIP1",-0.268695277197695,4.11399954686106,76.7985779669043,4.33830518529069e-07,7.67610948908097e-05
"CTNNBIP1",0.247532178475034,5.80989725197291,76.7071794924491,4.36959684131285e-07,7.67610948908097e-05
"NAGS",0.31395897858638,3.48956529031383,75.9531367123247,4.6378217985581e-07,7.94710489881045e-05
"AHR",-0.177581884837925,5.70175521893301,75.9515978958908,4.63838807323567e-07,7.94710489881045e-05
"KCNG1",0.457533303692171,4.45419893689492,75.3416533359874,4.86919146856567e-07,8.09818565577943e-05
"ACVR2B",0.267431102726818,3.52745012249355,75.304445866792,4.88368976086379e-07,8.09818565577943e-05
"DOCK4",0.221088783854853,6.21427189133563,75.2585907358391,4.9016255590537e-07,8.09818565577943e-05
"XPC",0.189037494624994,6.06552266740449,74.9751449120954,5.01417647857221e-07,8.10391947871213e-05
"TACSTD2",-0.209487372917747,8.39474242002019,74.9201687630201,5.03634653216586e-07,8.10391947871213e-05
"PRNP",0.143018628288956,8.37712286546064,74.8120412402487,5.08027809949528e-07,8.10391947871213e-05
"PARVB",0.482579672105322,3.00877094440567,74.4686769368215,5.22271300545655e-07,8.17890675321171e-05
"PYGB",0.195402078600276,8.35606451505643,74.415550890517,5.24515564948726e-07,8.17890675321171e-05
"CPA4",-0.209586287422667,7.2957871485143,73.0146072877727,5.87866058142854e-07,9.06489461656281e-05
"BBS2",0.22835550936866,4.60509175288047,72.401481905173,6.18308568419894e-07,9.42954539838602e-05
"LRRC59",-0.14958130193781,7.96703513376491,72.1784337240969,6.29826759466912e-07,9.45678206392863e-05
"ADAMTS15",-0.555035979381289,2.72636602741831,72.1040365123792,6.33722965805853e-07,9.45678206392863e-05
"NRG1",-0.206595950572555,7.45144851719064,71.186231770654,6.8412420354172e-07,0.000100153645032163
"ADM",-0.333911838715576,4.62949879503339,71.1607330412977,6.85588433351741e-07,0.000100153645032163
"FLNC",0.502886823191685,3.82373851573602,70.950199340386,6.97815736572649e-07,0.000100877575701172
"EFNB2",-0.185534513080346,6.8197138103189,70.8220941619745,7.05377573599716e-07,0.000100877575701172
"SLC6A8",0.180832106713367,6.26553868430702,70.7053450918089,7.12350657062606e-07,0.000100877575701172
"CYP1B1",-0.666000349971465,1.89469621801842,70.3166677459084,7.36138833789681e-07,0.000103193280154881
"TMPPE",-0.352648476142215,3.85568535389829,70.0040576245458,7.55930867199862e-07,0.000104742415313629
"SH2D4A",-0.222494012773627,4.30572994878886,69.8608290086705,7.65201457085066e-07,0.000104742415313629
"DDIT4L",0.822295307735346,0.835132476053712,69.689213532137,7.76480837558886e-07,0.000104742415313629
"SAFB2",-0.158614664992815,5.76885673642885,69.6081860804397,7.81872237253262e-07,0.000104742415313629
"POSTN",0.468550034556407,4.23867460038301,69.5625647458795,7.84926588313694e-07,0.000104742415313629
"VEGFA",0.195428346446758,7.13588897107283,69.1689122415232,8.11855188775308e-07,0.000106834028316417
