"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3"
"A1BG-AS1",1.07392211062769,1.21902635007038,1.41173136549131,0.667736711642596,0.51875052426574,0.317442957877752,0.597757564530723,0.628788199836154,0.625131521728926,1.27002168428675,1.07604630467099,1.24038328346486
"A2ML1",70.2412180482426,72.5320678291879,76.2903419794362,122.449097672942,117.437137916467,118.432676868225,142.853570948026,145.684509645675,129.158032997212,61.0340305977343,72.332671077624,66.0624914998624
"A4GALT",9.93377952330617,8.90566472412531,9.55997951530689,12.9287642616316,14.1126745191269,13.3061506510424,13.570145412329,13.0330645056948,13.1277619563075,10.1309775735058,9.0555585120364,10.2452437439435
"AAAS",29.9859189326827,31.3560666712549,29.6274092610155,29.9790758123676,30.4200627947627,31.3607188803396,30.8841408340874,29.7473981086122,31.715657047716,30.641097877217,28.1588740767798,31.9600056414843
"AACS",60.3745586568507,61.933310952187,60.4675810373524,55.2034057297629,56.5305058494716,52.2722737305365,56.1053152673573,52.3266107390923,55.2655335928479,61.4427732087692,61.7958020682484,62.566865882825
"AADACL2-AS1",0.889341747863559,1.28675003618541,1.37383253688751,1.082193980938,1.11730882149544,1.03168961310269,0.859931934938935,0.823140916149147,0.722808321999071,1.28461963468085,1.27169108733844,1.09540341916378
"AADAT",6.93015362014434,6.80623045455965,7.29552450623023,5.89450338553464,6.47773090557475,6.36208594746662,6.480950436491,6.27644948563725,6.72016385858596,6.90483053640955,7.35065397736288,6.60463826260512
"AAED1",8.50747672012877,8.04218772615879,7.58924042790963,7.24148951074471,6.39792313261079,7.08955939260313,5.71540127489902,5.68195882397397,6.28061825737031,9.38648210340665,8.77606596536861,8.52159424614172
"AAGAB",39.2484971368465,37.5527839507793,39.6516494267189,43.6907038048906,44.0538906761059,46.650888018118,43.5209454877632,44.5753671120212,46.0057729272382,41.4289832184573,40.8059118134973,38.4357729135995
"AAK1",101.200378893682,97.1834895750556,100.100281049769,100.125968640615,97.737919289863,94.0821566410188,98.2419800793651,96.5933000075576,96.8758505079296,102.477611766586,97.9900868617272,96.379392012601
"AAMDC",2.55056501274077,2.28567440638197,1.97073908739726,2.23346417342524,2.36763059793081,1.98401848673595,2.11836891289835,2.34366510848021,2.51029376694272,2.54004336857349,2.29183888267588,1.98139147878153
"AAMP",67.8920134312445,66.1829722559046,68.6442533086208,73.6697796172582,73.2502342854213,75.4456096556124,75.7054711990753,76.0719396674504,76.236742610848,73.1649273752319,68.3219530329413,72.4093877814878
"AAR2",26.7641526007996,26.3106520556858,26.7281488728253,26.8361081868774,26.5759883969987,26.6123013020849,27.1507777994744,27.3465704365106,27.8085850369102,25.6777947432228,25.3359993554352,27.3206499838495
"AARS",155.953626502715,159.726313702278,153.982940617213,139.073439252458,137.974338159193,134.027062173969,139.508225981618,136.412741826273,141.43600679117,161.424135457964,153.189864828616,162.619081124387
"AARS2",33.2580253635014,35.1655240152248,36.1175836594151,36.253498361423,37.5628584750372,35.4874773327504,36.8197685801293,34.6862436055071,34.7631732161445,37.2977632569269,35.9986400108114,39.8694626827992
"AARSD1",15.0852496477234,14.8145563376609,15.225854391574,16.7049304929898,18.4089929636868,16.8112499776093,17.36643029584,16.8515237556089,17.6013594086801,14.52496064213,14.7013079547258,14.8684905277671
"AASDH",9.8834394243705,9.41359236998797,10.280057258779,12.1574132326652,12.2105892634859,11.3618125340412,11.1686281793898,12.3814112804101,13.1375296363345,8.72957433567212,9.04158388470301,8.50548537233049
"AASDHPPT",31.4961219007529,30.238625850357,29.0589268319586,33.0875053320831,30.8058003640885,34.4822412994708,32.1845257113121,31.7366553226393,33.2003444118222,29.6776331512064,31.359063736126,29.0604083554625
"AASS",34.6843281666788,34.3528397818446,35.956513637849,24.9019742634989,26.3232637826128,26.7048888314659,24.9170521635965,25.8946413205253,24.5071091877793,31.7651400575628,32.6587040781313,33.7964172559647
"AATBC",2.9365057712476,2.94598034600343,3.42036928149236,5.88299068360977,6.1718011092129,5.95205546020785,6.1139063179195,5.8077164639412,5.27454721458782,2.7152187733027,2.54338217467689,3.02846827651161
"AATF",54.6525674111625,54.9577712823398,55.0196244255571,55.7905535279314,53.1785793849853,53.3039633436392,54.7420085412346,55.7220670182075,57.2679079983859,54.1437980117189,52.5306241462111,53.255936819933
"AATK",1.12426220956337,0.998924370196565,1.63912433711407,1.15127019248723,1.43653991335128,1.24331825168786,1.2898979024084,1.00606111973785,1.20142464332278,1.32841348586315,1.22976720533828,1.22427440965363
"ABALON",15.7228909009086,14.8314872591897,15.0647843700079,17.7986371758527,16.8793439818775,16.2954051710579,16.1394542423295,16.6571710392959,16.3413286851952,14.1892077830657,14.3379676440576,15.1262325087468
"ABAT",13.658946844546,12.664329303509,13.1224694040635,13.4122977424763,12.4101086958958,13.134202382192,12.9409269233493,11.9584083096112,11.9654080330927,14.0432282791247,12.7588347553846,13.6603249919247
"ABCA1",73.0099234897047,71.6347289881638,69.1369380804702,35.4245838228322,33.5192646448632,34.0193036525658,35.7920450481291,35.5093845216563,34.5775872956312,73.7342474406018,71.3823964189536,70.1219277002929
"ABCA11P",6.00725180632367,5.35017120308669,5.55217839045574,7.04577357802188,6.46442961008076,6.89115754392954,6.65922900836858,7.00813029999204,7.19878017990967,6.13113916552223,5.67369869735614,6.02471880540076
"ABCA12",39.1645969719537,40.5664879828978,38.4388869113975,77.1351028966447,79.661458713526,81.9531902921064,88.1744842556898,89.5051421184955,83.3573813505415,33.2103371465787,39.2826774341579,33.3936954106839
"ABCA13",1.34240263828462,1.67616123134678,1.57280138705743,1.61177826948213,1.46314250433927,1.49462726000775,1.5101243735513,1.61198429412541,1.37724288380904,1.79554789847437,1.39746273333895,1.6592140025569
"ABCA2",4.07754801378953,3.96183563772875,3.85620581043598,3.38473436591247,3.77756792029411,3.46541895683213,3.68092816053129,3.0982109482836,3.1061222485906,3.67868349931334,3.57750459734771,3.41508124798118
"ABCA5",13.7931871083745,13.9849411827519,13.7193759545732,13.711627992523,12.3169996274378,13.1606559620151,14.461538271717,15.571082330488,14.3291865996302,15.2986520130174,16.3503139800657,14.2563533229403
"ABCA7",15.7564509668657,16.3044774321914,16.2775468853293,18.6505771182932,18.8479357149885,18.5968666156717,18.70876307233,18.4177779988372,17.2887936478156,16.8314368043979,15.7913288867301,17.848632182845
"ABCA9",2.03038399040548,1.7438849174618,2.00863791600105,1.73841799065572,1.78237359619511,1.85175058762022,2.01349916473507,1.78347198498982,1.66050560459246,1.89773355123307,1.56515826133962,1.62699625493443
"ABCB10",21.0086012891543,21.5699940276343,21.0622739965582,20.0321013492779,19.1538655113504,19.7211437581554,20.2713223199629,20.4641977764857,20.7270170173247,23.0501636722847,24.3996993240981,22.1658103642552
"ABCB5",2.58412507869789,2.64122375848583,2.77608919522787,1.92262122145368,1.87548266465306,2.0104720665591,1.60450714689826,1.90922962495705,1.31863680364695,1.86853765044487,2.24991500067571,2.11026246927139
"ABCB6",9.02765774246406,8.17763509838883,8.54618585015542,8.02435324163603,8.11379025133593,7.88316678729751,7.98058783522597,7.22534804175362,7.61879042107129,8.68578048448982,8.32887789070014,8.13498127467216
"ABCB7",14.4643884275168,15.2039675328223,15.1026831986117,17.2690528873085,15.948253297298,17.0228786161945,16.1184802926969,16.6000084756745,17.0250662870862,14.9628991539531,14.7152825820591,15.1262325087468
"ABCB8",37.2852332783553,36.0628628562489,38.1072721611143,31.0152189856061,33.0803218935614,31.2813581408702,32.278908484659,32.2396858825083,31.5203034471757,36.2321128781575,36.6973713774808,39.3539787208398
"ABCB9",7.0643938839728,7.06019427749098,7.00180858455084,6.63131630872647,6.7703594064426,6.28272520799718,6.68020295800124,6.23071943474007,6.51504257801866,5.88297400882252,6.27460767269188,6.45965839830403
"ABCC1",122.074739919007,120.920641558371,123.08592059797,112.997169392622,109.815495598409,110.82727266907,111.759690617613,111.135456192859,106.877954855592,124.520516861678,119.664733855814,125.069296270405
"ABCC10",29.9187988007684,31.3560666712549,28.5472926458074,23.7852421767863,25.7247054853831,23.9801701096819,24.8751042643311,23.7681939538066,23.2763815043755,31.4439851488926,29.7100577107861,32.1694210010303
