,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
363,GO:0000981,1.18592810499191e-05,0.999997456723556,15,713,RNA polymerase II transcription factor activity, sequence-specific DNA binding,MF,NR1D1;HES5;TSC22D3;HOXA9;HES1;HOXC13;ID3;DDIT3;SNAI2;OTX1;ZNF44;ZNF160;SALL2;HOXC5;ZKSCAN3
3495,GO:0007389,1.74225664199658e-05,0.999997743186826,9,249,pattern specification process,BP,HES5;HOXA9;GDNF;HES1;HOXC13;DCHS1;DDIT3;APC2;OTX1
1449,GO:0003677,4.43787674993411e-05,0.999984554868393,28,1910,DNA binding,MF,NR1D1;HES5;HOXA9;HES1;HOXC13;TIGD2;DDIT3;SNAI2;NUPR1;OTX1;ZNF44;HIST1H4F;PHF12;ZNF160;HIST1H1D;ZNF766;SALL2;HOXC5;ZNF169;IVNS1ABP;ZNF799;ZKSCAN3;HIST1H4I;CIART;RPS27;ZNF485;HIST1H4D;ZNF57
1096,GO:0002683,6.8192536113987e-05,0.99998815943033,10,266,negative regulation of immune system process,BP,NR1D1;HES5;TSC22D3;HOXA9;HES1;RNF125;HIST1H4F;SPN;HIST1H4I;HIST1H4D
10596,GO:0043565,7.41679941180452e-05,0.999982191977499,14,752,sequence-specific DNA binding,MF,NR1D1;HOXA9;HES1;HOXC13;DDIT3;SNAI2;OTX1;PHF12;SALL2;HOXC5;ZNF169;IVNS1ABP;ZKSCAN3;CIART
364,GO:0000982,0.000102569990096459,0.999985351954794,8,267,transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding,MF,NR1D1;HES5;HES1;HOXC13;DDIT3;SNAI2;OTX1;ZKSCAN3
1460,GO:0003700,0.000116475240036262,0.99996652665981,17,1082,DNA binding transcription factor activity,MF,NR1D1;HES5;TSC22D3;HOXA9;HES1;HOXC13;ID3;DDIT3;SNAI2;OTX1;ZNF44;ZNF160;SALL2;HOXC5;ZNF169;IVNS1ABP;ZKSCAN3
1379,GO:0003273,0.000142247668895069,0.999999543482053,2,4,cell migration involved in endocardial cushion formation,BP,DCHS1;SNAI2
15596,GO:0072078,0.000167255443389546,0.999991897835233,4,47,nephron tubule morphogenesis,BP,HES5;GDNF;HES1;DCHS1
10131,GO:0042668,0.000176575474553497,1,2,2,auditory receptor cell fate determination,BP,HES5;HES1
20168,GO:2000977,0.000176575474553497,1,2,2,regulation of forebrain neuron differentiation,BP,HES5;HES1
20169,GO:2000978,0.000176575474553497,1,2,2,negative regulation of forebrain neuron differentiation,BP,HES5;HES1
1253,GO:0003002,0.000177434915390874,0.999976774935558,7,196,regionalization,BP,HES5;HOXA9;GDNF;HES1;HOXC13;DDIT3;OTX1
14271,GO:0061333,0.000190387051305546,0.999990436066019,4,49,renal tubule morphogenesis,BP,HES5;GDNF;HES1;DCHS1
15602,GO:0072088,0.000190387119258743,0.999990436061708,4,49,nephron epithelium morphogenesis,BP,HES5;GDNF;HES1;DCHS1
15570,GO:0072028,0.0002027722822114,0.999989632494501,4,50,nephron morphogenesis,BP,HES5;GDNF;HES1;DCHS1
402,GO:0001078,0.000207443981005778,0.999983296549767,5,100,transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding,MF,NR1D1;HES5;HES1;SNAI2;ZKSCAN3
15715,GO:0072273,0.00023128071441213,0.999994334571974,3,17,metanephric nephron morphogenesis,BP,HES5;GDNF;HES1
12397,GO:0048839,0.000245874448602203,0.999979463882233,5,99,inner ear development,BP,HES5;LRIG3;HES1;DCHS1;OTX1
59,GO:0000122,0.000289659171890231,0.999929059314721,12,602,negative regulation of transcription by RNA polymerase II,BP,TXNIP;NR1D1;HES5;TSC22D3;HES1;ID3;DDIT3;SNAI2;PHF12;HIST1H1D;SALL2;ZKSCAN3
19272,GO:1905457,0.00032241932340215,0.999998893584962,2,3,negative regulation of lymphoid progenitor cell differentiation,BP,HES5;HES1
20167,GO:2000974,0.00032241932340215,0.999998893584962,2,3,negative regulation of pro-B cell differentiation,BP,HES5;HES1
12313,GO:0048664,0.000339229325703708,0.999998805610082,2,3,neuron fate determination,BP,HES5;HES1
1406,GO:0003338,0.00034800443720924,0.99998998103827,3,20,metanephros morphogenesis,BP,HES5;GDNF;HES1
14130,GO:0060993,0.000373619542580167,0.99997735449624,4,60,kidney morphogenesis,BP,HES5;GDNF;HES1;DCHS1
12902,GO:0051241,0.000399276337040116,0.999886758469255,14,679,negative regulation of multicellular organismal process,BP,HES5;TSC22D3;RGS2;HOXA9;HES1;ID3;RNF125;DDIT3;SNAI2;HIST1H4F;TMSB4X;HIST1H4I;ARRDC3;HIST1H4D
15598,GO:0072080,0.00039939439838464,0.999975359762878,4,60,nephron tubule development,BP,HES5;GDNF;HES1;DCHS1
538,GO:0001656,0.000404344303307335,0.999975029178324,4,57,metanephros development,BP,HES5;GDNF;HES1;ID3
14270,GO:0061326,0.000420344054960966,0.999973694170197,4,61,renal tubule development,BP,HES5;GDNF;HES1;DCHS1
358,GO:0000976,0.00045651482304332,0.999898552490182,10,495,transcription regulatory region sequence-specific DNA binding,MF,NR1D1;HOXA9;HES1;DDIT3;OTX1;PHF12;SALL2;IVNS1ABP;ZKSCAN3;CIART
11314,GO:0045632,0.000475685066333894,0.99999719375074,2,4,negative regulation of mechanoreceptor differentiation,BP,HES5;HES1
20171,GO:2000981,0.000475685066333894,0.99999719375074,2,4,negative regulation of inner ear receptor cell differentiation,BP,HES5;HES1
15684,GO:0072210,0.00055773105330652,0.999980668530043,3,25,metanephric nephron development,BP,HES5;GDNF;HES1
3511,GO:0007423,0.000564595568923971,0.99989576332284,8,310,sensory organ development,BP,HES5;LRIG3;HES1;HOXC13;DCHS1;OTX1;SALL2;ABCB5
15580,GO:0072049,0.000566262404006974,0.999996351376082,2,4,comma-shaped body morphogenesis,BP,HES5;HES1
18526,GO:1903707,0.000570589632986346,0.999926101585531,6,95,negative regulation of hemopoiesis,BP,HES5;HOXA9;HES1;HIST1H4F;HIST1H4I;HIST1H4D
1456,GO:0003690,0.000584943657679407,0.99985469522403,11,600,double-stranded DNA binding,MF,NR1D1;HES5;HOXA9;HES1;DDIT3;OTX1;PHF12;SALL2;IVNS1ABP;ZKSCAN3;CIART
10604,GO:0043583,0.000587456186725323,0.999940359118297,5,115,ear development,BP,HES5;LRIG3;HES1;DCHS1;OTX1
15561,GO:0072009,0.000608394564962905,0.999957799999147,4,68,nephron epithelium development,BP,HES5;GDNF;HES1;DCHS1
11296,GO:0045607,0.000643827149614417,0.99999486101213,2,5,regulation of inner ear auditory receptor cell differentiation,BP,HES5;HES1
11313,GO:0045631,0.000643827149614417,0.99999486101213,2,5,regulation of mechanoreceptor differentiation,BP,HES5;HES1
20170,GO:2000980,0.000643827149614417,0.99999486101213,2,5,regulation of inner ear receptor cell differentiation,BP,HES5;HES1
4348,GO:0009912,0.000652786716091166,0.999994752913798,2,5,auditory receptor cell fate commitment,BP,HES5;HES1
13629,GO:0060120,0.000652786716091166,0.999994752913798,2,5,inner ear receptor cell fate commitment,BP,HES5;HES1
4357,GO:0009952,0.000658509290989215,0.999931333556899,5,122,anterior/posterior pattern specification,BP,HOXA9;HES1;HOXC13;DDIT3;OTX1
19647,GO:1990837,0.000704884449730474,0.999834137825923,10,528,sequence-specific double-stranded DNA binding,MF,NR1D1;HOXA9;HES1;DDIT3;OTX1;PHF12;SALL2;IVNS1ABP;ZKSCAN3;CIART
7318,GO:0031326,0.000747215432936784,0.999662400624647,37,3347,regulation of cellular biosynthetic process,BP,TXNIP;NR1D1;HES5;DDIT4;TSC22D3;RGS2;HOXA9;PPP1R3D;GDNF;HES1;HOXC13;ID3;ZC3H12D;ACTR5;DDIT3;SNAI2;NUPR1;OTX1;ZNF44;HIST1H4F;PHF12;ZNF160;HIST1H1D;ZNF766;SPN;SALL2;HOXC5;TMSB4X;ZNF169;IVNS1ABP;ZNF799;ZKSCAN3;HIST1H4I;CIART;ZNF485;HIST1H4D;ZNF57
6611,GO:0022821,0.000771491894588697,0.999991714035583,2,9,potassium ion antiporter activity,MF,SLC24A4;SLC9A4
359,GO:0000977,0.000776296768193373,0.999831271569584,9,432,RNA polymerase II regulatory region sequence-specific DNA binding,MF,NR1D1;HOXA9;HES1;DDIT3;OTX1;PHF12;SALL2;ZKSCAN3;CIART
380,GO:0001012,0.000807958902094933,0.999823376879681,9,435,RNA polymerase II regulatory region DNA binding,MF,NR1D1;HOXA9;HES1;DDIT3;OTX1;PHF12;SALL2;ZKSCAN3;CIART
11477,GO:0045934,0.000814258355509639,0.999712985906738,18,1095,negative regulation of nucleobase-containing compound metabolic process,BP,TXNIP;NR1D1;HES5;DDIT4;TSC22D3;GDNF;HES1;ID3;DDIT3;SNAI2;HIST1H4F;PHF12;HIST1H1D;SALL2;ZKSCAN3;HIST1H4I;CIART;HIST1H4D
15718,GO:0072282,0.000829160082136694,0.999991815051297,2,6,metanephric nephron tubule morphogenesis,BP,HES5;HES1
20166,GO:2000973,0.00082927637172398,0.99999181332157,2,6,regulation of pro-B cell differentiation,BP,HES5;HES1
17673,GO:1901533,0.000829636698530511,0.999991807961172,2,6,negative regulation of hematopoietic progenitor cell differentiation,BP,HES5;HES1
12910,GO:0051253,0.000845704196071779,0.999709623913796,17,990,negative regulation of RNA metabolic process,BP,TXNIP;NR1D1;HES5;TSC22D3;GDNF;HES1;ID3;DDIT3;SNAI2;HIST1H4F;PHF12;HIST1H1D;SALL2;ZKSCAN3;HIST1H4I;CIART;HIST1H4D
11445,GO:0045892,0.000887688390021958,0.999703748502801,16,891,negative regulation of transcription, DNA-templated,BP,TXNIP;NR1D1;HES5;TSC22D3;HES1;ID3;DDIT3;SNAI2;HIST1H4F;PHF12;HIST1H1D;SALL2;ZKSCAN3;HIST1H4I;CIART;HIST1H4D
