"","logFC","logCPM","F","PValue","FDR"
"NFKBIA",0.935433999933944,6.59796292992237,1066.2703494868,1.00088835731377e-16,1.38062540007862e-12
"NFKBIZ",2.3133749777084,6.07121739725464,954.583229815482,2.51566043349072e-16,1.73505100097855e-12
"TNFAIP3",0.992528397448365,9.34892528558651,672.987934298303,4.57026089948806e-15,2.10140596158461e-11
"CXCL2",1.5664887399635,3.45646948960143,527.225726701544,3.41556450515557e-14,1.1778574196029e-10
"IL1B",0.557155094373568,4.95268770227115,474.612270851742,8.0878001527593e-14,2.23126230614323e-10
"IL1A",0.602552736873988,7.42540150308477,447.375289479007,1.31138929939603e-13,2.64295921856791e-10
"ZC3H12A",1.57748018339896,6.30381453860633,446.14544597635,1.34121462447263e-13,2.64295921856791e-10
"CXCL1",1.37866214458412,5.24133092893133,410.984291208881,2.6200334927154e-13,4.51759274981453e-10
"PLAUR",0.668752834227488,5.4166643521805,383.350979537938,4.61516438711176e-13,7.0735086173133e-10
"CXCL3",1.56893395827464,2.35836914915764,368.664202067272,6.33707947903159e-13,8.74136743337618e-10
"BTG2",0.556285300182192,6.08966730173013,359.328951989008,7.80147106681718e-13,9.78304471778874e-10
"IL36G",1.75414151926315,2.29565662369906,299.307077781983,3.40861024824616e-12,3.77932237607815e-09
"BIRC3",0.709626701461071,3.7051333245835,297.673517788473,3.56177982376511e-12,3.77932237607815e-09
"HBEGF",0.708443700592588,5.31061359547849,288.921246320053,4.52553618275384e-12,4.45894615035046e-09
"PLAU",0.471173341658074,9.29583804631529,278.652039926137,6.04748471421541e-12,5.56126694319249e-09
"NFKBID",1.12220561910234,2.0717542439778,255.320013912975,1.21552676673005e-11,1.04793601376715e-08
"CSF2",1.22266043573051,2.00720401680125,238.332549319631,2.10084539623179e-11,1.70465067033066e-08
"ITPKC",0.411249419840715,5.95002717446004,216.305207162867,4.52217799259572e-11,3.46549573499252e-08
"INHBA",0.582162128232879,6.11537231654239,210.489854327082,5.6043753398488e-11,4.06877649673023e-08
"TICAM1",0.39687540652246,5.74320099854108,205.038802156046,6.88761674882913e-11,4.75038927166745e-08
"ELF3",1.29393574467975,0.65226817454919,197.126603323314,9.3766825190152e-11,5.97287715980229e-08
"SDC4",0.282109026927411,7.68093906139205,196.728804320233,9.52611987209297e-11,5.97287715980229e-08
"ETS1",0.298742461371399,7.18386607184447,185.96377823191,1.47839398865993e-10,8.86650725198916e-08
"TNF",1.03590710494262,3.11257028835158,165.851650151742,3.59227847973374e-10,2.06466205622697e-07
"CXCL8",1.28141175739125,3.66739121618981,156.676046509121,5.56788929386271e-10,3.07213859678169e-07
"REL",0.355150380310579,5.28048411291247,153.634918118009,6.47157392144707e-10,3.39049629773178e-07
"SERPINB2",0.513321640546908,8.11320425302458,153.131444339898,6.63646513257634e-10,3.39049629773178e-07
"PPIF",0.378099766321658,6.56281483217974,151.163143399751,7.32773238239265e-10,3.60995501724015e-07
"IER3",0.565921063579264,8.09947015777344,147.009435976934,9.06715189418019e-10,4.31283769752833e-07
"KLF6",0.325315472399987,8.67697719500315,144.130253412678,1.0543483613581e-09,4.84789376552453e-07
"NUAK2",0.390017333032302,5.43737970410556,137.695710887343,1.4919806322335e-09,6.63883252936415e-07
"CCL20",1.27633553276425,0.671566752977392,133.653468530304,1.86961002841717e-09,8.05918772874577e-07
"ZC3H12C",0.361080848451036,5.25799417743047,129.894873294273,2.31883653544836e-09,9.69273671817412e-07
"SPRR2D",0.356369996489891,6.17145153064048,129.08791985666,2.4303153105483e-09,9.85993217461859e-07
"ZNF697",0.427730855095458,3.84875622174342,120.269367018944,4.13261557523326e-09,1.62872283556479e-06
"BHLHE40",0.304957524881897,7.51025750957537,113.695637405889,6.28108674619113e-09,2.38196782876914e-06
"PTGS2",0.385678574932499,7.34373940963701,113.434463529722,6.38921340180211e-09,2.38196782876914e-06
"RNF19B",0.234208388532787,5.48925306803231,111.531766719894,7.24279092782102e-09,2.62913310679903e-06
"PMAIP1",0.32885996508877,4.54175363443154,110.3518792438,7.83586159301262e-09,2.77148396959015e-06
"TNIP1",0.210525149692628,9.29698130918271,109.893047323408,8.08100411726053e-09,2.78673426983729e-06
"NFKB1",0.252278825944987,6.19495664944708,107.851979427775,9.28061157301153e-09,3.12235990336881e-06
"PRDM1",0.49687147923542,5.22151261746808,107.494598444207,9.51050976399064e-09,3.12352313534493e-06
"FOSL1",0.308034615886626,7.42381890349658,106.579108949664,1.01290397595312e-08,3.24930173123195e-06
"TBX3",0.314535852107504,5.7330760684935,104.768760655152,1.14891682080963e-08,3.56538363398892e-06
"NFKB2",0.384531518054248,5.43506867432222,104.593535830121,1.16313080708642e-08,3.56538363398892e-06
"C1orf74",0.3342960845944,6.03443100315184,102.799408160464,1.32055418003438e-08,3.95994007812918e-06
"TRPV3",0.528095945285611,4.79618273936353,102.176331424455,1.38069159315892e-08,4.05218294383705e-06
"NOCT",0.281644411081935,4.90692293900663,101.02258364653,1.50030859161499e-08,4.31151181515357e-06
"PLEKHF1",0.38930770849638,3.96712426368076,98.7898555866093,1.76617568712114e-08,4.97196478125489e-06
"EFNA1",0.619423284288687,4.66578346427269,97.6966700277559,1.91527102791016e-08,5.28384971179856e-06
"TGFA",0.194051691511263,6.91557298832394,95.373335318923,2.28124926584576e-08,6.17010830844635e-06
"LOC100130476",0.492826487986271,3.2334422668702,94.6406018473666,2.41242131609567e-08,6.39941146811994e-06
"KDM6B",0.454070453436857,5.91596073226987,94.273779859947,2.48124162658985e-08,6.45778245229819e-06
"IRF6",0.185525324539826,8.58517256403993,92.3939888350665,2.87022565292879e-08,7.25800088669296e-06
"LGALSL",0.27545327833023,5.9564324485034,92.2887448455527,2.89393974748523e-08,7.25800088669296e-06
"EDN1",0.519676801373767,5.10428522214925,91.8640070193553,2.99189571359942e-08,7.36968026310544e-06
"ODC1",0.165538023102308,7.88457236267074,88.839183608548,3.80701391448841e-08,9.21297367306196e-06
"SEMA7A",0.478264792757752,5.82393230338681,87.2416706262131,4.33586295348277e-08,1.03118782035071e-05
"PHLDA1",0.169915128638318,8.53930040557751,85.7791600992862,4.89290267967943e-08,1.13578804996168e-05
"HAS3",0.292669355709113,5.56598750957479,85.6632689343486,4.94035689413521e-08,1.13578804996168e-05
"ERRFI1",0.294384489729914,7.22218919999241,85.2057651854075,5.13278434761766e-08,1.15959886487978e-05
"TXNIP",-0.292397624110737,5.64442437348948,85.0228383909983,5.21205811385723e-08,1.15959886487978e-05
"IL1RN",0.241856338338282,6.19658368722565,83.0056042192225,6.18334415638237e-08,1.35385792528791e-05
"IRAK2",0.436074348113861,3.15786702218479,81.025786214305,7.33754452661596e-08,1.5814701437522e-05
"CLDN1",0.280291627323727,7.35347950795426,78.519860845581,9.15887263659262e-08,1.92955539148495e-05
"KLF7",0.238953548783603,6.94671288330292,78.3920104802859,9.26452508568496e-08,1.92955539148495e-05
"PANX1",0.215653541898278,5.98679069408954,78.2633723760341,9.37220612074029e-08,1.92955539148495e-05
"CREB5",0.321811548063598,4.37815178568116,77.469717867082,1.00683471909269e-07,2.04239384046537e-05
"DAPP1",0.252063699064302,5.54068609630676,75.5052379451032,1.2054061240677e-07,2.40976406889707e-05
"CPEB2",0.275510596381,5.09300651383104,74.9529287828381,1.26886576451308e-07,2.50039062224191e-05
"EHF",0.219017919529379,7.00795072901434,74.3355950543847,1.34425795124753e-07,2.6116470675364e-05
