"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool2_eGFPorf_TNF_1h1","fpool2_eGFPorf_TNF_1h2","fpool2_eGFPorf_TNF_1h3","fpool_eGFPorf_TNF_1h1","fpool_eGFPorf_TNF_1h2","fpool_eGFPorf_TNF_1h3"
"A2ML1",70.2412180482426,72.5320678291879,76.2903419794362,122.449097672942,117.437137916467,118.432676868225,79.61249807882,72.2186312715017,71.0676995776589,134.845526197239,128.330323320186,127.668102385636
"A4GALT",9.93377952330617,8.90566472412531,9.55997951530689,12.9287642616316,14.1126745191269,13.3061506510424,9.37876519113234,9.86078549971716,9.76076972616636,13.7154184874769,13.7237178966976,14.5037005667745
"AAAS",29.9859189326827,31.3560666712549,29.6274092610155,29.9790758123676,30.4200627947627,31.3607188803396,29.9994596650582,29.7781041021235,29.8633073764852,28.8830577559807,30.6478285044828,30.8064819082945
"AACS",60.3745586568507,61.933310952187,60.4675810373524,55.2034057297629,56.5305058494716,52.2722737305365,61.7110160629943,58.6264070901298,60.0171138519634,53.632871750577,53.3868899364813,53.3505187770176
"AADACL2-AS1",0.889341747863559,1.28675003618541,1.37383253688751,1.082193980938,1.11730882149544,1.03168961310269,1.08264940461393,1.07661181634629,1.10389657617358,1.30327505989599,0.99808857430528,0.844013202966972
"AADAT",6.93015362014434,6.80623045455965,7.29552450623023,5.89450338553464,6.47773090557475,6.36208594746662,6.86097587807668,6.66765272623555,6.46069996160535,6.57843601661787,6.91067849817895,5.91919785764995
"AAED1",8.50747672012877,8.04218772615879,7.58924042790963,7.24148951074471,6.39792313261079,7.08955939260313,7.72961319108088,8.62512875595607,7.63431632153726,6.28054457435592,6.35739026677059,6.19683377967856
"AAGAB",39.2484971368465,37.5527839507793,39.6516494267189,43.6907038048906,44.0538906761059,46.650888018118,41.5812905051143,40.1037901588993,39.2057584001015,44.8450742038497,45.2611470869742,44.1663224763112
"AAK1",101.200378893682,97.1834895750556,100.100281049769,100.125968640615,97.737919289863,94.0821566410188,101.064063026054,99.5988272372176,99.8503503058899,101.419623946763,96.0985716434366,98.8717045528283
"AAMDC",2.55056501274077,2.28567440638197,1.97073908739726,2.23346417342524,2.36763059793081,1.98401848673595,2.14012091609731,2.34897123566463,2.14969333254854,2.28383439067488,2.2999432364426,2.12113844429858
"AAMP",67.8920134312445,66.1829722559046,68.6442533086208,73.6697796172582,73.2502342854213,75.4456096556124,68.4964582616793,67.1536620445999,68.1859485156478,74.1625569797957,77.8183624292584,75.1060696271794
"AAR2",26.7641526007996,26.3106520556858,26.7281488728253,26.8361081868774,26.5759883969987,26.6123013020849,25.3541383824705,25.4104857108096,26.1797788012533,25.2587118751271,25.8309662545747,25.4314504578206
"AARS",155.953626502715,159.726313702278,153.982940617213,139.073439252458,137.974338159193,134.027062173969,152.955700768131,155.790623515382,154.336361313026,137.265894165617,142.455446404376,137.440886841043
"AARS2",33.2580253635014,35.1655240152248,36.1175836594151,36.253498361423,37.5628584750372,35.4874773327504,35.8659087644779,36.8984231602319,36.846905716278,38.1673410398112,37.8405755127915,38.2027028711366
"AARSD1",15.0852496477234,14.8145563376609,15.225854391574,16.7049304929898,18.4089929636868,16.8112499776093,14.6787116951145,15.5986371118355,14.6876344450884,16.5826236192481,18.3236043695828,17.3577978452287
"AASDH",9.8834394243705,9.41359236998797,10.280057258779,12.1574132326652,12.2105892634859,11.3618125340412,9.03886363386983,9.40811916784429,9.74914976220664,11.7170633956363,12.3133753460488,11.2942293081238
"AASDHPPT",31.4961219007529,30.238625850357,29.0589268319586,33.0875053320831,30.8058003640885,34.4822412994708,30.2134717566679,31.5153640785005,30.4791654663504,31.5640807363382,31.4072437240629,31.8503929751221
"AASS",34.6843281666788,34.3528397818446,35.956513637849,24.9019742634989,26.3232637826128,26.7048888314659,35.2616393293445,34.3537043215953,32.6056188709795,26.8847026641402,25.5597465332961,27.308269290734
"AATBC",2.9365057712476,2.94598034600343,3.42036928149236,5.88299068360977,6.1718011092129,5.95205546020785,2.70662351153484,2.9851509453238,2.89337102597074,6.62808459032819,5.66306778029735,5.74151086755164
"AATF",54.6525674111625,54.9577712823398,55.0196244255571,55.7905535279314,53.1785793849853,53.3039633436392,55.2151196353107,53.1454742069123,56.438164952369,56.2766583006517,56.3052141374392,55.6271333376522
"AATK",1.12426220956337,0.998924370196565,1.63912433711407,1.15127019248723,1.43653991335128,1.24331825168786,1.0448825649181,1.60268349933368,1.08065664825413,1.25362648618567,0.943844630049558,1.36596873638076
"ABALON",15.7228909009086,14.8314872591897,15.0647843700079,17.7986371758527,16.8793439818775,16.2954051710579,13.8730191149367,14.8156466999472,16.7443680659592,15.9123678741587,15.7741389895639,18.2795491063636
"ABAT",13.658946844546,12.664329303509,13.1224694040635,13.4122977424763,12.4101086958958,13.134202382192,12.5134128858866,13.3597739028426,13.3745785176399,12.1639005590293,12.2157362463885,11.8050794046565
"ABCA1",73.0099234897047,71.6347289881638,69.1369380804702,35.4245838228322,33.5192646448632,34.0193036525658,69.8812423838599,72.8548109811609,73.194152982288,36.0448645136949,35.6599689537115,34.6711739429327
"ABCA11P",6.00725180632367,5.35017120308669,5.55217839045574,7.04577357802188,6.46442961008076,6.89115754392954,5.70279279407107,5.51763555877474,6.60013952912201,6.44190243891448,6.56351725494233,6.91868717695294
"ABCA12",39.1645969719537,40.5664879828978,38.4388869113975,77.1351028966447,79.661458713526,81.9531902921064,42.2736825662046,35.8829824698144,34.4415731766156,83.1985973950746,84.5120651504145,81.9025969984397
"ABCA13",1.34240263828462,1.67616123134678,1.57280138705743,1.61177826948213,1.46314250433927,1.49462726000775,1.47290674813756,1.70055730081971,2.04511365691105,1.87423365756471,1.67071348307623,1.31044155197504
"ABCA2",4.07754801378953,3.96183563772875,3.85620581043598,3.38473436591247,3.77756792029411,3.46541895683213,4.53202076350019,3.98835741055558,3.9856476381846,3.67399445456394,3.23293907764102,3.46489630691704
"ABCA5",13.7931871083745,13.9849411827519,13.7193759545732,13.711627992523,12.3169996274378,13.1606559620151,17.5993472982591,18.5837880571593,17.5345256152203,16.3716171809792,14.6241673713426,15.4143463910284
"ABCA7",15.7564509668657,16.3044774321914,16.2775468853293,18.6505771182932,18.8479357149885,18.5968666156717,16.7558878783854,17.702923843785,17.3021263360258,20.7655159543428,19.0287756449072,20.2452114343262
"ABCA9",2.03038399040548,1.7438849174618,2.00863791600105,1.73841799065572,1.78237359619511,1.85175058762022,1.74986357257369,2.28780010973587,2.21941311630687,1.71287579300616,1.62731832767165,1.86571339603225
"ABCB10",21.0086012891543,21.5699940276343,21.0622739965582,20.0321013492779,19.1538655113504,19.7211437581554,21.1116633899717,21.0428673194957,22.3568106585048,21.1006438268875,18.7792535013309,19.9342592016541
"ABCB5",2.58412507869789,2.64122375848583,2.77608919522787,1.92262122145368,1.87548266465306,2.0104720665591,2.87027981688345,2.92397981939504,2.62611185489714,2.34589510781279,1.85514289354568,2.05450582301171
"ABCB6",9.02765774246406,8.17763509838883,8.54618585015542,8.02435324163603,8.11379025133593,7.88316678729751,8.63601734378092,8.44161537816978,8.59877333019417,7.81965035937595,7.59415219580104,7.34069377843643
"ABCB7",14.4643884275168,15.2039675328223,15.1026831986117,17.2690528873085,15.948253297298,17.0228786161945,14.5402332828964,15.023628528105,15.3964522466315,16.4088536112619,16.4359151094837,16.9802129912697
"ABCB8",37.2852332783553,36.0628628562489,38.1072721611143,31.0152189856061,33.0803218935614,31.2813581408702,35.7651971919557,36.4090541528018,36.7307060766808,31.1420678598004,31.8194977004064,31.8059712275975
"ABCB9",7.0643938839728,7.06019427749098,7.00180858455084,6.63131630872647,6.7703594064426,6.28272520799718,6.64696378646695,6.48413934844925,6.21668071845119,6.98803674972803,6.83473697622094,6.7076838762112
"ABCC1",122.074739919007,120.920641558371,123.08592059797,112.997169392622,109.815495598409,110.82727266907,119.368391331969,120.690631457456,122.079341360838,112.193364441904,109.301547675279,110.676783957485
"ABCC10",29.9187988007684,31.3560666712549,28.5472926458074,23.7852421767863,25.7247054853831,23.9801701096819,31.1702316956291,30.2185362088106,31.5482021506448,24.9732325762927,25.0932486126969,24.2098524008947
"ABCC2",3.07074603507606,3.03063495364721,3.05085570260537,2.07228634647702,1.92868784662903,2.12951317576325,3.05911401536263,3.46228572756818,3.09091041328601,1.88664580099229,2.02872351516399,1.91013514355683
"ABCC3",31.0934011092675,30.3740732225871,31.6360471770166,21.2179096475397,21.4682909273052,20.197308194972,30.2512385963638,31.7233459066583,30.3629658267532,21.4357716994322,21.491450714117,21.6333910444692
"ABCC4",30.657120251825,31.3391357497261,30.8970200192426,27.239052754248,26.0306352817449,25.7393331679211,33.3481194514222,32.6898496963328,32.1175803846712,26.2765076361887,25.3753171228266,26.3754125927179
"ABCC5",30.3047395592753,29.476734381563,30.9538682621483,30.4165584855127,28.9968241769055,29.0195770659912,30.5281954207999,30.4876891628972,30.0724667277602,31.6261414534761,30.441701516311,31.3950700629951
"ABCC9",131.958179343378,126.473983819802,128.657048402728,137.185356136779,137.655107067337,131.183302342981,131.302712675853,133.169541146925,128.633001034121,142.292812253787,128.731728507679,138.529219655395
"ABCD1",2.11428415529827,2.30260532791073,2.30235383768045,1.63480367333187,1.64936064125517,2.07660601611696,2.15270986266259,2.42237658677915,2.19617318838743,1.60116650215793,1.67071348307623,1.7768699009831
"ABCD3",36.3119913655989,33.9972904297407,35.1985370657731,42.0789255354084,37.0973131327474,39.3496999869297,34.4433578026015,33.3382636311777,34.7901720954072,40.7118304424653,40.8022948691539,40.2349978203861
"ABCD4",9.96733958926329,10.1077601526669,10.1379366515147,8.76116616482786,10.5346260312427,9.25875293810111,10.0459793590921,9.39588494265853,10.1442285368372,10.0786604631957,10.5667203410146,9.79499532916934
"ABCE1",129.759995023187,121.631740262578,123.322788276744,144.668612387946,139.942929892304,147.954871950856,127.563795545965,124.593349291712,127.42452478231,140.828179329333,142.260168205056,145.248008968487
"ABCF1",97.391311407549,100.231055450232,100.886681743298,97.5125853036688,95.8358340342219,97.2962665895311,106.137408491861,104.761670265605,106.462109798972,100.277706751426,102.998401352764,101.525903967422
"ABCF2",93.6493640533307,93.2893776234419,94.6144256093703,97.3859455824952,94.4524993028466,94.8360836659785,90.6152373768733,90.5210321493886,90.9843178046221,94.0468107507803,96.272152265055,97.4168923213984
"ABCF3",30.2208393943825,31.5592377296,30.2053663972234,31.2109349183289,30.2737485443288,30.3819364268832,30.5407843673652,29.6802303006375,30.455925538431,29.3919556365115,30.2681208946927,30.5066351125036
