,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
8596,GO:0034097,2.38084693710924e-30,1,115,813,response to cytokine,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;IRF1;CXCL3;CXCL1;IL1A;BIRC3;CCL20;FOSL1;ZC3H12A;CXCL5;IL16;LIF;SOD2;IL36G;IL1RN;NFKB1;EDN1;ZFP36;SERPINB2;JUN;IFNAR2;ETS1;TRAF1;SQSTM1;CSF1;IRF6;EREG;IL23A;REL;PELI1;BIRC2;IFNGR2;IL6;NFKB2;TNFRSF10B;ZFP36L1;TNFSF15;CYP27B1;RIPK2;IRAK2;JUNB;CYLD;TJP2;RELB;CDKN1A;CLDN1;GBP2;IL7R;NOD2;IL6ST;RELT;ICAM1;GCH1;SMAD3;VEGFA;IL1R2;MAP3K8;PIGA;CEBPB;CEBPD;CDC42EP4;IFNAR1;CREB1;RUNX1;SAA1;TRIM25;IFNGR1;WNT5A;VEGFC;SOCS2;PDGFB;IL20;IFIH1;MMP9;OTUD4;IL32;MT2A;MAOA;SPRY2;CXCL16;IL4R;IL24;TNFRSF6B;NFE2L2;PTPN1;TAB3;STAT5A;CAV1;HLA-A;TNIP2;TP53;HLA-B;IKBKE;STX1A;PML;PIM1;ADAM9;RELA;MUC1;AXL;HLA-F;HLA-E;GSK3B;OSMR;OCLN;VIM;XBP1;IL36RN;JUND
3273,GO:0006952,9.87284216290664e-29,1,121,918,defense response,BP,NFKBIZ;CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;TNF;IRF1;CXCL3;CXCL1;IL1A;INHBA;BIRC3;CCL20;FOSL1;ZC3H12A;CXCL5;ELF3;BMP2;CD83;PRDM1;IL36G;PMAIP1;PTX3;IL1RN;NFKB1;TNIP1;EDN1;MAP2K3;TICAM1;KDM6B;IFNAR2;ETS1;CSF1;IRF6;EREG;IL23A;REL;BCL3;PELI1;BIRC2;IFNGR2;IL6;NFKB2;ADAM8;TNFRSF10B;BDKRB1;CYP27B1;RIPK2;IRAK2;CYLD;RELB;CLDN1;GBP2;NOD2;IL6ST;RELT;ICAM1;GCH1;SMAD3;B4GALT1;NFKBID;IL1R2;ABL2;CEBPB;CD55;TAP1;CDC42EP4;IFNAR1;SLC7A2;CD47;SAA1;TRIM25;IFNGR1;WNT5A;ABCF1;DUSP10;IL20;PGLYRP4;IFIH1;LDLR;OTUD4;IL32;MT2A;CXCL16;IL4R;TNFRSF6B;RAET1L;NFE2L2;PTPN1;SMAD1;TAB3;TPST1;CAV1;VEZF1;HLA-A;TNIP2;TLR2;HLA-B;IKBKE;UBE2D3;MAPKBP1;ADGRE2;ZNF148;PML;POLR3A;RELA;CHST2;MUC1;AXL;FRK;HLA-F;HLA-E;OSMR;PPARD;HCP5;COTL1;VIM;ELF4;IL36RN;CFB
6076,GO:0019221,3.17681348937503e-28,1,87,531,cytokine-mediated signaling pathway,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;IRF1;CXCL3;CXCL1;IL1A;BIRC3;CCL20;CXCL5;IL16;LIF;SOD2;IL36G;IL1RN;NFKB1;EDN1;SERPINB2;IFNAR2;TRAF1;SQSTM1;CSF1;IRF6;EREG;IL23A;PELI1;BIRC2;IFNGR2;IL6;TNFRSF10B;TNFSF15;RIPK2;IRAK2;JUNB;CYLD;TJP2;CDKN1A;GBP2;IL7R;NOD2;IL6ST;RELT;ICAM1;VEGFA;IL1R2;MAP3K8;CEBPD;IFNAR1;RUNX1;SAA1;TRIM25;IFNGR1;WNT5A;SOCS2;PDGFB;IL20;MMP9;OTUD4;IL32;MT2A;MAOA;IL4R;IL24;TNFRSF6B;PTPN1;TAB3;STAT5A;CAV1;HLA-A;TNIP2;TP53;HLA-B;STX1A;PML;PIM1;RELA;MUC1;AXL;HLA-F;HLA-E;OSMR;VIM;IL36RN
15210,GO:0071345,8.65276255199353e-26,1,102,746,cellular response to cytokine stimulus,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;IRF1;CXCL3;CXCL1;IL1A;BIRC3;CCL20;ZC3H12A;CXCL5;IL16;LIF;SOD2;IL36G;IL1RN;NFKB1;EDN1;ZFP36;SERPINB2;IFNAR2;TRAF1;SQSTM1;CSF1;IRF6;EREG;IL23A;PELI1;BIRC2;IFNGR2;IL6;TNFRSF10B;ZFP36L1;TNFSF15;RIPK2;IRAK2;JUNB;CYLD;TJP2;CDKN1A;CLDN1;GBP2;IL7R;NOD2;IL6ST;RELT;ICAM1;SMAD3;VEGFA;IL1R2;MAP3K8;PIGA;CEBPB;CEBPD;CDC42EP4;IFNAR1;CREB1;RUNX1;SAA1;TRIM25;IFNGR1;WNT5A;VEGFC;SOCS2;PDGFB;IL20;MMP9;OTUD4;IL32;MT2A;MAOA;SPRY2;IL4R;IL24;TNFRSF6B;NFE2L2;PTPN1;TAB3;STAT5A;CAV1;HLA-A;TNIP2;TP53;HLA-B;STX1A;PML;PIM1;RELA;MUC1;AXL;HLA-F;HLA-E;GSK3B;OSMR;OCLN;VIM;XBP1;IL36RN
3272,GO:0006950,1.09664358604213e-25,1,227,2667,response to stress,BP,NFKBIZ;CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;IRF1;CXCL3;HBEGF;NUAK2;PLAU;CXCL1;IL1A;SDC4;BTG2;INHBA;BIRC3;PLEKHF1;CCL20;FOSL1;NCOA7;ZC3H12A;CXCL5;PPP1R15A;ELF3;BMP2;PLAUR;CD83;SOD2;PRDM1;IL36G;TBX3;PMAIP1;PTX3;IL1RN;MAFF;NFKB1;IER3;PPIF;TNIP1;EDN1;MAP2K3;ZFP36;SERPINB2;JUN;TICAM1;KDM6B;IFNAR2;EPHA2;EHD1;ETS1;SQSTM1;CSF1;BBC3;IRF6;EREG;IL23A;REL;DUSP1;BCL3;PELI1;GADD45A;BIRC2;IFNGR2;IL6;NFKB2;ADAM8;TNFRSF10B;BDKRB1;PANX1;ZFP36L1;CYP27B1;RIPK2;IRAK2;JUNB;PHLDB2;CYLD;FZD8;RELB;C1QTNF1;CDKN1A;CLDN1;ITGA5;GBP2;RAP2B;CPEB2;GPX3;NOD2;IL6ST;RELT;TFPI2;SGK1;ICAM1;GCH1;SMAD3;B4GALT1;NFKBID;NINJ1;TRAF4;TRIB1;VEGFA;IL1R2;DKK1;PLK2;MAP3K8;ABL2;CFLAR;TXNRD1;BTG1;ANXA8;UPP1;IER5;CEBPB;CD55;TAP1;ADM;CDC42EP4;IFNAR1;ERRFI1;CREB1;USP43;NR4A2;SLC7A2;CD47;VHL;BACH1;ABTB2;TGFBR2;SFR1;SAA1;TRIM25;IFNGR1;MASTL;WNT5A;VEGFC;ABCF1;DUSP10;SLC52A3;SOX4;PDGFB;IL20;PGLYRP4;IFIH1;NRG1;TNC;SLC38A2;MMP9;LDLR;DCBLD2;ATF3;OTUD4;CAB39;IL32;PLK3;CHD2;TRPV3;MT2A;SLC9A1;RCHY1;TNKS1BP1;CXCL16;NUP153;BCL2L2;RNF152;IL4R;NEDD4;IL24;TNFRSF6B;RAET1L;NFE2L2;PTPN1;WNT7B;SMAD1;TAB3;SUSD6;TPST1;CAV1;VEZF1;HLA-A;INO80D;TNIP2;TP53;TLR2;HLA-B;IKBKE;UBE2D3;MAPKBP1;ELK3;RAD9B;ADGRE2;ZNF148;PML;POLR3A;ADAM9;RELA;ESCO2;PLAT;CHST2;MUC1;AXL;ANXA5;FRK;HLA-F;NR4A3;HLA-E;GSK3B;OSMR;PPARD;PARP1;HCP5;COTL1;JMY;VIM;EGLN1;NABP1;RPS6KA6;DDR1;XBP1;HSPA4L;ELF4;IL36RN;EID3;LMAN1;CFB;JUND
3275,GO:0006954,1.25044022788563e-25,1,70,367,inflammatory response,BP,NFKBIZ;CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;TNF;CXCL3;CXCL1;IL1A;BIRC3;CCL20;ZC3H12A;CXCL5;ELF3;BMP2;IL36G;PTX3;IL1RN;NFKB1;TNIP1;MAP2K3;TICAM1;KDM6B;ETS1;CSF1;IL23A;REL;BIRC2;IL6;NFKB2;ADAM8;TNFRSF10B;BDKRB1;RIPK2;IRAK2;RELB;NOD2;IL6ST;RELT;ICAM1;SMAD3;B4GALT1;NFKBID;IL1R2;CEBPB;CD55;SLC7A2;CD47;SAA1;WNT5A;ABCF1;DUSP10;IL20;LDLR;IL4R;TNFRSF6B;NFE2L2;SMAD1;TPST1;TNIP2;TLR2;ADGRE2;RELA;CHST2;AXL;OSMR;PPARD;IL36RN;CFB
7926,GO:0032496,1.1166931263934e-24,1,51,204,response to lipopolysaccharide,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;CXCL3;CXCL1;NOCT;CCL20;ZC3H12A;CXCL5;PRDM1;NFKB1;TNIP1;EDN1;ZFP36;JUN;TICAM1;PELI1;IL6;NFKB2;TNFRSF10B;BDKRB1;CYP27B1;RIPK2;IRAK2;JUNB;CLDN1;RELT;ICAM1;GCH1;NFKBIB;TRIB1;CEBPB;CD55;ADM;IFNAR1;WNT5A;DUSP10;IL24;TNFRSF6B;TNIP2;TLR2;ADAM9;RELA;AXL;PPARD;XBP1;JUND
881,GO:0002237,1.75962482725395e-24,1,52,214,response to molecule of bacterial origin,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;CXCL3;CXCL1;NOCT;CCL20;ZC3H12A;CXCL5;PRDM1;NFKB1;TNIP1;EDN1;ZFP36;JUN;TICAM1;PELI1;IL6;NFKB2;TNFRSF10B;BDKRB1;CYP27B1;RIPK2;IRAK2;JUNB;CLDN1;NOD2;RELT;ICAM1;GCH1;NFKBIB;TRIB1;CEBPB;CD55;ADM;IFNAR1;WNT5A;DUSP10;IL24;TNFRSF6B;TNIP2;TLR2;ADAM9;RELA;AXL;PPARD;XBP1;JUND
958,GO:0002376,2.92642546910842e-24,1,176,1863,immune system process,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;IRF1;CXCL3;PLAU;CXCL1;IL1A;SDC4;INHBA;BIRC3;CCL20;ZC3H12A;CXCL5;IL16;RNF19B;LIF;PLAUR;CD83;PRDM1;IL36G;PMAIP1;PTX3;IL1RN;NFKB1;TNIP1;EDN1;ZFP36;JUN;TICAM1;KDM6B;IFNAR2;EPHA2;ETS1;HCAR2;SQSTM1;CSF1;KLF6;IRF6;EREG;IL23A;REL;BCL3;PELI1;AMPD3;EFNB1;BIRC2;IFNGR2;IL6;NFKB2;ADAM8;TNFRSF10B;BDKRB1;ZFP36L1;TNFSF15;CYP27B1;SIX4;RIPK2;IRAK2;JUNB;CYLD;FZD8;TJP2;RELB;CDKN1A;CLDN1;ITGA5;GBP2;RAP2B;IL7R;CTSC;NOD2;IL6ST;RELT;ICAM1;GCH1;SMAD3;B4GALT1;NFKBID;TRIB1;VEGFA;RAB24;NRARP;IL1R2;CDKN2B;MAP3K8;ABL2;CEBPB;CD55;TAP1;CDC42EP4;IFNAR1;CREB1;SLC7A2;CD47;CANT1;RUNX1;TGFBR2;SAA1;TINAGL1;TRIM25;IFNGR1;KIF3C;WNT5A;VEGFC;SLC11A2;DUSP10;SOX4;SERPINB1;PDGFB;IL20;ANLN;PGLYRP4;IFIH1;MMP9;LDLR;OTUD4;CAB39;IL32;CHD2;MT2A;GRB7;CXCL16;IL4R;NEDD4;POU2F2;GCSAM;TNFRSF6B;RAET1L;BTN2A2;NFE2L2;PTPN1;TAB3;CAV1;HLA-A;TNIP2;TP53;TLR2;ABI1;TAPBP;EFNB2;HLA-B;ITGAV;IKBKE;GEM;UBE2D3;CD276;ADGRE2;PML;POLR3A;ADAM9;RELA;ESCO2;EVI2B;MUC1;AXL;FRK;HLA-F;NR4A3;HLA-E;KMT2E;SLC16A1;PARP1;COTL1;VIM;XBP1;ELF4;IL36RN;TFE3;C12ORF29;MGAM;CFB
4271,GO:0009617,2.16093285956868e-23,1,59,298,response to bacterium,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;CXCL3;CXCL1;NOCT;CCL20;ZC3H12A;CXCL5;PRDM1;NFKB1;TNIP1;EDN1;ZFP36;JUN;TICAM1;IL23A;BCL3;PELI1;IL6;NFKB2;TNFRSF10B;BDKRB1;CYP27B1;RIPK2;IRAK2;JUNB;CLDN1;NOD2;RELT;ICAM1;GCH1;NFKBIB;TRIB1;CEBPB;CD55;ADM;IFNAR1;CD47;WNT5A;DUSP10;PGLYRP4;IL24;TNFRSF6B;CAV1;TNIP2;TLR2;MAPKBP1;ADAM9;RELA;AXL;HLA-E;PPARD;XBP1;JUND
4265,GO:0009607,1.86452888879739e-22,1,81,551,response to biotic stimulus,BP,CXCL8;IL1B;CXCL2;NFKBIA;TNFAIP3;CSF2;TNF;IRF1;CXCL3;CXCL1;BIRC3;NOCT;CCL20;FOSL1;ZC3H12A;CXCL5;PRDM1;PMAIP1;PTX3;NFKB1;TNIP1;EDN1;ZFP36;JUN;TICAM1;IFNAR2;IL23A;BCL3;PELI1;BIRC2;IFNGR2;IL6;NFKB2;TNFRSF10B;BDKRB1;CYP27B1;RIPK2;IRAK2;JUNB;CLDN1;ODC1;NOD2;RELT;ICAM1;GCH1;SMAD3;NFKBIB;TRIB1;CEBPB;CD55;ADM;IFNAR1;CD47;TMEM265;TRIM25;IFNGR1;WNT5A;DUSP10;PGLYRP4;IFIH1;IL4R;IL24;TNFRSF6B;CAV1;TNIP2;TP53;TLR2;IKBKE;MAPKBP1;PML;POLR3A;ADAM9;RELA;AXL;HLA-E;GSK3B;PPARD;COTL1;XBP1;IL36RN;JUND
