"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3"
"A1BG-AS1",1.42685357591166,1.86194978322559,1.6863371717939,0.662204242598981,0.990030012465329,0.734490719278434,1.25096560100455,1.01422453855554,1.44953581024858,0.609014109339318,0.540095816601615,0.679892936216049
"A2ML1",63.5861740182587,59.0623890697054,51.6780746194904,107.403892368767,98.9361073267717,101.662156615421,80.1992672116541,76.5739526609436,56.1591588199163,118.101889972648,109.534432139122,132.594231294045
"A4GALT",13.1206159649621,13.654298410321,13.4362994010675,13.9203785465488,13.5125717917565,13.5376720808182,12.3859341374186,11.7232424603626,11.6791170997171,14.1634819787375,13.5023954150404,13.0388356434322
"AAAS",29.9102839822685,31.737017926692,33.2008963608025,33.1806593898,31.5605513433204,33.5273410682391,32.5800931250634,30.2328402890013,29.680971352709,32.4651367517036,33.0058554589876,33.9795380788865
"AACS",56.8703068113361,58.0056067603071,58.6228825420395,48.7635932688313,46.5180318019182,48.6924141545174,60.2800457187355,58.4819767011219,57.9952375128978,51.0010277205695,49.1187139876024,47.6378317308712
"AADAT",7.40247343894019,7.07876404073152,6.83601197598172,6.84747365751286,6.8499373835439,7.04246983778734,6.63974049763951,5.87653629692477,6.58503410941497,6.93339139863223,7.02124561582099,7.02556034089917
"AAED1",8.55039323309468,8.8232935673573,8.93940027628378,6.05846434718216,6.51546778473804,6.840844934456,8.96296232807653,9.09819071351297,8.91809650876744,6.71477094912581,6.57116576865298,6.73849443449684
"AAGAB",39.5227712305154,40.6441831059064,40.9616738826066,48.66496710504,47.8291526292372,45.3079961343128,39.7147211132102,39.8232282050486,37.522269831006,45.7697526788087,46.5832641818893,45.945653756289
"AAK1",97.6053671702577,95.1607308129619,94.1991570695624,85.9174781142252,86.4804594672417,84.9560931965389,94.8671825553008,98.4991007738355,96.8427972275597,89.5719213120597,89.6259002327235,89.5947802613593
"AAMDC",2.02763402892709,2.26453352013923,2.52043942881024,2.35293847902191,2.56872651882896,2.46270417640416,2.07577808518337,2.17759974454573,2.15359606094074,1.8738895671979,2.25039923584006,2.32674471505048
"AAMP",68.9502852058965,70.2676364138018,74.3438968210213,78.6332314456364,76.325962447496,79.4546136913553,72.1573454909105,71.7563861028048,72.7666976744786,79.4373019027977,77.3237177434645,77.4775772647977
"AAR2",23.5806327808558,23.802763445019,22.5388935972023,23.6139215020402,22.0482359532819,23.1004532102472,24.9230838969367,23.9983423902334,22.4470974044208,24.3449486271794,22.9240668824241,22.7235328015319
"AARS",168.400906624702,179.61944395297,174.055381849996,149.531353759638,150.203607431733,147.229384768303,166.708349927276,162.365416569348,159.987338142579,137.293642290033,135.534044643861,146.645351975844
"AARS2",35.7249805096679,37.9602915264821,40.2363675721576,36.0689970436892,34.6644292202387,37.6606515865315,36.5254461743855,37.7947791279375,38.6266780673859,38.4459676203436,36.9215501293493,36.0645430832824
"AARSD1",15.7812151140305,15.868508963346,15.8479428833104,18.4008242730695,17.6332372490446,19.010348028383,16.4137684351585,16.9733459540619,16.6903694722908,18.6452011936191,19.6384839980976,18.0549346395151
"AASDH",10.4063757040174,9.39362052798496,8.86686964523889,13.5399633433536,15.5193893845916,13.2784400622493,9.07293732596703,9.05344551328258,9.60835165650486,11.7586570341668,12.7372596748548,13.1597054987595
"AASDHPPT",35.2851233922816,32.5421854005193,31.8590796864718,38.3514882628601,42.0361391779198,38.4671511998568,34.0372618471127,34.3941439104277,33.850112445043,39.7889218101688,40.837244799711,37.3185678323031
"AASS",32.9249144697209,33.196383973004,30.8980488251269,25.5019080660458,25.6738864043374,26.3840587787861,30.9442150314421,32.6938263016728,33.2702981209435,23.2206148868607,23.6591972994652,24.7027766825164
"AATBC",2.87516359657387,2.43227674385325,2.62923537537758,6.21344831885427,5.33813479694143,6.01994354232128,2.84560307041693,2.75928734754082,2.60916445844744,5.85590489749344,5.68600873588922,5.4542522216443
"AATF",50.8410458364312,55.6572016283109,51.8956665126251,53.3567546111136,49.0733795367949,52.7393139999535,56.4721614167766,55.1260866838425,55.6759802165001,56.8725483644563,54.6396934461967,52.4575172120472
"AATK",1.04063757040174,1.17420256599812,1.17862275447961,1.07079834973452,1.12381785198767,1.10893696832234,0.879799983124076,1.40201627388561,0.993967412741882,0.874481798025687,0.870154371191491,1.16337235752524
"ABALON",12.884595072706,13.40268357475,12.0582174112144,15.8647229184352,16.1348134463944,15.2658855379439,12.1659841416376,13.408645002374,12.6040589976853,15.3658944510228,15.2126988342788,18.0096084437673
"ABAT",9.2477276874876,10.4504028373833,9.50151266688175,11.5392611635865,10.2749060753158,10.2252629546606,9.01794982702178,8.72531404492638,8.8490709939937,9.41629507516945,9.5266900983896,10.5458948773067
"ABCA1",68.1885814172519,68.187620439748,65.2050373093641,30.376858447732,31.5070362075115,29.7828785778,59.6614363556014,62.0019324525794,61.4465132515849,26.9840097676498,28.4600490025907,28.0871326316808
"ABCA11P",5.56794741276805,6.12262766556163,5.18594011971027,6.84747365751286,7.50549779720337,6.75443426159972,5.43001552084391,6.10026229807673,6.08805040304402,6.96462289141886,7.53133610927808,6.96512541323552
"ABCA12",36.8299874143212,32.0389557293773,26.2560884382534,69.5878032807737,68.673298026818,70.5687161659672,46.5606647318945,42.7764114202544,31.3928041190978,86.1208413591369,84.3449633592855,95.2454459979105
"ABCA13",1.72724380241938,1.74452952662578,1.48687793642043,1.43712410095949,1.71248434588597,1.64180278426944,1.33344684942243,1.53625187457678,1.43573070729383,1.79581083523132,1.60528478823258,1.57130811925487
"ABCA2",3.40084649296238,3.77422253356539,3.55400092120004,3.29693176102471,3.66578680291216,3.81647138448598,3.78039055248626,3.17690921635781,2.77482569390442,2.7639871116169,2.74548706772488,3.18794243425747
"ABCA5",13.1206159649621,12.3626755877231,11.296645785243,11.8492291069307,15.5461469524961,11.9102710753581,10.4613716743347,11.2907055248022,11.6929222026719,9.74422574942908,11.0569615787608,12.1172029965616
"ABCA7",17.5728282507015,18.5020775756561,18.4590456009268,21.1905357631674,20.108312280208,20.6089454762243,17.224834044601,17.5401184903135,18.5264481652723,19.4572200060715,17.3880847622575,20.9407024354543
"ABCA9",1.673602690543,1.9290470727112,1.88579640716737,1.74709204430369,1.76599948169491,1.75701701474449,1.78709371572078,1.58099707480717,1.78085828116254,1.65526911769148,1.80031938867205,1.61663431500261
"ABCB10",23.3767965557256,23.6182458989336,23.1010059878003,21.1341779552866,22.797447854607,21.1562130709808,24.2082464106484,24.3115587918461,25.2633384071895,20.0506183690175,21.8288725876486,22.3307057717182
"ABCB5",1.56632046679024,1.74452952662578,1.81326577612247,1.28214012928739,1.39139353103235,1.52658855379439,1.47091559678556,1.9837038768807,1.67041745752455,1.60842187851153,1.60528478823258,1.13315489369341
"ABCB6",8.92588101622933,9.54458942932758,9.13885951165726,8.45367118211465,7.38508874163326,8.81388863134121,8.55055608598711,8.87446471236101,10.0225047451473,7.91718342141113,8.11643991059649,8.18893269842441
"ABCB7",15.1697064386397,15.19753606849,14.7599834176369,16.9214318161995,18.8507065886979,16.893286543404,14.5304465962836,14.7808311427727,15.1994183531779,17.3178627501873,17.4480954085466,18.5081965969924
"ABCB8",38.1924716559813,39.3190116385656,37.1356830949882,32.4480078873501,30.2895668678582,30.7766013156473,39.9209242342549,37.6754585939898,38.7923393028429,33.2615398177627,29.7652805593779,31.9096418064066
"ABCB9",8.59330612259578,8.06844906064422,9.13885951165726,7.70693022769452,6.79642224773496,8.25221925777535,8.50931546177817,7.97956070775318,8.62818934671772,7.60486849354481,6.97623763110419,7.59969215370383
"ABCC1",114.051732071555,115.306691981015,115.867683094226,104.67053868655,94.9893660608626,100.668433877574,127.969656920344,122.333377429891,123.376205106586,106.280769952908,99.6176728398534,106.093515513535
"ABCC10",30.2106742087762,30.8647531633792,30.8980488251269,21.8668294577366,21.6201148668104,22.524382057872,29.2945900630845,30.0389444213363,29.791412176347,22.9239157053877,22.6240136509788,22.8746201206911
"ABCC2",2.40312181206174,2.39872809911045,2.13965361582452,2.04297053567771,2.02019637678736,2.03065081212273,1.78709371572078,1.95387374339377,2.12598585503125,1.90512105998453,1.56027680351578,1.7375041703299
