"","logFC","logCPM","F","PValue","FDR"
"NFKBIA",1.52239166785398,6.59796292992237,2162.68514883832,5.11467757950724e-19,7.06848441487901e-15
"SQSTM1",0.711175435691865,6.9863188981721,1623.7958745786,5.40777509207781e-18,3.5169936555603e-14
"C3",3.93031240076525,2.55664755243192,1518.04794678322,9.40382300970733e-18,3.5169936555603e-14
"TRPV3",1.10264994030882,4.79618273936353,1503.46947234851,1.01794317092918e-17,3.5169936555603e-14
"IRAK2",1.935794624414,3.15786702218479,1426.54643945766,1.56670537087191e-17,4.33037364508996e-14
"PRDM1",1.1875041917954,5.22151261746808,1387.80028181827,1.96394875728113e-17,4.52362863760421e-14
"TNF",2.57950550206826,3.11257028835158,1070.47328621859,1.64753569163113e-16,3.25270617976317e-13
"SERPINB1",1.22369040617725,4.63019591647835,1022.15760352583,2.40336383186497e-16,4.15181101954674e-13
"CSF2",2.95558919821242,2.00720401680125,891.779743596961,7.3217624265349e-16,1.12429729705236e-12
"BIRC3",2.22352632026095,3.7051333245835,873.208103930067,8.69230321579114e-16,1.20127630442234e-12
"PLAU",0.697275790395875,9.29583804631529,862.2294341726,9.63657858386925e-16,1.21070469117339e-12
"TNIP1",1.04713913286505,9.29698130918271,849.116103180454,1.09184052365288e-15,1.2574363364069e-12
"SAA1",2.51319347381185,2.92464198615403,835.950855287348,1.24006363711642e-15,1.3182830357653e-12
"TYMP",1.15458478054811,5.52620138336948,811.906004937435,1.57274348176253e-15,1.55252249413987e-12
"ALDH1A3",0.700529135158012,6.28861366172023,714.475776253909,4.4468802560625e-15,4.09705900925225e-12
"TACSTD2",0.433521821797463,8.39474242002019,700.198611541094,5.23867276651597e-15,4.26753727384789e-12
"TMEM265",0.83964836766288,4.03172076945952,698.642665644985,5.33411821381515e-15,4.26753727384789e-12
"OPTN",0.689816946703404,6.10940796948108,695.107577802047,5.55829746231997e-15,4.26753727384789e-12
"SERPINB2",1.24679746098917,8.11320425302458,678.684302476816,6.74820144697108e-15,4.90842863142843e-12
"MMP9",3.81413702478188,4.09796715183007,663.792606676425,8.07827286753954e-15,5.58208655146982e-12
"C1orf74",0.89838519530212,6.03443100315184,654.377905655302,9.0698900706355e-15,5.96885146553251e-12
