"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNFAIP3orf_unt_24h1","fpool2_TNFAIP3orf_unt_24h2","fpool2_TNFAIP3orf_unt_24h3","fpool_TNFAIP3orf_unt_24h1","fpool_TNFAIP3orf_unt_24h2","fpool_TNFAIP3orf_unt_24h3"
"A1BG-AS1",1.42685357591166,1.86194978322559,1.6863371717939,0.662204242598981,0.990030012465329,0.734490719278434,1.83307038082901,1.29135906673991,1.53860037475007,0.907689337079747,0.711816855225787,0.859820739256247
"A2ML1",63.5861740182587,59.0623890697054,51.6780746194904,107.403892368767,98.9361073267717,101.662156615421,51.1863081580062,49.3031145575132,48.4461861587972,117.825536413256,90.9171567635447,88.3895719955422
"A4GALT",13.1206159649621,13.654298410321,13.4362994010675,13.9203785465488,13.5125717917565,13.5376720808182,12.7267457868985,12.0608063780425,12.3614047202143,13.9510607699106,13.3849483168927,13.2949781807497
"AAAS",29.9102839822685,31.737017926692,33.2008963608025,33.1806593898,31.5605513433204,33.5273410682391,30.2020167508017,31.6504797678328,30.7851579255549,32.9254981450297,33.5391353550503,34.2638564593615
"AACS",56.8703068113361,58.0056067603071,58.6228825420395,48.7635932688313,46.5180318019182,48.6924141545174,59.0423240758448,60.3283971556228,58.3353099349686,46.6154428042736,50.483167948072,48.7733314343106
"AADACL2-AS1",1.34102779690945,1.59356062528316,1.43247996313675,0.831277666241274,0.842863388990753,0.662481825231529,1.0998422284974,1.26699380132972,0.894229277632521,1.08176674419093,0.879303174102443,0.956550572422575
"AADAT",7.40247343894019,7.07876404073152,6.83601197598172,6.84747365751286,6.8499373835439,7.04246983778734,7.22753464441151,7.01719643813383,7.66670101264353,5.74455443466908,6.22490818491571,6.2551958780892
"AAED1",8.55039323309468,8.8232935673573,8.93940027628378,6.05846434718216,6.51546778473804,6.840844934456,9.86366443017513,9.89229775653589,9.19215095684018,6.37869356057411,5.98763589984045,6.68510624771732
"AAGAB",39.5227712305154,40.6441831059064,40.9616738826066,48.66496710504,47.8291526292372,45.3079961343128,39.8911030494693,37.9732661417763,37.5970809522262,42.7981739483355,45.1515201304985,45.7854543653952
"AAK1",97.6053671702577,95.1607308129619,94.1991570695624,85.9174781142252,86.4804594672417,84.9560931965389,96.1576348343445,93.6966281348738,97.9970084840816,87.3619901687987,79.5001726934526,83.1769087638012
"AAMDC",2.02763402892709,2.26453352013923,2.52043942881024,2.35293847902191,2.56872651882896,2.46270417640416,1.95527507288427,2.0466822944557,2.3013253468484,2.44951780006452,2.27502249807457,2.10656081117781
"AAMP",68.9502852058965,70.2676364138018,74.3438968210213,78.6332314456364,76.325962447496,79.4546136913553,70.0407463608188,72.1942814103838,69.2764681554136,79.9388321655575,79.9468028771237,80.5652032683104
"AAR2",23.5806327808558,23.802763445019,22.5388935972023,23.6139215020402,22.0482359532819,23.1004532102472,24.1790712137921,22.7815231585248,23.8417305933494,20.1308087223577,22.3035947970747,22.0114109249599
"AARS",168.400906624702,179.61944395297,174.055381849996,149.531353759638,150.203607431733,147.229384768303,174.281348683962,165.415786869759,165.222009473162,169.862247038992,150.458543124196,160.65750513003
"AARS2",35.7249805096679,37.9602915264821,40.2363675721576,36.0689970436892,34.6644292202387,37.6606515865315,39.0880436445347,36.0605928070766,37.0447628689825,36.4816508903011,36.1630876841179,35.6503174014122
"AARSD1",15.7812151140305,15.868508963346,15.8479428833104,18.4008242730695,17.6332372490446,19.010348028383,14.0011661469035,15.7399614549807,14.6627300670627,16.8482061882611,17.53023470909,17.1641715074028
"AASDH",10.4063757040174,9.39362052798496,8.86686964523889,13.5399633433536,15.5193893845916,13.2784400622493,10.649266021959,10.4770641263804,10.441441859415,15.157168519181,14.5852669355088,14.4234929010235
"AASDHPPT",35.2851233922816,32.5421854005193,31.8590796864718,38.3514882628601,42.0361391779198,38.4671511998568,31.3716902319021,33.9529973490955,34.1779690083371,35.8102094628722,38.7591256267061,38.1330497860146
"AASS",32.9249144697209,33.196383973004,30.8980488251269,25.5019080660458,25.6738864043374,26.3840587787861,34.8283372357511,32.4910814244842,34.1516681472303,27.6161372281386,26.6303247013883,25.2357386971709
"AATBC",2.87516359657387,2.43227674385325,2.62923537537758,6.21344831885427,5.33813479694143,6.01994354232128,2.93291260932641,3.28931083037523,3.35335979112196,6.59007326920912,5.84806396744323,5.2234109909817
"AATF",50.8410458364312,55.6572016283109,51.8956665126251,53.3567546111136,49.0733795367949,52.7393139999535,54.3810879645939,53.1284612269126,53.3775976163295,48.0329302621789,52.0463735909208,52.6855157979266
"AATK",1.04063757040174,1.17420256599812,1.17862275447961,1.07079834973452,1.12381785198767,1.10893696832234,1.29187817315568,1.20608063780425,1.05203444427355,1.29314645282594,0.879303174102443,0.849072980015544
"ABALON",12.884595072706,13.40268357475,12.0582174112144,15.8647229184352,16.1348134463944,15.2658855379439,13.2504801814211,12.8526775038736,13.8079520810904,16.1518965598163,13.5663918290091,14.8534032706517
"ABAT",9.2477276874876,10.4504028373833,9.50151266688175,11.5392611635865,10.2749060753158,10.2252629546606,9.33993003565256,10.1846809414581,10.3888401372014,10.892272044957,9.5606773692091,9.90943401992825
"ABCA1",68.1885814172519,68.187620439748,65.2050373093641,30.376858447732,31.5070362075115,29.7828785778,70.5644807553414,74.2044158067243,74.1947291823924,27.6783077306783,25.6114495948886,29.212409616231
"ABCA11P",5.56794741276805,6.12262766556163,5.18594011971027,6.84747365751286,7.50549779720337,6.75443426159972,6.12769241591411,6.27405584312313,5.957145040699,7.72157641543182,6.67153836858679,6.79258384012435
"ABCA12",36.8299874143212,32.0389557293773,26.2560884382534,69.5878032807737,68.673298026818,70.5687161659672,31.9128824395755,31.9550455854601,31.5215820365464,95.9663877202943,81.3425222010958,77.3731187738216
