,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
7354,GO:0031424,7.80206635114352e-18,1,24,84,keratinization,BP,RPTN;SPRR2G;SPRR2A;TCHH;LCE1B;KRT1;KRT8;KRT24;KRT2;KRT18;SPRR3;FLG;LCE3D;LCE3E;KRT78;SPRR2E;SPRR2D;KRT4;HRNR;KRT13;CDSN;KRT23;LCE1C;KRT34
482,GO:0001533,2.24021129499704e-16,1,18,46,cornified envelope,CC,RPTN;SPRR2G;SPRR2A;FLG2;TCHH;LCE1B;KRT1;KRT2;SPRR3;FLG;LCE3D;LCE3E;SPRR2E;SPRR2D;HRNR;CDSN;ANXA1;LCE1C
14626,GO:0070268,5.12551667477635e-15,1,20,70,cornification,BP,RPTN;SPRR2G;SPRR2A;TCHH;KRT1;KRT8;KRT24;KRT2;KRT18;SPRR3;FLG;LCE3D;KRT78;SPRR2E;SPRR2D;KRT4;KRT13;CDSN;KRT23;KRT34
12319,GO:0048731,6.60295766124013e-15,1,156,2928,system development,BP,NFKBIA;RPTN;MMP9;SPRR2G;SPRR2A;IL1A;FLG2;TRIM16;TCHH;LCE1B;KRT1;NEFL;KRT8;CXCL1;TENM3;LGALS1;DSCAM;OSR2;KRT24;ASPRV1;KRT2;LCP1;KRT18;SPRR3;NEFM;MAFB;RELB;B4GALT1;FEZ1;EDN1;DPYSL3;PSMB9;FLG;LCE3D;FGF5;LCE3E;DBNDD2;SLIT2;CLDN1;CHAC1;COL12A1;KRT78;EPCAM;CDKN2B;PGK1;SPRR2E;GREB1L;SPRR2D;CCBE1;JUN;KRT4;CLDN11;MCAM;RIPK2;NFKB2;SPNS2;PARP1;SDK1;HRNR;HSPA5;IL1B;KRT13;CNTNAP1;ANPEP;JUNB;TJP2;IL6ST;PHLDA2;CRYAB;ATF3;DNAJB9;AXL;ERAP1;CYLD;SEMA7A;CDSN;FBN2;TRIB1;KRT23;CD83;ITGAV;LYN;COL8A1;ANXA1;COL4A4;G6PD;NBN;SLC8A1;NEDD4L;LCE1C;VEGFC;RHOB;XBP1;MOBP;ARG1;SEMA3D;SUDS3;HMOX1;MMP19;KLK6;PAPSS2;FRAS1;RIMS2;NRP1;IL7R;EGLN1;SETX;CXCR5;KLF10;NRG1;IFRD1;SERPINH1;HSP90AB1;KRT34;ADAM8;L1CAM;NR2F2;CALR;CTR9;AMOTL2;SERP1;EIF2B1;MAFF;HMGCS1;UBP1;CORO1C;IL23A;MME;DLG1;GDA;EHD1;CITED2;LOX;ETS1;HAS2;ADGRL3;BAMBI;TFRC;ZFP42;NEDD4;CDK6;TUBB3;NTNG1;PML;OXCT1;EPHA2;MYH9;HES4;SOX11;ENPP1;SORBS2;TNFAIP2;HSPD1;MAGED1;CYP1A1;PARVA
4365,GO:0010033,1.33679968479384e-14,1,125,2152,response to organic substance,BP,IL32;NFKBIA;MMP9;IL1A;TRIM16;NEFL;KRT8;SERPINB2;CXCL1;LGALS1;SAA1;LCP1;TNIP1;KRT18;NFKB1;RELB;FEZ1;EDN1;TP53;DPYSL3;CXCL16;PMAIP1;PSMB9;CD274;FGF5;SLIT2;CLDN1;UBQLN2;CHAC1;CDKN2B;CLDN7;DNAJB1;PEG10;CCBE1;JUN;RIPK2;IL16;NFKB2;HERPUD1;PARP1;OPTN;SDK1;HSPA5;IL1B;KRT13;JUNB;TJP2;IL6ST;CRYAB;ATF3;DNAJB9;AXL;ACTG1;DNAJC10;IFITM2;HSPA6;NOCT;IKBKE;CYLD;FBN2;DUSP1;TRIB1;CD83;LYN;ANXA1;DERL3;G6PD;SLC8A1;BIRC3;VEGFC;XBP1;ARG1;UGGT1;TRAF3;HMOX1;MMP19;IL24;HSP90AA1;CANX;NRP1;IL7R;TRAF1;SETX;TNFSF15;CXCR5;SOD2;KLF10;SERPINH1;HSP90AB1;NR2F2;CALR;PDIA6;IFNAR1;CTR9;SEL1L;SERP1;EIF2B1;HMGCS1;IL23A;MME;EHD1;CITED2;LOX;ETS1;HAS2;ADGRL3;MGST3;BAMBI;DNAJC3;ZC3H7B;IFNGR1;HSP90B1;TFRC;HTR1B;SVIP;NEDD4;PML;OXCT1;EPHA2;SOX11;ENPP1;HSPD1;IRAK2;SDF2L1;CYP1A1
3446,GO:0007275,1.52278435823498e-14,1,168,3292,multicellular organism development,BP,NFKBIA;RPTN;MMP9;SPRR2G;SPRR2A;IL1A;FLG2;TRIM16;TCHH;LCE1B;KRT1;NEFL;KRT8;CXCL1;TENM3;LGALS1;DSCAM;OSR2;KRT24;ASPRV1;KRT2;LCP1;KRT18;SPRR3;NEFM;MAFB;RELB;B4GALT1;FEZ1;EDN1;TP53;DPYSL3;PSMB9;FLG;LCE3D;FGF5;LCE3E;DBNDD2;SLIT2;CLDN1;CHAC1;COL12A1;KRT78;EPCAM;CDKN2B;PGK1;SPRR2E;GREB1L;SPRR2D;CCBE1;JUN;KRT4;CLDN11;MCAM;RIPK2;NFKB2;SPNS2;PARP1;SDK1;HRNR;HSPA5;IL1B;KRT13;CNTNAP1;ANPEP;JUNB;TJP2;IL6ST;PHLDA2;CRYAB;ATF3;DNAJB9;AXL;EHF;GADD45B;NOCT;ERAP1;CYLD;SEMA7A;CDSN;FBN2;DUSP1;TRIB1;KRT23;CD83;ITGAV;LYN;COL8A1;ANXA1;COL4A4;G6PD;NBN;SLC8A1;NEDD4L;LCE1C;VEGFC;RHOB;XBP1;MOBP;ARG1;SEMA3D;SUDS3;HMOX1;MMP19;KLK6;PAPSS2;FRAS1;RIMS2;NRP1;IL7R;EGLN1;SETX;CXCR5;KLF10;NRG1;ACO1;IFRD1;SERPINH1;HSP90AB1;KRT34;ADAM8;C2ORF49;L1CAM;NR2F2;CALR;CTR9;AMOTL2;EYA3;SERP1;EIF2B1;MAFF;HMGCS1;ARHGDIB;UBP1;CORO1C;IL23A;MME;DLG1;GDA;EHD1;ZMYM4;CITED2;LOX;TXNRD1;ETS1;HAS2;ADGRL3;SEC24D;BAMBI;TFRC;ZFP42;NEDD4;CDK6;TUBB3;NTNG1;PML;OXCT1;EPHA2;MYH9;HES4;SOX11;ENPP1;SORBS2;TNFAIP2;HSPD1;MAGED1;CYP1A1;PARVA
6717,GO:0030154,2.49892037627803e-14,1,139,2511,cell differentiation,BP,NFKBIA;RPTN;MMP9;SPRR2G;SPRR2A;IL1A;TRIM16;TCHH;LCE1B;KRT1;NEFL;KRT8;TENM3;LGALS1;DSCAM;OSR2;KRT24;KRT2;KRT18;SPRR3;NFKB1;NEFM;MAFB;RELB;B4GALT1;FEZ1;EDN1;TP53;DPYSL3;PSMB9;FLG;LCE3D;FGF5;LCE3E;DBNDD2;SLIT2;CLDN1;CHAC1;COL12A1;KRT78;EPCAM;CDKN2B;PGK1;SPRR2E;SPRR2D;PEG10;JUN;KRT4;RIPK2;NFKB2;PARP1;SDK1;HRNR;HSPA5;IL1B;KRT13;CNTNAP1;ANPEP;JUNB;TJP2;IL6ST;ATF3;DNAJB9;AXL;ACTG1;EHF;GADD45B;NOCT;ERAP1;CYLD;SEMA7A;CDSN;FBN2;TRIB1;FADS1;KRT23;CD83;ITGAV;LYN;COL8A1;ANXA1;G6PD;SLC8A1;NEDD4L;LCE1C;VEGFC;NOC3L;RHOB;XBP1;SEMA3D;MMP19;KLK6;RIMS2;NRP1;IL7R;SETX;KLF10;NRG1;IFRD1;SERPINH1;HSP90AB1;KRT34;ADAM8;L1CAM;NR2F2;STEAP4;CALR;CTR9;IGFBP3;EYA3;EIF2B1;MAFF;RRAS2;CORO1C;IL23A;EHD1;CITED2;ETS1;HAS2;ADGRL3;BAMBI;TFRC;NEDD4;CDK6;TUBB3;NTNG1;PML;EPHA2;MYH9;HES4;SOX11;ENPP1;SORBS2;TNFAIP2;TPM4;SND1;CYP1A1;TJP1;PARVA
6761,GO:0030216,3.1875091096568e-14,1,27,149,keratinocyte differentiation,BP,RPTN;SPRR2G;SPRR2A;TRIM16;TCHH;LCE1B;KRT1;KRT8;KRT24;KRT2;KRT18;SPRR3;FLG;LCE3D;LCE3E;KRT78;SPRR2E;SPRR2D;KRT4;HRNR;KRT13;CDSN;KRT23;ANXA1;LCE1C;KRT34;EPHA2
4319,GO:0009888,3.82927258843416e-14,1,86,1219,tissue development,BP,RPTN;MMP9;SPRR2G;SPRR2A;FLG2;TRIM16;TCHH;LCE1B;KRT1;KRT8;OSR2;KRT24;KRT2;KRT18;SPRR3;B4GALT1;EDN1;PSMB9;FLG;LCE3D;LCE3E;SLIT2;CLDN1;COL12A1;KRT78;EPCAM;PGK1;SPRR2E;SPRR2D;JUN;KRT4;HRNR;IL1B;KRT13;JUNB;TJP2;PHLDA2;ATF3;EHF;SEMA7A;CDSN;FBN2;DUSP1;KRT23;ITGAV;COL8A1;ANXA1;G6PD;SLC8A1;LCE1C;VEGFC;RHOB;XBP1;SEMA3D;KLK6;FRAS1;NRP1;EGLN1;KLF10;NRG1;IFRD1;SERPINH1;KRT34;NR2F2;CALR;CTR9;AJUBA;MAFF;CORO1C;DLG1;CITED2;TXNRD1;HAS2;BAMBI;NEDD4;CDK6;PML;OXCT1;EPHA2;SOX11;UGCG;ENPP1;SORBS2;MAGED1;CYP1A1;TJP1
7904,GO:0032501,8.68802930647291e-14,1,195,4160,multicellular organismal process,BP,NFKBIA;RPTN;MMP9;SPRR2G;SPRR2A;IL1A;FLG2;TRIM16;TCHH;LCE1B;KRT1;NEFL;NETO1;KRT8;SERPINB2;CXCL1;TENM3;LGALS1;DSCAM;SAA1;OSR2;KRT24;ASPRV1;KRT2;LCP1;KRT18;SPRR3;NFKB1;NEFM;MAFB;RELB;B4GALT1;FEZ1;EDN1;TP53;DPYSL3;PSMB9;CD274;FLG;LCE3D;FGF5;LCE3E;DBNDD2;SLIT2;CLDN1;CHAC1;COL12A1;KRT78;EPCAM;CDKN2B;PGK1;SPRR2E;GREB1L;SPRR2D;CCBE1;JUN;KRT4;CLDN11;MCAM;RIPK2;NFKB2;SPNS2;PARP1;SDK1;HRNR;HSPA5;IL1B;KRT13;CNTNAP1;ANPEP;JUNB;C1QTNF1;TJP2;IL6ST;PHLDA2;CRYAB;ATF3;DNAJB9;AXL;ACTG1;EHF;GADD45B;NOCT;IKBKE;MGLL;ERAP1;CYLD;SEMA7A;CDSN;FBN2;DUSP1;STAC;ANXA8;TRIB1;KRT23;CD83;ITGAV;LYN;NCEH1;COL8A1;ANXA1;COL4A4;G6PD;NBN;SLC8A1;WWC1;NEDD4L;BIRC3;LCE1C;VEGFC;RHOB;XBP1;MOBP;ARG1;SEMA3D;SUDS3;TRAF3;CSRP1;HMOX1;MMP19;SYT11;KLK6;PAPSS2;FRAS1;RIMS2;NRP1;IL7R;EGLN1;BRD2;SETX;CXCR5;SOD2;KLF10;NRG1;ACO1;IFRD1;SERPINH1;HSP90AB1;KRT34;GGCX;ADAM8;C2ORF49;L1CAM;NR2F2;CALR;CTR9;IGFBP3;AMOTL2;EYA3;SERP1;EIF2B1;MAFF;MAGT1;RRAS2;HMGCS1;ARHGDIB;UBP1;CORO1C;IL23A;MME;DLG1;GDA;EHD1;ZMYM4;CITED2;LOX;TXNRD1;ETS1;HAS2;ADGRL3;SEC24D;BAMBI;TFRC;ZFP42;NLRP10;HTR1B;NEDD4;CDK6;TUBB3;NTNG1;PML;OXCT1;EPHA2;MYH9;HES4;SOX11;ENPP1;SORBS2;TNFAIP2;TPM4;HSPD1;SND1;MAGED1;CYP1A1;PARVA
