,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,foreground_genes
2578,GO:0005886,7.55958100568805e-10,1,173,2818,plasma membrane,CC,IFITM1;ITGB6;TGFBI;APOE;ALDH1A3;IFI6;MVB12B;LAMP3;KCNJ15;PTPRS;PHF7;GPNMB;ADGRB2;EPHB2;HTRA1;PRR9;SLITRK6;CADM4;GPRC5C;ADGRL1;ST3GAL5;FLNC;SLC13A5;NCR3LG1;SHROOM2;COL6A1;EGFR;ADAM19;CYBA;FGFR4;EPB41L3;APCDD1;NLGN2;VIPR1;ANO9;TENM2;PSD4;SFRP1;ARHGEF4;TNFSF10;INSR;VAV3;SLC16A5;CYBRD1;SLC29A4;GAA;SV2A;PKD2;SIRPB2;RGMA;RTN2;DNM1;SDK2;LDLRAP1;RIMS3;ETV5;NT5E;SYT8;SERPINE2;WNT3;LY6E;NSG1;PARVB;BOC;DAB2IP;TMEM231;OBSCN;SHC2;SCN4B;KCNC4;RAB40B;MARVELD1;NRSN2;ANO8;EPHA4;TENM4;OLFM2;F2R;CSMD2;CTSV;LRIG3;TUB;HOMER2;PLCD3;SCART1;ACSL1;EPS8L2;ZBTB42;ERBB3;HGSNAT;S100A6;SLC38A4;CDK14;ATP6V0A2;VAMP3;PPL;PLXND1;GJB5;CSPG4;RDH12;DMTN;GRK6;PIK3R1;SDC3;TMEM204;ACVR1B;SYTL1;XPC;ATP12A;TYRO3;RHOD;CXCR1;SLC2A1;CPT1C;BCAM;ZP3;STOM;VAMP2;PLEKHH2;EFNB3;SPRY2;LRRC8E;TNFRSF19;SLC2A9;TRPV4;GPC4;SYNM;ITGB5;NDRG1;CA11;SDHA;ADORA2B;PLEKHN1;MRC2;RTN4RL1;AMACR;PDLIM4;MC1R;NEO1;CRTC1;GPR68;GPR153;ANKRD13D;ERBB2;C2CD4C;PCDH1;TULP3;ACKR3;PLCD1;SLC5A1;SLC39A6;MARCKSL1;FURIN;IL20RB;PLPP2;GJC2;SLC1A4;SLC13A3;ASIC1;PLXNB1;RASA4;SMURF1;KREMEN1;CAPNS2;TCIRG1;NISCH;AIF1L;SLC47A1;ST6GALNAC6;ABCC1;SORT1;VANGL2;APBA1
15500,GO:0071944,1.68130580918187e-09,1,175,2890,cell periphery,CC,IFITM1;ITGB6;TGFBI;APOE;ALDH1A3;IFI6;MVB12B;LAMP3;KCNJ15;PTPRS;PHF7;GPNMB;ADGRB2;EPHB2;HTRA1;PRR9;SLITRK6;CADM4;GPRC5C;ADGRL1;ST3GAL5;FLNC;SLC13A5;NCR3LG1;SHROOM2;COL6A1;EGFR;ADAM19;CYBA;FGFR4;EPB41L3;APCDD1;NLGN2;VIPR1;ANO9;TENM2;PSD4;SFRP1;ARHGEF4;TNFSF10;INSR;VAV3;SLC16A5;CYBRD1;SLC29A4;GAA;SV2A;PKD2;SIRPB2;RGMA;RTN2;DNM1;SDK2;LDLRAP1;RIMS3;ETV5;NT5E;SYT8;SERPINE2;WNT3;LY6E;NSG1;PARVB;BOC;DAB2IP;TMEM231;OBSCN;SHC2;SCN4B;WIPF1;KCNC4;RAB40B;MARVELD1;NRSN2;ANO8;EPHA4;TENM4;OLFM2;F2R;CSMD2;CTSV;LRIG3;TUB;HOMER2;PLCD3;SCART1;ACSL1;EPS8L2;ZBTB42;ERBB3;HGSNAT;S100A6;SLC38A4;CDK14;ATP6V0A2;VAMP3;PPL;FRY;PLXND1;GJB5;CSPG4;RDH12;DMTN;GRK6;PIK3R1;SDC3;TMEM204;ACVR1B;SYTL1;XPC;ATP12A;TYRO3;RHOD;CXCR1;SLC2A1;CPT1C;BCAM;ZP3;STOM;VAMP2;PLEKHH2;EFNB3;SPRY2;LRRC8E;TNFRSF19;SLC2A9;TRPV4;GPC4;SYNM;ITGB5;NDRG1;CA11;SDHA;ADORA2B;PLEKHN1;MRC2;RTN4RL1;AMACR;PDLIM4;MC1R;NEO1;CRTC1;GPR68;GPR153;ANKRD13D;ERBB2;C2CD4C;PCDH1;TULP3;ACKR3;PLCD1;SLC5A1;SLC39A6;MARCKSL1;FURIN;IL20RB;PLPP2;GJC2;SLC1A4;SLC13A3;ASIC1;PLXNB1;RASA4;SMURF1;KREMEN1;CAPNS2;TCIRG1;NISCH;AIF1L;SLC47A1;ST6GALNAC6;ABCC1;SORT1;VANGL2;APBA1
7239,GO:0031226,5.49197389172238e-09,1,66,772,intrinsic component of plasma membrane,CC,ITGB6;KCNJ15;PTPRS;GPNMB;EPHB2;SLITRK6;CADM4;GPRC5C;ST3GAL5;SLC13A5;EGFR;CYBA;FGFR4;APCDD1;NLGN2;VIPR1;TENM2;TNFSF10;INSR;SLC16A5;PKD2;LY6E;BOC;DAB2IP;SCN4B;KCNC4;EPHA4;TENM4;OLFM2;F2R;ERBB3;SLC38A4;PLXND1;CSPG4;ACVR1B;ATP12A;TYRO3;SLC2A1;CPT1C;BCAM;STOM;VAMP2;EFNB3;LRRC8E;SLC2A9;TRPV4;GPC4;ITGB5;ADORA2B;MRC2;RTN4RL1;MC1R;NEO1;GPR68;ERBB2;PCDH1;SLC5A1;SLC39A6;PLPP2;SLC1A4;SLC13A3;ASIC1;PLXNB1;RASA4;TCIRG1;ABCC1
2579,GO:0005887,1.08679103313098e-08,1,63,734,integral component of plasma membrane,CC,ITGB6;KCNJ15;PTPRS;GPNMB;EPHB2;SLITRK6;CADM4;GPRC5C;ST3GAL5;SLC13A5;EGFR;CYBA;FGFR4;APCDD1;NLGN2;VIPR1;TENM2;TNFSF10;INSR;SLC16A5;PKD2;LY6E;BOC;SCN4B;KCNC4;EPHA4;TENM4;OLFM2;F2R;ERBB3;SLC38A4;PLXND1;CSPG4;ACVR1B;ATP12A;TYRO3;SLC2A1;CPT1C;BCAM;STOM;VAMP2;EFNB3;LRRC8E;SLC2A9;TRPV4;GPC4;ITGB5;ADORA2B;MRC2;MC1R;NEO1;GPR68;ERBB2;PCDH1;SLC5A1;SLC39A6;PLPP2;SLC1A4;SLC13A3;ASIC1;PLXNB1;TCIRG1;ABCC1
4268,GO:0009653,1.03657387109345e-07,1,111,1693,anatomical structure morphogenesis,BP,TNFAIP3;POSTN;TGFBI;APOE;ALDH1A3;ULK2;PTPRS;OBSL1;GPNMB;NDN;ADGRB2;EPHB2;NINJ1;HTRA1;PRICKLE2;SLITRK6;GAMT;SHROOM2;COL6A1;EGFR;THRA;GLI2;FGFR4;EPB41L3;BCL6;TENM2;BRSK1;SFRP1;FHOD3;UNK;INSR;VAV3;GAA;MATN2;PKD2;ZFPM1;SDK2;ETV5;SERPINE2;VEGFB;WWTR1;FOXO1;WNT3;PARVB;RASIP1;BOC;DAB2IP;COL7A1;TMEM231;OBSCN;TBX1;KLK5;WIPF1;TET1;FAM20C;EPHA4;WNT9A;TENM4;F2R;KIF26B;CTSV;LRIG3;RPS6KA5;ARHGEF19;HEXB;PLCD3;ACTA2;S100A6;VAMP3;FRY;PLXND1;GJB5;CSPG4;DMTN;PIK3R1;NAB2;NFATC4;TYRO3;RHOD;HYAL1;RTF1;ZP3;MBOAT7;EFNB3;SPRY2;TRPV4;GPC4;ITGB5;KLK8;FBXW4;NAGLU;IMPACT;NEO1;ERBB2;LAMB2;STAT1;TULP3;ACKR3;PLCD1;ZMYM3;ARPIN;PLXNB1;SMURF1;DOK4;CAMK1;MAP3K3;MDFI;ZSWIM8;SP100;NRK;VANGL2
10879,GO:0044459,1.32330236140032e-07,1,98,1444,plasma membrane part,CC,ITGB6;KCNJ15;PTPRS;GPNMB;EPHB2;SLITRK6;CADM4;GPRC5C;ADGRL1;ST3GAL5;SLC13A5;SHROOM2;EGFR;CYBA;FGFR4;EPB41L3;APCDD1;NLGN2;VIPR1;TENM2;PSD4;ARHGEF4;TNFSF10;INSR;SLC16A5;CYBRD1;SLC29A4;PKD2;RTN2;DNM1;LDLRAP1;RIMS3;SERPINE2;LY6E;NSG1;BOC;DAB2IP;TMEM231;SCN4B;KCNC4;EPHA4;TENM4;OLFM2;F2R;CTSV;HOMER2;PLCD3;SCART1;EPS8L2;ERBB3;S100A6;SLC38A4;VAMP3;PLXND1;GJB5;CSPG4;RDH12;DMTN;ACVR1B;SYTL1;ATP12A;TYRO3;SLC2A1;CPT1C;BCAM;STOM;VAMP2;EFNB3;SPRY2;LRRC8E;SLC2A9;TRPV4;GPC4;ITGB5;CA11;SDHA;ADORA2B;MRC2;RTN4RL1;PDLIM4;MC1R;NEO1;GPR68;ERBB2;PCDH1;SLC5A1;SLC39A6;PLPP2;GJC2;SLC1A4;SLC13A3;ASIC1;PLXNB1;RASA4;TCIRG1;AIF1L;ABCC1;VANGL2
10348,GO:0043202,7.46049195387514e-07,0.999999885112659,14,71,lysosomal lumen,CC,GAA;CTSB;NSG1;SGSH;CTSV;HEXB;CSPG4;SDC3;CTSL;HYAL1;GPC4;NAGLU;CTSF;IDUA
3446,GO:0007275,8.31412130091012e-07,1,181,3292,multicellular organism development,BP,TNFAIP3;POSTN;TGFBI;TAGLN;APOE;ALDH1A3;ULK2;PTPRS;OBSL1;GPNMB;NDN;S100A4;ADGRB2;EPHB2;NINJ1;ASH2L;HTRA1;PRICKLE2;PRR9;SLITRK6;GAMT;TXNRD3;ADGRL1;SRSF5;SHROOM2;COL6A1;EGFR;ADAM19;THRA;OAS2;GLI2;FGFR4;EPB41L3;APCDD1;NLGN2;RAPGEF5;BCL6;TENM2;BRSK1;SFRP1;FHOD3;UNK;POU3F1;TNFSF10;MN1;DHTKD1;INSR;VAV3;GAA;MATN2;PKD2;ZFPM1;RGMA;SDK2;CXCL14;CTSB;ETV5;SERPINE2;SALL2;VEGFB;WWTR1;FOXO1;WNT3;RASIP1;BOC;SOX12;DAB2IP;COL7A1;TMEM231;OBSCN;TBX1;KLK5;TRERF1;GAS8;MNT;TET1;MARVELD1;FAM20C;FAM213A;EPHA4;WNT9A;DIXDC1;TENM4;SMARCA1;KIF26B;TCFL5;CTSV;LRIG3;RPS6KA5;TUB;ARHGEF19;HEXB;LTBP1;PLCD3;ZBTB42;ACTA2;ERBB3;KIF26A;S100A6;SPOCK1;PPL;FRY;PLXND1;GJB5;SREBF1;CSPG4;DMTN;ENDOG;PIK3R1;PTHLH;TMEM204;CTSL;NCK2;ACVR1B;KCTD11;UNC119B;NAB2;NFATC4;FAM210B;TYRO3;SLC2A1;HYAL1;RTF1;ZP3;MBOAT7;EFNB3;SPRY2;TNFRSF19;MDK;TRPV4;GPC4;ITGB5;NDRG1;SDHA;KLK8;LTBP4;FBXW4;NAGLU;MYL9;RTN4RL1;MARK4;BTBD2;MC1R;IMPACT;NEO1;CRTC1;IGFBP4;GPR68;MICALL1;ERBB2;HSD11B1;LAMB2;PCDH1;STAT1;TULP3;CDK20;ACKR3;PLCD1;BLOC1S4;ZMYM3;FURIN;IFI16;SUN1;GJC2;DBP;PLXNB1;ALOXE3;SMURF1;KREMEN1;DOK4;CAMK1;VPS33B;MAP3K3;MDFI;SCMH1;ZSWIM8;SP100;NRK;SORT1;VANGL2;APBA1
6034,GO:0019199,8.40925482160033e-07,0.999999894687216,12,50,transmembrane receptor protein kinase activity,MF,EPHB2;EGFR;FGFR4;INSR;EPHA4;LTBP1;ERBB3;ACVR1B;TYRO3;EFNB3;LTBP4;ERBB2
9634,GO:0038023,1.21756557760921e-06,0.999999557230701,37,384,signaling receptor activity,MF,ADGRB2;EPHB2;ADGRF4;GPRC5C;ADGRL1;EGFR;THRA;FGFR4;VIPR1;SFRP1;INSR;RGMA;EPHA4;F2R;LTBP1;ERBB3;PLXND1;ACVR1B;TYRO3;CXCR1;BCAM;EFNB3;TNFRSF19;TRPV4;GPC4;LTBP4;ADORA2B;MRC2;MC1R;GPR68;GPR153;ERBB2;ACKR3;CRY2;IL20RB;PLXNB1;SORT1
