"","logFC","logCPM","F","PValue","FDR"
"TNFAIP3",2.31212051601068,9.34892528558651,2018.26491621613,1.28375781043634e-16,1.77055877215379e-12
"IL32",-1.98266795894025,1.66902670503041,481.000365146549,2.71695467124383e-12,1.87361194128974e-08
"POSTN",0.756551382903518,4.23867460038301,235.480381316675,3.43356359131018e-10,1.578523635045e-06
"CDKN2A",-0.790013755371535,1.88584737466308,209.927385565196,7.37183707504378e-10,2.5418094234751e-06
"NFKBIA",-0.47502855645956,6.59796292992237,189.638610570757,1.44326379261542e-09,3.98109884555037e-06
"RPTN",-2.44568628341984,2.12258021432477,173.363845649004,2.60215270777327e-09,5.98148169093482e-06
"IFITM1",0.262176795291648,6.86227573074968,147.980323089043,7.29437306804911e-09,1.33089635917084e-05
"MMP9",-1.38673074406593,4.09796715183007,146.689207552877,7.71981646850838e-09,1.33089635917084e-05
"SPRR2G",-1.93058910004754,3.0187035292347,119.842428500182,2.82045609971456e-08,4.32219228080702e-05
"SPRR2A",-1.46632226619098,4.54663584539833,116.058628536768,3.45666643495886e-08,4.76743434709526e-05
"ITGB6",0.263049678874111,6.2063853547184,105.400626700829,6.34083113320498e-08,7.95024936265119e-05
"PEG3",0.505398126813124,2.31421615792591,98.4100633406816,9.7315122688847e-08,0.000111847514343715
"TGFBI",0.661387083392216,7.61053196618907,94.7653833007454,1.22986541037633e-07,0.000127304525036267
"IL1A",-0.398519949260319,7.42540150308477,94.0105627369011,1.2922443086628e-07,0.000127304525036267
"SMOC2",0.741031422875347,1.09350904826508,89.4579260585842,1.75487591806604e-07,0.000161354991079779
"TAGLN",0.650512755848679,4.56585127304892,88.0502424463325,1.93436163419863e-07,0.000166741972867922
"FLG2",-1.42254556141032,3.92275481047124,87.1697674291649,2.05726641468603e-07,0.000166904814066763
"TRIM16",-0.400444780853655,5.74417015780153,85.9046479070295,2.24980751260797e-07,0.000172385251188273
"HES2",0.225256005768056,6.16822407466042,84.0722418989556,2.5663364820694e-07,0.000182949214262011
"APOE",0.697766190930352,4.06481246730496,83.6154376043619,2.65297584486675e-07,0.000182949214262011
"ALDH1A3",0.234768991572974,6.28861366172023,81.7391235222091,3.04569335911756e-07,0.000200029537185473
"TCHH",-1.06227519216144,0.518529104268188,80.4767337783909,3.34730223793637e-07,0.000205629915750015
"LCE1B",-1.67188504947741,0.8406260624655,80.1564681624403,3.42915317738569e-07,0.000205629915750015
"IFI6",0.181903178294236,8.50483430609714,77.345738965506,4.25447650738747e-07,0.000228761388325272
"KRT1",-1.01499914127066,6.32479703385928,77.2064888397217,4.30092353772684e-07,0.000228761388325272
"NEFL",-0.364753026841542,4.34934399094619,77.1720578268405,4.31249716970495e-07,0.000228761388325272
"NETO1",-0.534043868838771,3.67760169086191,74.7980622467329,5.20348509051995e-07,0.00026580172729056
"KRT8",-0.287029256983981,8.89771819030879,71.1348633018162,7.02407684639634e-07,0.000337309260318035
"SERPINB2",-0.46161126160422,8.11320425302458,71.019093610905,7.0924945977545e-07,0.000337309260318035
"CXCL1",-0.8803534397075,5.24133092893133,68.3150662910569,8.92922786281277e-07,0.000387400712667228
"TENM3",-0.238441996642178,5.25339834554577,68.3142278565147,8.92987605140585e-07,0.000387400712667228
"LGALS1",-0.286619947154345,6.98782003811975,68.238792005511,8.98841560712825e-07,0.000387400712667228
"DSCAM",-0.385453734163359,4.24051069190516,67.6017719442927,9.50062210115889e-07,0.000397068424300556
"SAA1",-1.05006618207891,2.92464198615403,67.1907249170256,9.84881967293627e-07,0.000399514473320991
"OSR2",-0.656913267392503,2.33961615217203,63.7273773527991,1.34392102906519e-06,0.000529581680939059
"MVB12B",0.320893659502378,3.32758463020319,62.9127671632155,1.44880763411849e-06,0.000555054302493395
"LAMP3",0.298137805982055,3.81037473410553,61.8471073824378,1.60044071165858e-06,0.000596575089059327
"KRT24",-0.937985570151993,2.23089147789912,60.7565744245638,1.77468195028958e-06,0.000644116143641943
"KCNJ15",0.200530286783686,5.05534109435163,59.1944531953499,2.06339205476253e-06,0.000729700082545766
"ASPRV1",-0.994826005004286,3.06241265211452,58.4801345789638,2.21304305905691e-06,0.000763057246762824
"KRT2",-1.42586116905656,1.46835558377895,57.3477408517969,2.47642319438226e-06,0.000815248804571775
"ULK2",0.2318643511058,4.66368297576386,57.3227329047215,2.48263122041869e-06,0.000815248804571775
"LCP1",-0.394754100298723,4.67011040707438,56.9899865243615,2.56694805521151e-06,0.000823333664592492
"TNIP1",-0.247493629956278,9.29698130918271,56.0918702606631,2.81135034665756e-06,0.000881230545025024
"LGALS7B",0.534030382726536,6.19406913076005,55.6281588302138,2.94788333618567e-06,0.000890866312110648
"PTPRS",0.402131694978304,4.44440478455161,55.3848116451452,3.02255507608024e-06,0.000890866312110648
"NOL4L",0.521550140804587,2.38854790775481,55.2283976902709,3.07169160408758e-06,0.000890866312110648
"DUSP8",-0.460329162814768,3.0828382899678,55.1381327370053,3.10046280316931e-06,0.000890866312110648
"KRT18",-0.299393000984005,8.6319316702738,53.9802169299249,3.49822898425617e-06,0.000984644370425737
"SPRR3",-1.63300403732053,3.65275910944861,53.2812165871164,3.76647770646018e-06,0.00103894521054998
"PHF7",0.377709918938308,2.07058745499575,52.9878986863682,3.88598551822045e-06,0.00105089239739797
"FBXO41",0.209218567561215,4.4044873627231,52.754104460494,3.98434929684093e-06,0.0010567720288852
"OBSL1",0.316660539090217,5.00424319184105,52.560584585933,4.06792390280745e-06,0.00105858125410416
"NFKB1",-0.1492988708824,6.19495664944708,52.1249274214956,4.26350363672268e-06,0.00108893041032739
"LMF1",0.569942893651995,2.11194837317799,51.8360607253534,4.39910722308064e-06,0.00109099280688249
"CPT2",0.229032845366316,3.99821304451407,51.7721199420999,4.42978517875719e-06,0.00109099280688249
"NEFM",-0.660501901649392,3.18515644196558,51.0892731770452,4.77311541270367e-06,0.00115492645214051
"MAFB",-1.41514697814851,3.88979394527037,50.2665303747064,5.22789058948043e-06,0.00121481405268432
"ZNF704",0.282944702779778,3.19832803428596,50.1861595660323,5.27491077535154e-06,0.00121481405268432
"FLJ42627",-0.519058975711638,4.30291567124823,50.1692517841243,5.28486391829025e-06,0.00121481405268432
"GPNMB",0.635077499460699,4.38038059198516,49.6755313137833,5.58518669173864e-06,0.00126280155495835
"RELB",-0.658120198743827,3.78556021411383,49.0738551282828,5.97789210244985e-06,0.00132979173995142
"NDN",0.273900605928756,3.73226337983687,48.8785417505275,6.11208450413244e-06,0.00133806142033325
"B4GALT1",-0.210717931675949,7.30528393436167,47.7043044885563,6.99528162290778e-06,0.00150748318973663
"FEZ1",-0.171379327095793,6.48919601134281,47.4818757404622,7.17854772173705e-06,0.00152317738735688
