"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNIP1orf_unt_24h1","fpool2_TNIP1orf_unt_24h2","fpool2_TNIP1orf_unt_24h3","fpool_TNIP1orf_unt_24h1","fpool_TNIP1orf_unt_24h2","fpool_TNIP1orf_unt_24h3"
"A1BG-AS1",1.42685357591166,1.86194978322559,1.6863371717939,0.662204242598981,0.990030012465329,0.734490719278434,1.73193506064603,1.32075793324054,1.50463104229642,0.449741321282117,0.787745386862256,0.583978744591919
"A2ML1",63.5861740182587,59.0623890697054,51.6780746194904,107.403892368767,98.9361073267717,101.662156615421,34.1891913498521,36.9131418248979,32.8988771549733,130.016127425194,120.45502237776,126.288798743262
"A4GALT",13.1206159649621,13.654298410321,13.4362994010675,13.9203785465488,13.5125717917565,13.5376720808182,13.2737618388444,11.9140535214997,12.1684050166671,12.4428432221386,12.3763553002581,10.9597871368762
"AAAS",29.9102839822685,31.737017926692,33.2008963608025,33.1806593898,31.5605513433204,33.5273410682391,32.2060596010208,33.9993047350683,32.6122807659644,32.2723469332137,31.4572991153661,33.7892817801092
"AACS",56.8703068113361,58.0056067603071,58.6228825420395,48.7635932688313,46.5180318019182,48.6924141545174,56.1358493702521,55.771386541786,56.4475471185331,47.2773528341717,45.9518142336316,46.7862040725386
"AADACL2-AS1",1.34102779690945,1.59356062528316,1.43247996313675,0.831277666241274,0.842863388990753,0.662481825231529,1.15021641432217,1.32075793324054,1.361332847792,1.02213936655027,0.752734480779489,1.11363388503575
"AADAT",7.40247343894019,7.07876404073152,6.83601197598172,6.84747365751286,6.8499373835439,7.04246983778734,6.65010179774772,6.42678087102612,7.33209095214286,6.41903522193567,6.68708306180848,6.87193592473282
"AAED1",8.55039323309468,8.8232935673573,8.93940027628378,6.05846434718216,6.51546778473804,6.840844934456,8.39525773671929,7.31182484690895,8.12023102191718,6.14646472418894,6.70458851484987,6.76328871643664
"AAGAB",39.5227712305154,40.6441831059064,40.9616738826066,48.66496710504,47.8291526292372,45.3079961343128,39.9006107864863,37.9615785347899,38.6188634189414,44.5243908069296,46.2844178414179,45.3873712657254
"AAK1",97.6053671702577,95.1607308129619,94.1991570695624,85.9174781142252,86.4804594672417,84.9560931965389,93.7228064497686,92.4802874491725,92.1407390663426,85.2600516951796,83.5710328195647,85.2608967104202
"AAMDC",2.02763402892709,2.26453352013923,2.52043942881024,2.35293847902191,2.56872651882896,2.46270417640416,2.22110755869109,2.27388221496051,2.16141443377501,2.57579120370667,2.25820344233847,1.79267893688682
"AAMP",68.9502852058965,70.2676364138018,74.3438968210213,78.6332314456364,76.325962447496,79.4546136913553,71.5778352544854,71.0622232328079,72.66412612995,78.5003033510605,75.4485026083627,73.5405791154707
"AAR2",23.5806327808558,23.802763445019,22.5388935972023,23.6139215020402,22.0482359532819,23.1004532102472,21.0476382942632,19.2531104907435,22.1156880185156,22.2417526161338,22.1093871912673,21.6479562530121
"AARS",168.400906624702,179.61944395297,174.055381849996,149.531353759638,150.203607431733,147.229384768303,198.23384961318,211.539126297165,185.642810980477,146.424871389548,148.866372663925,146.211980564572
"AARS2",35.7249805096679,37.9602915264821,40.2363675721576,36.0689970436892,34.6644292202387,37.6606515865315,36.820146136635,37.743721556111,36.2783262420359,37.4648149152891,37.5141858676848,40.2266288716573
"AARSD1",15.7812151140305,15.868508963346,15.8479428833104,18.4008242730695,17.6332372490446,19.010348028383,15.7857287206974,15.0457475900082,14.9627198095033,16.9675134847344,18.4507475056182,17.166258910795
