"","logFC","logCPM","F","PValue","FDR"
"TNIP1",3.20618196739046,9.29698130918271,558.20271814121,7.9763908393664e-13,1.1027360335424e-08
"HEPHL1",-0.939981853568121,5.92106510938163,386.172656062656,1.02071909175882e-11,7.05572072178286e-08
"HTRA1",0.346951268448222,7.09527292584826,287.72618416703,7.64899063850131e-11,3.52490985257602e-07
"MAFB",-1.12435415988764,3.88979394527037,217.705096468287,5.03591470139673e-10,1.74053801867024e-06
"SAA1",-1.35131172606857,2.92464198615403,194.795427228204,1.05916239010362e-09,2.42398349334307e-06
"FOS",0.53646634651219,4.87899385469557,194.598564358899,1.06632252088999e-09,2.42398349334307e-06
"DUSP6",0.253629367361783,6.97666099506272,190.531774054945,1.22733341435092e-09,2.42398349334307e-06
"CRYAB",-0.930867787362391,3.46606420842125,170.472176042289,2.56592939035931e-09,4.43424672771469e-06
"H6PD",0.631279322375947,5.0453106766257,164.9543848675,3.18782198078075e-09,4.71470902981859e-06
"CCDC80",-0.396881792491736,4.86689482150169,161.73037345724,3.63014317198651e-09,4.71470902981859e-06
"KRT13",-0.89061372215537,5.08720967989917,160.551207568807,3.80910297152126e-09,4.71470902981859e-06
"ADAMTS1",-0.619556536894955,8.1099214252021,157.938760546079,4.24261973587912e-09,4.71470902981859e-06
"IL32",-1.72704639695168,1.66902670503041,156.884199204109,4.43336111303014e-09,4.71470902981859e-06
"LMF1",0.639960987171643,2.11194837317799,133.976681043382,1.24083816702155e-08,1.22532768993378e-05
"CEMIP",0.524025591053599,3.10440116463766,127.0272933169,1.75053010685491e-08,1.55079546035655e-05
"NUAK1",-0.218231510680134,6.56322865120978,126.536215147454,1.79477232301663e-08,1.55079546035655e-05
"ADGRL1",0.293785557501844,5.36518872400698,120.553733203724,2.45025161243354e-08,1.99263109069963e-05
"GBP1",-0.33856986853456,4.14513146664406,112.98101684204,3.70935794145409e-08,2.70376752337807e-05
"APOE",0.587177757606821,4.06481246730496,112.766526343799,3.75453065604004e-08,2.70376752337807e-05
"FLJ42627",-0.393608783848096,4.30291567124823,112.043831393211,3.91141775533898e-08,2.70376752337807e-05
"TYSND1",0.474132800532411,4.42930290115752,108.416247552063,4.82118019533531e-08,3.17394362859574e-05
"IGFBP3",-1.84772473888036,2.69742001581868,105.481444910431,5.73632497703738e-08,3.50886754087069e-05
"MARVELD1",0.292789791085674,6.18675372564588,105.190055046378,5.83753731935088e-08,3.50886754087069e-05
"EFNB2",-0.209846338858271,6.8197138103189,101.013316804903,7.53724573959698e-08,4.16873229691638e-05
"ESPN",0.631215804424263,2.19145973428085,101.01086992416,7.53839475030086e-08,4.16873229691638e-05
"CTNNBIP1",0.261070799245962,5.80989725197291,98.3377261482341,8.92199891272472e-08,4.64912286414421e-05
"MARCKSL1",0.345966048112966,4.00116362192253,98.0634670933366,9.07966128982956e-08,4.64912286414421e-05
"RELB",-0.429375229429171,3.78556021411383,96.9293140030214,9.76629045303982e-08,4.82210591118841e-05
"VGLL3",-0.482250047306113,4.79181322766477,93.2487299067149,1.24385033961546e-07,5.87447882238533e-05
"SPARC",-0.273802220888002,7.38198179789238,92.8822411695933,1.27475128153027e-07,5.87447882238533e-05
"TSPAN1",0.274829654942929,5.34900217047679,90.8331573679491,1.46453332145966e-07,6.36479873634965e-05
"PPL",0.370649798423225,7.82905309566829,89.9308129257756,1.55818657780914e-07,6.36479873634965e-05
"IDH2",0.301356454013459,4.90760884582106,89.9096333311645,1.56046542526932e-07,6.36479873634965e-05
"SPRR3",-1.04633407810924,3.65275910944861,89.5353503467662,1.60137082850965e-07,6.36479873634965e-05
"GPRC5A",-0.349660298181304,4.40057120553773,89.4457713169225,1.61134145224042e-07,6.36479873634965e-05
