"","group_a","group_b","down_b","up_b"
"1",1,2,NA,NA
"2",1,3,NA,NA
"3",1,4,NA,NA
"4",1,5,NA,NA
"5",1,6,1636,1453
"6",1,7,NA,NA
"7",1,8,NA,NA
"8",1,9,NA,NA
"9",1,10,1931,1650
"10",1,11,NA,NA
"11",1,12,NA,NA
"12",1,13,NA,NA
"13",1,14,NA,NA
"14",1,15,NA,NA
"15",1,16,NA,NA
"16",2,3,NA,NA
"17",2,4,305,605
"18",2,5,NA,NA
"19",2,6,NA,NA
"20",2,7,NA,NA
"21",2,8,NA,NA
"22",2,9,NA,NA
"23",2,10,NA,NA
"24",2,11,NA,NA
"25",2,12,NA,NA
"26",2,13,NA,NA
"27",2,14,120,414
"28",2,15,NA,NA
"29",2,16,NA,NA
"30",3,4,NA,NA
"31",3,5,2449,2680
"32",3,6,NA,NA
"33",3,7,390,536
"34",3,8,NA,NA
"35",3,9,NA,NA
"36",3,10,NA,NA
"37",3,11,1379,1272
"38",3,12,NA,NA
"39",3,13,NA,NA
"40",3,14,NA,NA
"41",3,15,NA,NA
"42",3,16,NA,NA
"43",4,5,NA,NA
"44",4,6,NA,NA
"45",4,7,NA,NA
"46",4,8,3118,3155
"47",4,9,NA,NA
"48",4,10,NA,NA
"49",4,11,NA,NA
"50",4,12,1038,1318
"51",4,13,NA,NA
"52",4,14,NA,NA
"53",4,15,NA,NA
"54",4,16,NA,NA
"55",5,6,NA,NA
"56",5,7,NA,NA
"57",5,8,NA,NA
"58",5,9,1824,1769
"59",5,10,NA,NA
"60",5,11,NA,NA
"61",5,12,NA,NA
"62",5,13,1472,1390
"63",5,14,NA,NA
"64",5,15,NA,NA
"65",5,16,NA,NA
"66",6,7,NA,NA
"67",6,8,NA,NA
"68",6,9,NA,NA
"69",6,10,NA,NA
"70",6,11,NA,NA
"71",6,12,NA,NA
"72",6,13,NA,NA
"73",6,14,NA,NA
"74",6,15,NA,NA
"75",6,16,NA,NA
"76",7,8,NA,NA
"77",7,9,NA,NA
"78",7,10,NA,NA
"79",7,11,NA,NA
"80",7,12,NA,NA
"81",7,13,NA,NA
"82",7,14,NA,NA
"83",7,15,NA,NA
"84",7,16,NA,NA
"85",8,9,NA,NA
"86",8,10,NA,NA
"87",8,11,NA,NA
"88",8,12,NA,NA
"89",8,13,NA,NA
"90",8,14,NA,NA
"91",8,15,NA,NA
"92",8,16,NA,NA
"93",9,10,NA,NA
"94",9,11,NA,NA
"95",9,12,NA,NA
"96",9,13,NA,NA
"97",9,14,NA,NA
"98",9,15,NA,NA
"99",9,16,NA,NA
"100",10,11,NA,NA
"101",10,12,NA,NA
"102",10,13,NA,NA
"103",10,14,NA,NA
"104",10,15,NA,NA
"105",10,16,NA,NA
"106",11,12,NA,NA
"107",11,13,NA,NA
"108",11,14,NA,NA
"109",11,15,NA,NA
"110",11,16,NA,NA
"111",12,13,NA,NA
"112",12,14,NA,NA
"113",12,15,NA,NA
"114",12,16,NA,NA
"115",13,14,NA,NA
"116",13,15,NA,NA
"117",13,16,NA,NA
"118",14,15,2487,2524
"119",14,16,1060,1076
"120",15,16,NA,NA
"121",2,1,NA,NA
"122",3,1,1409,1729
"123",4,1,NA,NA
"124",5,1,NA,NA
"125",6,1,NA,NA
"126",7,1,NA,NA
"127",8,1,NA,NA
"128",9,1,NA,NA
"129",10,1,NA,NA
"130",11,1,NA,NA
"131",12,1,NA,NA
"132",13,1,NA,NA
"133",14,1,NA,NA
"134",15,1,NA,NA
"135",16,1,NA,NA
"136",3,2,NA,NA
"137",4,2,NA,NA
"138",5,2,NA,NA
"139",6,2,NA,NA
"140",7,2,NA,NA
"141",8,2,NA,NA
"142",9,2,NA,NA
"143",10,2,NA,NA
"144",11,2,NA,NA
"145",12,2,NA,NA
"146",13,2,NA,NA
"147",14,2,NA,NA
"148",15,2,NA,NA
"149",16,2,NA,NA
"150",4,3,NA,NA
"151",5,3,NA,NA
"152",6,3,NA,NA
"153",7,3,NA,NA
"154",8,3,NA,NA
"155",9,3,NA,NA
"156",10,3,NA,NA
"157",11,3,NA,NA
"158",12,3,NA,NA
"159",13,3,NA,NA
"160",14,3,NA,NA
"161",15,3,NA,NA
"162",16,3,NA,NA
"163",5,4,NA,NA
"164",6,4,NA,NA
"165",7,4,NA,NA
"166",8,4,NA,NA
"167",9,4,NA,NA
"168",10,4,NA,NA
"169",11,4,NA,NA
"170",12,4,NA,NA
"171",13,4,NA,NA
"172",14,4,NA,NA
"173",15,4,NA,NA
"174",16,4,NA,NA
"175",6,5,NA,NA
"176",7,5,NA,NA
"177",8,5,NA,NA
"178",9,5,NA,NA
"179",10,5,NA,NA
"180",11,5,NA,NA
"181",12,5,NA,NA
"182",13,5,NA,NA
"183",14,5,NA,NA
"184",15,5,NA,NA
"185",16,5,NA,NA
"186",7,6,NA,NA
"187",8,6,NA,NA
"188",9,6,NA,NA
"189",10,6,NA,NA
"190",11,6,NA,NA
"191",12,6,NA,NA
"192",13,6,NA,NA
"193",14,6,NA,NA
"194",15,6,NA,NA
"195",16,6,NA,NA
"196",8,7,NA,NA
"197",9,7,NA,NA
"198",10,7,NA,NA
"199",11,7,NA,NA
"200",12,7,NA,NA
"201",13,7,NA,NA
"202",14,7,NA,NA
"203",15,7,NA,NA
"204",16,7,NA,NA
"205",9,8,NA,NA
"206",10,8,NA,NA
"207",11,8,NA,NA
"208",12,8,NA,NA
"209",13,8,NA,NA
"210",14,8,NA,NA
"211",15,8,NA,NA
"212",16,8,NA,NA
"213",10,9,NA,NA
"214",11,9,NA,NA
"215",12,9,NA,NA
"216",13,9,NA,NA
"217",14,9,NA,NA
"218",15,9,NA,NA
"219",16,9,NA,NA
"220",11,10,NA,NA
"221",12,10,NA,NA
"222",13,10,NA,NA
"223",14,10,NA,NA
"224",15,10,NA,NA
"225",16,10,NA,NA
"226",12,11,NA,NA
"227",13,11,NA,NA
"228",14,11,NA,NA
"229",15,11,NA,NA
"230",16,11,NA,NA
"231",13,12,NA,NA
"232",14,12,NA,NA
"233",15,12,NA,NA
"234",16,12,NA,NA
"235",14,13,NA,NA
"236",15,13,NA,NA
"237",16,13,NA,NA
"238",15,14,NA,NA
"239",16,14,NA,NA
"240",16,15,NA,NA
