file	orf vector	treatment	time	cell	name	group	colors
08d68a51-d83e-4067-b7cf-b66be0beaaeb	egfp	TNF	1	f83_87_981	fpool_eGFPorf_TNF_1h1	1	#D95F02
860a44c8-3cb8-4080-ad0d-72f8a4e28cca	egfp	TNF	1	f83_87_982	fpool_eGFPorf_TNF_1h2	1	#D95F02
2b276d88-cb43-48ae-8452-864f20f209df	egfp	TNF	1	f83_87_983	fpool_eGFPorf_TNF_1h3	1	#D95F02
57618532-3c16-48fa-8b84-ec184bec9d28	tnfaip3	TNF	1	f83_87_981	fpool_TNFAIP3orf_TNF_1h1	2	#66A61E
3fd521fd-723e-406a-a17c-6aab4534160d	tnfaip3	TNF	1	f83_87_982	fpool_TNFAIP3orf_TNF_1h2	2	#66A61E
d3cf29f4-72c5-4d7c-bb79-45a755817297	tnfaip3	TNF	1	f83_87_983	fpool_TNFAIP3orf_TNF_1h3	2	#66A61E
9ebca7e5-8ada-4c2a-9ce3-8cda8619072d	tnip1	TNF	1	f83_87_981	fpool_TNIP1orf_TNF_1h1	3	#666666
58f33fbb-cf8d-4da8-8bb3-f6292b5fbdf3	tnip1	TNF	1	f83_87_982	fpool_TNIP1orf_TNF_1h2	3	#666666
e52e614a-2e10-46df-9268-306aeb444a1a	tnip1	TNF	1	f83_87_983	fpool_TNIP1orf_TNF_1h3	3	#666666
c22e816d-1377-46c3-a077-6fc3291384af	egfp	IL17	24	f83_87_981	fpool_eGFPorf_IL17_24h1	4	#FDCDAC
76f3b33a-19c2-4985-bf25-e99fa2c760ea	egfp	IL17	24	f83_87_982	fpool_eGFPorf_IL17_24h2	4	#FDCDAC
d572a923-41ba-48c8-886b-4e62e3b72606	egfp	IL17	24	f83_87_983	fpool_eGFPorf_IL17_24h3	4	#FDCDAC
f6476310-137e-4137-a9ae-2b54b22a1c05	egfp	none	24	f83_87_981	fpool_eGFPorf_unt_24h1	5	#F4CAE4
6348ff18-a448-4d1e-a55c-ded589eacb7f	egfp	none	24	f83_87_982	fpool_eGFPorf_unt_24h2	5	#F4CAE4
f693f4c4-32aa-4c7e-9055-597853cda007	egfp	none	24	f83_87_983	fpool_eGFPorf_unt_24h3	5	#F4CAE4
3aaa74a4-3faf-4e99-b06d-600e2da6e5c5	tnfaip3	IL17	24	f83_87_981	fpool_TNFAIP3orf_IL17_24h1	6	#E6F5C9
d54b0718-c6cf-4594-853b-d2ccff8769ef	tnfaip3	IL17	24	f83_87_982	fpool_TNFAIP3orf_IL17_24h2	6	#E6F5C9
adf306c8-f1d5-45ab-abaa-d61a35933d9d	tnfaip3	IL17	24	f83_87_983	fpool_TNFAIP3orf_IL17_24h3	6	#E6F5C9
10b74b75-4509-4125-a776-38b339637e55	tnfaip3	none	24	f83_87_981	fpool_TNFAIP3orf_unt_24h1	7	#F1E2CC
87b2dc53-7b0c-47b4-82b8-89115ae22f9f	tnfaip3	none	24	f83_87_982	fpool_TNFAIP3orf_unt_24h2	7	#F1E2CC
327f0171-6761-45a0-a41d-675ca672debe	tnfaip3	none	24	f83_87_983	fpool_TNFAIP3orf_unt_24h3	7	#F1E2CC
dac13dfd-47a2-4f54-b210-20108d489dab	tnip1	IL17	24	f83_87_981	fpool_TNIP1orf_IL17_24h1	8	#CCCCCC
93468f06-3a40-44e7-82e1-8e9b96aee2bb	tnip1	IL17	24	f83_87_982	fpool_TNIP1orf_IL17_24h2	8	#CCCCCC
512b141f-6e0a-4d1a-bb99-a89edef348c6	tnip1	IL17	24	f83_87_983	fpool_TNIP1orf_IL17_24h3	8	#CCCCCC
8e924b45-dbda-4e72-bf19-c2ef5123a126	tnip1	none	24	f83_87_981	fpool_TNIP1orf_unt_24h1	9	#3F007D
c1844878-aab6-42de-a776-a62eb70b7769	tnip1	none	24	f83_87_982	fpool_TNIP1orf_unt_24h2	9	#3F007D
7f337816-ea34-4eb1-aea9-cae40f6660f9	tnip1	none	24	f83_87_983	fpool_TNIP1orf_unt_24h3	9	#3F007D
