isoform	Chromosome 	Strand	 txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	Hugo	alignID	Canonical	length	effective_length	tx_expected_count	txTPM	txFPKM	IsoPct	gene_expected_count	geneTPM	geneFPKM
NM_130786.3	19	-	58858171	58864865	58858387	58864803	8	"58858171,58858718,58861735,58862756,58863648,58864293,58864657,58864769,"	"58858395,58859006,58862017,58863053,58863921,58864563,58864693,58864865,"	A1BG	NM_130786.3	1	1766	1629.54	93.98	1.99	1.10	100.00	93.98	1.99	1.10
NR_015380.2	19	+	58863335	58866549	58866549	58866549	4	"58863335,58864744,58865079,58865734,"	"58864410,58864840,58865223,58866549,"	A1BG-AS1	NR_015380.2	0	2130	1993.54	115.40	1.99	1.10	100.00	115.40	1.99	1.10
NM_001198818.1	10	-	52559168	52645435	52566488	52619700	14	"52559168,52569653,52570799,52573616,52575765,52580311,52587890,52595833,52601621,52603747,52619601,52622648,52623792,52645340,"	"52566640,52569802,52570936,52573798,52576039,52580409,52588055,52596072,52601752,52603882,52619745,52622741,52623840,52645435,"	A1CF	NM_001198818.1	0	9362	9225.54	0.00	0.00	0.00	0.00	14.54	0.05	0.03
NM_001198819.1	10	-	52559168	52645435	52566488	52610547	15	"52559168,52569653,52570799,52573616,52575765,52580311,52587890,52595833,52601621,52603747,52610424,52619601,52622648,52623792,52645340,"	"52566640,52569802,52570936,52573822,52576039,52580409,52588055,52596072,52601752,52603882,52610567,52619745,52622741,52623840,52645435,"	A1CF	NM_001198819.1	1	9529	9392.54	0.00	0.00	0.00	0.00	14.54	0.05	0.03
NM_001198820.1	10	-	52559168	52645435	52566488	52610547	14	"52559168,52569653,52570799,52573616,52575765,52580311,52587890,52595833,52601621,52603747,52610424,52619601,52623792,52645340,"	"52566640,52569802,52570936,52573798,52576039,52580409,52588055,52596072,52601752,52603882,52610567,52619745,52623840,52645435,"	A1CF	NM_001198820.1	0	9412	9275.54	0.00	0.00	0.00	0.00	14.54	0.05	0.03
NM_014576.3	10	-	52559168	52645435	52566488	52619700	13	"52559168,52569653,52570799,52573616,52575765,52580311,52587890,52595833,52601621,52603747,52619601,52623792,52645340,"	"52566640,52569802,52570936,52573798,52576039,52580409,52588055,52596072,52601752,52603882,52619745,52623840,52645435,"	A1CF	NM_014576.3	0	9269	9132.54	14.54	0.05	0.03	100.00	14.54	0.05	0.03
NM_138932.2	10	-	52559168	52645435	52566488	52619700	13	"52559168,52569653,52570799,52573616,52575765,52580311,52587890,52595833,52601621,52603747,52619601,52623792,52645340,"	"52566640,52569802,52570936,52573822,52576039,52580409,52588055,52596072,52601752,52603882,52619745,52623840,52645435,"	A1CF	NM_138932.2	0	9293	9156.54	0.00	0.00	0.00	0.00	14.54	0.05	0.03
NM_138933.2	10	-	52559168	52645435	52566488	52610547	13	"52559168,52569653,52570799,52573616,52575765,52580311,52587890,52595833,52601621,52603747,52610424,52619601,52645340,"	"52566640,52569802,52570936,52573798,52576039,52580409,52588055,52596072,52601752,52603882,52610567,52619745,52645435,"	A1CF	NM_138933.2	0	9364	9227.54	0.00	0.00	0.00	0.00	14.54	0.05	0.03
NM_000014.4	12	-	9220303	9268558	9220418	9268445	36	"9220303,9220778,9221335,9222340,9223083,9224954,9225248,9227155,9229351,9229941,9230296,9231839,9232234,9232689,9241795,9242497,9242951,9243796,9246060,9247568,9248134,9251202,9251976,9253739,9254042,9256834,9258831,9259086,9260119,9261916,9262462,9262909,9264754,9264972,9265955,9268359,"	"9220435,9220820,9221438,9222409,9223174,9225082,9225467,9227379,9229532,9230016,9230453,9231927,9232411,9232773,9241847,9242619,9243078,9244025,9246175,9247680,9248296,9251352,9252119,9253803,9254270,9256996,9258941,9259201,9260240,9262001,9262631,9262930,9264807,9265132,9266139,9268558,"	A2M	NM_000014.4	1	4653	4516.54	2.00	0.02	0.01	100.00	2.00	0.02	0.01
NR_026971.1	12	+	9217772	9220651	9220651	9220651	3	"9217772,9218421,9218751,"	"9217824,9218656,9220651,"	A2M-AS1	NR_026971.1	0	2187	2050.54	4.00	0.07	0.04	100.00	4.00	0.07	0.04
NM_144670.4	12	+	8975067	9029377	8975247	9027607	36	"8975067,8975777,8976315,8982322,8987257,8988102,8988850,8990035,8990931,8991708,8993964,8995729,8998037,8998672,9000144,9001315,9002264,9002755,9004379,9004805,9006723,9007375,9008104,9009759,9010102,9010541,9013476,9013730,9016389,9020437,9020825,9021132,9021730,9027020,9027566,9028653,"	"8975309,8975961,8976478,8982375,8987278,8988262,8988935,8990162,8991046,8991818,8994132,8995957,8998098,8998818,9000294,9001510,9002355,9002870,9004608,9004932,9006845,9007427,9008188,9009936,9010184,9010698,9013551,9013893,9016604,9020653,9020953,9021223,9021799,9027123,9027608,9029377,"	A2ML1	NM_144670.4	1	5270	5133.54	9413.47	63.12	34.89	99.88	9421.62	63.20	34.93
NM_001282424.1	12	+	8997599	9029377	8997767	9027607	25	"8997599,8998037,8998672,9000144,9001315,9002264,9002755,9004379,9004805,9006723,9007375,9008104,9009759,9010102,9010541,9013476,9013730,9016389,9020437,9020825,9021132,9021730,9027020,9027566,9028653,"	"8997770,8998098,8998818,9000294,9001510,9002355,9002870,9004608,9004932,9006845,9007427,9008188,9009936,9010184,9010698,9013551,9013893,9016604,9020653,9020953,9021223,9021799,9027123,9027608,9029377,"	A2ML1	NM_001282424.1	0	3785	3648.54	8.15	0.08	0.04	0.12	9421.62	63.20	34.93
NR_040112.1	12	-	9381128	9386803	9386803	9386803	9	"9381128,9381967,9382848,9383605,9384201,9384650,9384957,9385981,9386730,"	"9381294,9382009,9382951,9383674,9384292,9384781,9385176,9386288,9386803,"	A2MP1	NR_040112.1	0	1201	1064.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_001080438.1	1	-	33772366	33786699	33772366	33786699	5	"33772366,33777652,33778101,33778407,33786676,"	"33773054,33777790,33778191,33778491,33786699,"	A3GALT2	NM_001080438.1	1	1023	886.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_017436.4	22	-	43088126	43116876	43088895	43089957	3	"43088126,43091496,43116802,"	"43090003,43091637,43116876,"	A4GALT	NM_017436.4	1	2092	1955.54	440.00	7.75	4.28	100.00	440.00	7.75	4.28
NM_016161.2	3	-	137842559	137851229	137843105	137850098	3	"137842559,137849690,137851053,"	"137843720,137850124,137851229,"	A4GNT	NM_016161.2	1	1771	1634.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NR_037584.2	17	-	31856805	31860779	31860779	31860779	3	"31856805,31860468,31860623,"	"31857217,31860532,31860779,"	AA06	NR_037584.2	0	632	495.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_001173466.1	12	-	53701239	53715412	53701272	53715249	15	"53701239,53701628,53701835,53702065,53702218,53702508,53702743,53702940,53703384,53708081,53708877,53709118,53709510,53714348,53715126,"	"53701497,53701713,53701917,53702133,53702312,53702599,53702804,53703065,53703505,53708225,53708924,53709210,53709566,53714476,53715412,"	AAAS	NM_001173466.1	0	1738	1601.54	81.00	1.74	0.96	6.63	1292.00	26.25	14.51
NM_015665.5	12	-	53701239	53715412	53701272	53715249	16	"53701239,53701628,53701835,53702065,53702218,53702508,53702743,53702940,53703384,53708081,53708534,53708877,53709118,53709510,53714348,53715126,"	"53701497,53701713,53701917,53702133,53702312,53702599,53702804,53703065,53703505,53708225,53708633,53708924,53709210,53709566,53714476,53715412,"	AAAS	NM_015665.5	1	1837	1700.54	1211.00	24.51	13.55	93.37	1292.00	26.25	14.51
